物件名稱,售價,經度,緯度,屋齡
$三創住辦破盤價,2598.0,121.533294873,25.0458332482,43.0
JZ4專任民生雙連2F店辦,6888.0,121.52489476,25.0579330304,40.7
大直美堤花園三房美廈,3500.0,121.559462337,25.0779757524,25.8
大直美堤花園三房美廈,3500.0,121.559462337,25.0779757524,25.8
低總價邊間三房小資首選,1668.0,121.52557212,25.0555872963,49.2
北大龍江庭院一樓,4898.0,121.541689724,25.0567784167,44.3
捷運民權西大坪數地下室,2500.0,121.520935976,25.0620748761,49.3
捷運民權西大坪數地下室,2500.0,121.520935976,25.0620748761,49.3
晶華高樓景觀低總價美廈,675.0,121.527203534,25.0561115181,45.7
民生合江雙衛美妝二室,3288.0,121.539272186,25.0583371232,40.6
大直頂加機能宅,1998.0,121.548049112,25.0821181709,49.2
民權西路辦公,3780.0,121.519990446,25.0635438163,35.3
捷運善導寺長安學區採光三房,1538.0,121.526620653,25.0492511373,47.8
$明水河畔景觀樓中樓,9888.0,121.545949981,25.0779230326,29.8
北安店面魔術大空間,8800.0,121.547137334,25.0828448755,32.7
專約-林森公園方正大三房,1800.0,121.526345471,25.0505098356,48.7
三房綠意樹海宅,3468.0,121.557008398,25.0777139574,25.8
長安國小學區房,2788.0,121.529405322,25.0494388196,39.8
近中山美裝潢華廈兩房,1098.0,121.525931496,25.050168845,38.6
中山站採光電梯美2房,1098.0,121.525931496,25.050168845,38.6
林森北路的小確幸-圓夢宅,1098.0,121.525931496,25.050168845,38.6
晶華電梯美妝2房,1098.0,121.525931496,25.050168845,38.6
吉林路店面(一),2999.0,121.530302554,25.0670513613,39.3
吉林路店面(四),5998.0,121.530217,25.058413,39.3
吉林路店面(三),11996.0,121.530302554,25.0670513613,39.3
吉林路店面(二),2999.0,121.530301638,25.0670965416,39.3
吉林金店面(三),2999.0,121.530300271,25.0671358192,39.3
吉林金店面(四),2999.0,121.530299182,25.0671660134,39.3
吉林金店面(二),2999.0,121.530301638,25.0670965416,39.3
吉林三角窗金店面(一),2999.0,121.530302554,25.0670513613,39.3
吉林路金店面1,2990.0,121.530302554,25.0670513613,39.3
吉林路金店面2,2990.0,121.530301638,25.0670965416,39.3
吉林路金店面4,2990.0,121.530299182,25.0671660134,39.3
吉林路金店面3,2990.0,121.530300271,25.0671358192,39.3
興盛【長春林森】鈔集收租旺鋪,5100.0,121.526877492,25.0547983474,47.5
中山國小40米大道金店面,6900.0,121.524817967,25.0629048425,41.8
捷運店面大馬路,6900.0,121.524817967,25.0629048425,41.8
大直捷運透天都更店住,4650.0,121.544756492,25.0808516655,55.8
善導寺電梯低總三房,1580.0,121.526620653,25.0492511373,47.8
長安一品稀有露台戶,7950.0,121.535365136,25.0485168892,14.3
興盛【南京復興】招財金鑽旺鋪,3200.0,121.543617099,25.054473924,36.7
冠堤B美宅車,1150.0,121.526519194,25.0573148897,18.5
興盛【條通商圈】吻鑽金雞母,1598.0,121.524684185,25.0500088943,44.1
中山國小邊間採光屋,2100.0,121.527390778,25.0671619125,39.2
美麗華大直紅點高樓,3490.0,121.559996628,25.0836258702,1.8
中山國小站美妝2房+陽台,1198.0,121.527061791,25.0585227346,47.9
吉林路低總價角窗金店,2900.0,121.5303046,25.0670407,39.3
T37合江大地坪透天,9800.0,121.539789554,25.0594424601,57.6
中山國小捷運精裝電梯3房,1498.0,121.52680958,25.0648104787,46.9
Y489中山國小精裝電梯三房,1498.0,121.52680958,25.0648104787,46.9
雙捷運水美璞麗,1999.0,121.521719972,25.0636934735,13.3
雙連捷運商圈金店面,3800.0,121.521138935,25.0606274006,39.3
Y09稀有松江捷運B1店面,2400.0,121.53249719,25.0553407497,34.0
獨家委售-阿曼之星機械車位,95.0,121.526142166,25.0564872657,17.6
P03新東京捷運宅車位,150.0,121.532022472,25.051852371,15.5
五常國中旁地下室內機械車位,135.0,121.544071203,25.0643608464,24.1
榮星花園五常商圈四房,1868.0,121.539721646,25.0663002723,47.9
榮星花園五常商圈四房,1868.0,121.539721646,25.0663002723,47.9
榮星花園五常商圈四房,1868.0,121.539721646,25.0663002723,47.9
榮星花園五常商圈四房,1868.0,121.539721646,25.0663002723,47.9
408專約~行天宮方正採光美寓,2250.0,121.530724003,25.0603190207,53.7
善導寺捷運電梯邊間漂亮3房,1538.0,121.526620653,25.0492511373,47.8
喜來登花園廣場高樓採光三房,3650.0,121.537310585,25.0589278706,41.3
302錦州1樓土地大,3450.0,121.530734513,25.0617401492,61.3
Y07農安面寬三角窗金店,8500.0,121.535121878,25.0645508715,43.3
精選四平街店面,5200.0,121.534543952,25.0537015939,55.0
喜來登電梯四房,4188.0,121.537310585,25.0589278706,41.3
鼎吉中山2房平車,3268.0,121.527868,25.05214,-1.0
新生景觀高樓住辦,3188.0,121.52777945,25.0539110713,42.1
中山歐風全新美屋,1288.0,121.526426204,25.050080817,34.2
近興安公園庭院1樓,4898.0,121.541689724,25.0567784167,44.3
大直瓏山林金店面,16500.0,121.555119156,25.0802225843,17.3
華泰財經大樓,7500.0,121.526023528,25.0581918795,32.2
大直明水稀世水岸 · 時代鉅獻,10500.0,121.545291789,25.0776597015,0.8
中山國小管理二房,1528.0,121.528033092,25.0653941888,48.0
南京復興捷運邊間辦公室附車位,4380.0,121.540578838,25.0482155573,
晴光雙城國泰電梯兩房,1528.0,121.528033092,25.0653941888,48.0
民生東路金店面,2998.0,121.530930911,25.0583391084,46.0
民生東路金店面,2998.0,121.530930911,25.0583391084,56.3
伊通名門精裝電梯美屋,2880.0,121.534709872,25.054461334,36.8
興盛【中山國小站】住店辦,2450.0,121.528162256,25.062004432,45.6
冠堤晶華精品美室,1599.0,121.52505121,25.0614523427,18.5
馬偕國賓電梯華廈三室,2688.0,121.523614586,25.055905095,48.3
南京復興辦公有車位,4380.0,121.540578838,25.0482155573,37.4
善導寺捷運電梯漂亮3房,1780.0,121.526620653,25.0492511373,47.8
436中山北雙捷運電梯4房,3980.0,121.521620063,25.0656491336,36.7
長安學區上城若水面101,3446.0,121.53145,25.04616,-1.0
晴光雙城1F+B1金店辦,3588.0,121.525102222,25.0657579498,45.7
南京西商圈商業區商辦三戶打通,7880.0,121.526664367,25.0548134139,47.5
基泰之星平面車位,380.0,121.52327436,25.0648445559,16.8
中山國小捷運電梯大2房,1588.0,121.525677839,25.0595801287,43.8
榮星花園超值大四房,1868.0,121.539721646,25.0663002723,47.9
中山國小捷運套房+車位,1130.0,,,29.7
榮星花園雅寓,2088.0,121.538769009,25.0679397077,43.4
中山國小捷運低總套房-有對外窗,590.0,121.527258216,25.0600680909,47.2
中山國小精美套房,550.0,121.527258216,25.0600680909,47.2
捷運高樓純辦,1580.0,121.525706868,25.0597722546,41.5
捷運高樓商辦,1580.0,121.525706868,25.0597722546,41.5
捷運高樓優商辦,3160.0,121.525706868,25.0597722546,41.5
002東光帷幕低總純辦,1580.0,121.525706868,25.0597722546,41.5
001中山國小捷運低總純辦,1580.0,121.525706868,25.0597722546,41.5
捷運/收租商辦/精裝大採光,11828.0,121.52577724,25.0601712688,41.5
專任-晶華商圈住辦電梯三樓2房,1198.0,121.525599737,25.0549804831,33.3
花博高樓景觀辦住,6880.0,121.52638309,25.0670258004,34.5
花博高樓景觀辦住,6880.0,121.52638309,25.0670258004,34.5
復北百坪高投報辦公室,10880.0,121.543217421,25.0561916221,40.0
060捷運中山國小站精華商辦,6388.0,121.52577724,25.0601712688,41.5
龍江公園極美5房,2388.0,121.538997354,25.0651063818,48.3
商三都更收租公寓,3300.0,121.524147594,25.0504718521,48.5
榮星建北採光三房瞭望台,2398.0,121.535930619,25.0671895384,43.0
*中山區芳鄰大廈,899.0,121.527997336,25.063011837,45.2
台北市最便宜套房,488.0,121.526922603,25.0547972393,46.1
166(專賣)雙捷運低總價美套,625.0,121.527203534,25.0561115181,45.7
K568冠德國賓藝術坡機車,180.0,121.5245047,25.0560956,26.5
有土地持份機械車位,99.0,121.528351791,25.0507460786,25.4
國賓晶品車位,105.0,121.524739039,25.0565956627,18.2
國際有約高投報車位,128.0,121.525204903,25.0509396304,17.3
捷運民權西大坪數地下室,2500.0,121.520935976,25.0620748761,49.3
捷運民權西大坪數地下室,2500.0,121.520935976,25.0620748761,49.3
千金漾鋼骨小豪宅有車位,2180.0,121.525316644,25.0561018876,15.9
245中山低總捷運美寓二樓,1758.0,121.526039784,25.0504478666,61.6
文經百坪辦公室,9660.0,121.536456279,25.054423891,30.9
241雙捷運大二房有陽台,1598.0,121.525677839,25.0595801287,43.8
雙捷運氣派商務辦公室,5980.0,121.52577724,25.0601712688,41.5
103中山捷運站在台北有個家,998.0,121.52557212,25.0555872963,49.2
捷運350米企業辦公,1150.0,121.525706868,25.0597722546,41.5
B4中山國小低總質感宅5,668.0,121.527258216,25.0600680909,47.2
B4中山國小低總套房12,700.0,121.527258216,25.0600680909,47.2
B4中山國小低總套房14,625.0,121.527258216,25.0600680909,47.2
建北長安低總價投資車位,1518.0,121.537043318,25.0475171162,21.9
中山條通日&夜金店,5998.0,121.52428556,25.0512789846,46.8
條通稀有公寓二樓,2288.0,121.526806328,25.0498412851,61.8
中山條通商四店面,5998.0,121.52428556,25.0512789846,46.8
中山國小捷運電梯美屋+車位,1380.0,121.525467602,25.0611532453,29.7
獨家榮星花園住辦,3458.0,121.537362568,25.0615810258,43.7
行天宮黃金3房,2338.0,121.531272389,25.0593996742,56.2
371行天宮捷運三樓美寓,2338.0,121.531272389,25.0593996742,56.2
林森和益金銀精品2房,1388.0,121.525677839,25.0595801287,43.8
雙城電梯華廈投資金雞母,3580.0,121.524493695,25.0661772153,49.8
面榮星公園住辦金店面,7200.0,121.538800126,25.0644320062,43.2
雷諾瓦車位,125.0,121.524595945,25.0632402844,30.3
晴光高樓邊間採光美屋,890.0,121.526580139,25.0667353124,48.0
捷運中山國小站低總價景觀套房,888.0,121.527997336,25.063011837,45.2
松江南京捷運優質住辦,4380.0,121.540578838,25.0482155573,37.4
誠美知寓,1580.0,121.542928271,25.0513354616,-1.0
層峰企業首選松江南京景觀商辦,5998.0,121.528416456,25.0522740732,52.8
層峰企業首選松江南京景觀商辦,5998.0,121.528416456,25.0522740732,52.8
層峰企業首選松江南京景觀商辦,5998.0,121.528416456,25.0522740732,52.8
層峰企業首選松江南京景觀商辦,5998.0,121.528416456,25.0522740732,52.8
捷運面公園美寓,1598.0,121.529232451,25.0609013608,58.4
273中山捷運漂亮2房,1880.0,121.524986316,25.0502159159,44.9
卡爾頓大陽台充電車位,3358.0,121.537145706,25.0651018594,10.4
大直小西華三房,5300.0,121.555505801,25.0793627746,20.2
龍江路面寬金店面(辦住),2880.0,121.53928044,25.0675056874,43.4
439雙捷運高樓溫馨4房,3488.0,121.526264379,25.0596111825,41.5
民權西捷運住店辦,9500.0,121.519879346,25.063035168,60.8
鎮金殿高樓三房大露台,7300.0,121.520415745,25.0636233619,21.3
雙城低總價漂亮三房,1688.0,121.523457831,25.0645648257,57.9
&中正國小全新六樓三房車,5849.0,121.541389877,25.0486873851,1.8
236國賓好品味,1288.0,121.527228381,25.0571897238,53.8
中山核心高樓靜謐,2680.0,121.537253012,25.0534398764,19.7
&中正國小全新八樓三房車,4989.0,121.541389877,25.0486873851,1.8
最大直正面河景美邸,10500.0,121.545291789,25.0776597015,0.8
忠孝新生SC六房景觀坡車,12025.0,121.536208644,25.045816284,13.5
合江三陽蘭園,2980.0,121.538353625,25.0611880265,48.3
雙捷運合江街華廈,3288.0,121.539272186,25.0583371232,40.6
捷運南京復興電梯高樓景觀三房,3500.0,121.542915611,25.0562092305,40.0
松江民權三角窗可店可住辦,3400.0,121.530689938,25.0618960092,57.9
V63入住中山區電梯三房超值選,1688.0,121.52557212,25.0555872963,49.2
榮星花園國泰三房,3280.0,121.537042043,25.0658686293,40.7
中山國小捷運典雅二室,1680.0,121.527392038,25.0632380785,41.0
晴光商圈高樓美屋,925.0,121.526580139,25.0667353124,48.0
獨家溫馨明亮美妝大套房B,998.0,121.522816818,25.0504650736,48.2
B4中山國小低總質感宅9,630.0,121.527258216,25.0600680909,47.2
P01香榭緣機械平面車位,220.0,121.526049183,25.0682368084,33.3
中山國小捷運民權米勒車位,85.0,121.524256001,25.0625344314,18.4
南京林森電梯低總價兩房,1098.0,121.525931496,25.050168845,38.6
110行天宮站中庭花園,1088.0,121.53076634,25.0581113197,46.0
中山捷運低總價電梯精裝兩房,1098.0,121.525931496,25.050168845,38.6
V79新婚首選緻美華廈,1098.0,121.525931496,25.050168845,38.6
台版涉谷精品２房,1098.0,121.525931496,25.050168845,38.6
松江南京站挑高電梯華廈,2358.0,121.53249719,25.0553407497,34.0
B4中山國小低總質感宅8,710.0,121.527258216,25.0600680909,47.2
華爾道夫美三房,9168.0,121.540350888,25.05453961,20.8
南京復興都更透天厝,8500.0,121.540074652,25.0476996703,64.8
中山國小捷運商辦,13600.0,121.52577724,25.0601712688,41.5
中山國小捷運商辦,13600.0,121.52577724,25.0601712688,41.5
中山雙捷時尚精緻小宅+車位,1378.0,121.521016023,25.0491865454,17.0
興盛【國賓飯店】鈔集金店面,3699.0,121.525248176,25.0575462836,53.8
龍江人潮金店,6600.0,121.539878199,25.0659143173,41.4
中山北角窗面寬金店面,3988.0,121.521158126,25.0610655447,40.5
南京松江捷運低有邊間電梯頂佳,6888.0,121.53610021,25.0526232827,39.8
松江靜巷捷運電梯兩房,2080.0,121.532081608,25.0615963699,33.9
松江南京電梯美3房,1438.0,121.528269626,25.0496525839,48.6
3486大直永安棟距美三房車,4980.0,121.549133769,25.0803999432,32.3
272松江南京站車庫1樓,3880.0,121.532083111,25.0494797451,49.8
方便看屋忠孝復興金店面,3980.0,121.540267095,25.0471686163,28.8
大直邊間三角金透天,4980.0,121.544756492,25.0808516655,55.8
華固明水御頂樓豪宅,22888.0,121.552615379,25.079352848,18.3
正晴光市場人潮錢潮金透天,12000.0,121.524653211,25.0647734149,55.0
台北大學黃金店面,3650.0,121.539270207,25.0591998563,56.3
京硯帝景豪邸,12980.0,121.53721074,25.0508207105,12.7
"松江大空間,收租自用皆宜",3500.0,121.530733833,25.0513556399,30.6
興盛【長春晶華】雙捷運景觀宅,2600.0,121.524512632,25.0548435263,41.3
合江收租金店面,3580.0,121.540279682,25.0558053438,50.8
&大直豐匯金店面,17980.0,121.557688074,25.0801644785,11.0
龍江鑽石金店面,3980.0,121.533546,25.064446,28.8
龍江金店面,3980.0,121.540267095,25.0471686163,28.8
條通金店面,2680.0,121.526010154,25.0512281456,60.2
專任凱宴露台+車位,2838.0,121.52666909,25.0566901467,9.8
長安一品臻藏戶雙車位,7999.0,121.535365136,25.0485168892,14.3
傳家堡裝潢正三房,6880.0,121.553749735,25.0791389273,20.8
明水華廈三房車好宅,4998.0,121.550204442,25.0778979609,32.0
興盛【中山市場】臨路角間旺鋪,3800.0,121.522641324,25.0497030583,25.5
Y96農安雙城金店面,5280.0,121.525406036,25.0648339563,36.7
龍江挑高金店面,3980.0,121.540267095,25.0471686163,28.8
善導寺電梯陽台3房,1780.0,121.526620653,25.0492511373,47.8
中山區收租賺錢大廈,5380.0,121.524864832,25.0506628637,37.9
近捷運僑大住辦精華地段,3288.0,121.541659418,25.0621639651,41.3
獨家溫馨明亮美妝大套房A,1138.0,121.522816818,25.0504650736,48.2
松江南京邊間3房2衛,2388.0,121.527714868,25.050127972,37.3
中山國小捷運大兩房,2188.0,121.528033092,25.0653941888,48.0
民權公園捷運住辦,6888.0,121.542081011,25.062199511,41.3
BZ5中山國小捷運精選美房,1488.0,121.528030879,25.060473607,48.1
龍江八德雙層挑高金店,3980.0,121.540267095,25.0471686163,28.8
松江南京邊間高樓景觀三房車,6380.0,121.536459757,25.0546557921,1.7
387中山捷運電梯3房(大陽台,1780.0,121.526620653,25.0492511373,47.8
近榮星花園都更一樓稀有釋出,2500.0,121.541339666,25.0611344556,55.9
中山波麗露邊間,1680.0,121.527124678,25.0501894584,14.3
長春建國北電梯2房,1888.0,121.537489393,25.0546231872,28.3
中山國小捷運方正住辦,1750.0,121.525444293,25.0601350255,29.8
晶華商圈三房,1688.0,121.52557212,25.0555872963,49.2
稀有高樓後棟安家宅,2998.0,121.537145706,25.0651018594,10.4
捷運中山國小優質好屋,1750.0,121.525444293,25.0601350255,29.8
072民生東路華泰財經大樓,7500.0,121.526023528,25.0581918795,32.2
民權電梯裝潢三房,2988.0,121.534815551,25.0641248072,44.1
榮星花園公寓頂樓大空間,2388.0,121.540076574,25.0672838747,43.5
吉林農安美套,1698.0,121.530513481,25.0662804291,29.4
林森條通金店面,3980.0,121.526234107,25.050109549,37.1
民生雙併管理精美住辦,3750.0,121.538968202,25.0580474567,45.5
381双捷運.黃金辦公大樓,5420.0,121.521368045,25.0526020508,47.2
中山國小捷運皇宮電梯二房,1528.0,121.528033092,25.0653941888,48.0
松江御苑名邸（二）,8200.0,121.53536,25.061097,3.5
匯泰鴻景觀2房休旅車,3600.0,121.536459757,25.0546557921,1.7
匯泰鴻景觀2房+休旅充電車位,3600.0,121.536459757,25.0546557921,1.7
匯泰鴻景觀2房+休旅充電車位,3600.0,121.536459757,25.0546557921,1.7
雙捷運電梯採光美宅,2588.0,121.525911086,25.050010147,10.1
雙捷低總精美2室陽台,1198.0,121.527061791,25.0585227346,47.9
匯泰鴻景觀2房+休旅充電車位,3600.0,121.536459757,25.0546557921,1.7
匯泰鴻景觀2房+休旅充電車位,3600.0,121.536459757,25.0546557921,1.7
晴光商圈雙城發發發黃金三角窗店面,8888.0,121.532514,25.047523,49.8
宏普文華麗舍挑高精緻美宅,3380.0,121.538325484,25.0538296281,8.4
宏普文華麗舍挑高精緻美宅,3380.0,121.538325484,25.0538296281,8.4
大坪數三角窗店面,27000.0,121.52581927,25.066541784,54.3
長春路黑金透天屋,9888.0,121.529441779,25.0549803637,64.4
長安學區三面採光美妝,1538.0,121.526620653,25.0492511373,47.8
長安學區三面採光美妝,1538.0,121.526620653,25.0492511373,47.8
312中山捷運全新裝潢美三房,1580.0,121.526620653,25.0492511373,47.8
長安學區三面採光美妝,1538.0,121.526620653,25.0492511373,47.8
長安學區三面採光美妝,1538.0,121.526620653,25.0492511373,47.8
長安雙語學區管理電梯三房,1580.0,121.526620653,25.0492511373,47.8
中山國中捷運旁黃金店面,7888.0,121.543958927,25.0605322446,44.3
冠堤B棟美宅車,1150.0,121.526519194,25.0573148897,18.5
大直國小旁三角窗都更透天厝,4680.0,121.544756492,25.0808516655,55.8
大直捷運電梯三房,3188.0,121.547185399,25.0800726356,46.7
長安學區精裝電梯三房,1538.0,121.526620653,25.0492511373,47.8
捷運美妝小坪辦公低總價,1120.0,121.525706868,25.0597722546,41.5
晴光商圈中山美錄機械車位,95.0,121.523658637,25.0648394772,18.3
榮星三面採光低單價便宜美寓,2088.0,121.540669447,25.0664869448,46.5
大直優質收租店面,25000.0,121.547869284,25.0822472793,40.8
Y588榮星低總價百坪地下室,1500.0,121.538114004,25.0655315944,41.4
昌承辦-來當高投報家樂福房東,25000.0,121.547869284,25.0822472793,40.8
吉林路多功能商辦,2980.0,121.530067897,25.0572288887,43.9
吉林路多功能商辦,2980.0,121.530067897,25.0572288887,43.9
吉林路多功能商辦,2980.0,121.530067897,25.0572288887,43.9
吉林路多功能商辦,2980.0,121.530067897,25.0572288887,43.9
大直傑座獨立車位,250.0,121.550932908,25.0787383963,32.5
108中山國小捷運收租屋,838.0,121.526100009,25.0601615746,41.5
抗通膨穩收租地下室,1680.0,121.52428556,25.0512789846,46.8
北安近捷運美宅,2750.0,121.545603955,25.0791490952,39.3
208双捷運溫馨電梯2房,1298.0,121.525677839,25.0595801287,43.8
431榮星建北採光方正鼎佳,2398.0,121.535930619,25.0671895384,43.0
新生北低總邊間住辦,2760.0,121.528269626,25.0496525839,48.6
行天宮松江靜巷電梯兩房,2080.0,121.532081608,25.0615963699,33.9
行天宮庭院雙車位一樓,7360.0,121.534353456,25.0641357627,46.3
行天宮站共構高樓景觀套房,1650.0,121.533371402,25.0598933155,16.2
CZ9(預售)日安吉林7樓A2,3688.0,121.52315,25.05461,-1.0
$民權中山捷運金店,10000.0,121.525136877,25.0628970677,45.8
582BS民生東路金店面III,1680.0,121.527210212,25.0582999788,29.5
十勝悅庭院樓中樓,16800.0,121.535928013,25.0510468294,19.6
中山國小捷運站低總價美妝2房,1298.0,121.528048614,25.0659393029,49.5
J6大直時代廣場頂級辦公3B,11800.0,121.561343919,25.0809584317,10.4
J6大直時代廣場頂級辦公3A,13530.0,121.561343919,25.0809584317,10.4
川普菁棧機能美宅,1798.0,121.553627101,25.0834190405,18.5
J6大直時代廣場頂級辦公4C,12149.0,121.561343919,25.0809584317,10.4
大直長虹豪邸面公園,10888.0,121.550184319,25.081852634,19.8
422遼寧夜市商圈2樓,3300.0,121.542128914,25.0501952598,56.7
T13農安街透天金店,8800.0,121.529626254,25.0647548727,59.8
大直北安低總價店面,3900.0,121.549085199,25.0820658376,48.3
A108松江南京挑高美屋,1598.0,121.535247204,25.0485180008,18.1
中崙大廈辦公大樓,2533.0,121.540886567,25.0469394265,47.7
南京東路三段優質商辦樓,7980.0,121.537881766,25.0521735404,54.4
松江明珠景觀戶(附車位),1500.0,121.53376916,25.0473773099,17.3
中山國小黃金店面,4200.0,121.528058945,25.0663439282,49.5
中山國小黃金店面,4200.0,121.528058945,25.0663439282,39.3
C29基泰之星置產坡平車位,260.0,121.52327436,25.0648445559,16.8
121晴光商圈低總價美屋,880.0,121.52680958,25.0648104787,46.9
中山國小景觀美套,899.0,121.528048614,25.0659393029,49.5
中山國小捷運商辦,1776.0,121.525706868,25.0597722546,41.5
中山國小捷運商辦,1776.0,121.525706868,25.0597722546,41.5
中山國小捷運邊間住辦,2228.0,121.525706868,25.0597722546,41.5
捷運高樓純辦美屋,1150.0,121.525706868,25.0597722546,41.5
A885春暉新世界之8,2228.0,121.525706868,25.0597722546,41.5
中山國小站電梯大兩房,1588.0,121.525677839,25.0595801287,43.8
中山國小站電梯大兩房,1588.0,121.525677839,25.0595801287,43.8
中山國小站電梯大兩房,1588.0,121.525677839,25.0595801287,43.8
中山國小站電梯大兩房,1588.0,121.525677839,25.0595801287,43.8
427中山捷運電梯4房住辦,3800.0,121.524982365,25.0510488649,37.3
合江近公園電梯三房,2988.0,121.538874204,25.0611853598,48.3
中山國小捷運陽光大戶,4480.0,121.52618792,25.066743259,41.3
T004林森北路大套房,790.0,121.525348074,25.0555470736,51.3
306晴光商圈溫馨3房,3298.0,121.526116823,25.0647989892,42.0
興盛【中山民生】捷運漂亮辦公,1980.0,121.525649483,25.0584851069,40.8
中山國小捷運高投報美屋,1850.0,121.526170847,25.0595587714,41.5
晴光商圈金磚密碼挑高精品宅,1288.0,121.524868864,25.0653260719,18.0
台北京宴邊間大露台戶,4888.0,121.52531195,25.0559843839,23.1
W59近中山捷運電梯套房,750.0,121.526180293,25.0665845612,46.3
捷運松江南京B1商用,2358.0,121.53249719,25.0553407497,34.0
官景面花博綠景樓中樓,6800.0,121.529629422,25.0681643399,11.8
建北長安11獨立車位,1518.0,121.537043318,25.0475171162,21.9
大直金元泰商業大樓,79800.0,121.552794658,25.0824707055,21.8
華泰飯店旁一樓可住可店,2680.0,121.526527814,25.0570691395,31.3
官景獨戶樓中樓豪邸雙車位,6800.0,121.529629422,25.0681643399,11.8
官景一層一戶山景樓中樓II,6800.0,121.529629422,25.0681643399,11.8
123雙捷運收租屋,730.0,121.527061791,25.0585227346,47.9
117晶華商圈欣欣公園華廈,868.0,121.527037211,25.0508395736,48.8
錦州街核心地段稀有大面寬店面,4500.0,121.537625683,25.0601807903,41.8
164捷運電梯邊間大套,880.0,121.526022056,25.0499982245,43.3
晴光商圈低總價亮麗美屋,880.0,121.52680958,25.0648104787,46.9
晴光商圈挑高店、住、辦,598.0,121.522933505,25.0640672078,50.3
林森北低總價百萬裝潢電梯二房,1098.0,121.525931496,25.050168845,38.6
222南西電梯1+1房,1098.0,121.525931496,25.050168845,38.6
雙連捷運收租聖品(一),650.0,121.524729882,25.0579350594,46.6
163捷運電梯低總小資首選,680.0,121.526022056,25.0499982245,43.3
松江御苑（三）,8500.0,121.535609,25.061092,3.5
興盛【中山捷運】透天金店面,7888.0,121.524623916,25.0512854986,29.8
面寬三角窗金店面(一),11600.0,121.530320393,25.0681293638,39.3
公車站牌前低總店面(五),2900.0,121.530299182,25.0671660134,39.3
南京御邸高樓層露臺戶2,10880.0,121.540029611,25.0517451953,5.3
公車站牌前低總店面(四),2900.0,121.530300271,25.0671358192,39.3
專任龍江路大面寬一樓店住,4180.0,121.542030409,25.0652430926,51.7
三角窗稀有低總店面(二),2900.0,121.530302554,25.0670513613,39.3
德惠街商圈▲窗金店,5800.0,121.530341850671,25.0670020440177,39.3
南京御邸高樓層露臺戶1,10380.0,121.539956211,25.0517430699,5.3
公車站牌前面寬金店(七),5800.0,121.530363553646,25.0670553934607,39.3
中山國小捷運美妝電梯,1398.0,121.527385421,25.0656140472,43.3
獨家明水皇普低總首選,1650.0,121.55209292,25.0791037032,29.8
農安吉林壹樓美寓,2138.0,121.529924127,25.0651848602,54.6
"興安裝潢三房,面中庭.車位可抽",2998.0,121.542284416,25.0554405486,39.8
大直峰閣金店面,8800.0,121.552932298,25.0812237371,18.3
合江大面寬店住辦,3580.0,121.540279682,25.0558053438,50.8
林森低總全新裝潢電梯2房,1198.0,121.525931496,25.050168845,38.6
金磚密碼低總挑高美宅,1249.0,121.524868864,25.0653260719,18.0
中山國小電梯兩房,1750.0,121.525444293,25.0601350255,29.8
冠德龍門大苑景觀露台2房,4088.0,121.541389877,25.0486873851,1.8
冠德龍門大苑景觀露台2房,4088.0,121.541389877,25.0486873851,1.8
南京復興&新潤朗格景觀大二房雙坡平車位,8688.0,121.540243,25.051851,-1.0
善導寺站三房綠蔭美妝,1780.0,121.526620653,25.0492511373,47.8
善導寺站三房綠蔭美妝,1780.0,121.526620653,25.0492511373,47.8
善導寺站三房綠蔭美妝,1780.0,121.526620653,25.0492511373,47.8
善導寺站三房綠蔭美妝,1780.0,121.526620653,25.0492511373,47.8
中山國小捷運管理美2房,1528.0,121.528033092,25.0653941888,48.0
456行天宮捷運華廈鼎佳,3988.0,121.534323802,25.0617053243,44.9
56光華三創旁雙店面,12000.0,121.530985671,25.0462310167,37.8
吉林路邊間金店面(全),11600.0,121.530302554,25.0670513613,39.3
松江南京新東京宅高樓邊間戶,2360.0,121.53217589,25.0518451344,15.5
松江南京新東京宅高樓邊間戶,2360.0,121.53217589,25.0518451344,15.5
冠德龍門大苑景觀3房(A),5928.0,121.541389877,25.0486873851,1.8
冠德龍門大苑景觀3房(A),5928.0,121.541389877,25.0486873851,1.8
冠德龍門大苑景觀3房(A),5928.0,121.541389877,25.0486873851,1.8
冠德龍門大苑景觀3房(A),5928.0,121.541389877,25.0486873851,1.8
美麗華大直捷運美3樓,1998.0,121.548329728,25.0810733147,55.5
冠德龍門大苑景觀露台2房,4088.0,121.541389877,25.0486873851,1.8
冠德龍門大苑景觀露台2房,4088.0,121.541389877,25.0486873851,1.8
吉林路邊間金店面(二),2900.0,121.530301638,25.0670965416,39.3
富富話合精裝兩房平車,6588.0,121.523930052,25.0532294791,8.7
富富話合精裝兩房平車,6588.0,121.523930052,25.0532294791,8.7
宏普文華麗舍挑高精緻美宅,3380.0,121.538325484,25.0538296281,8.4
宏普文華麗舍挑高精緻美宅,3380.0,121.538325484,25.0538296281,8.4
吉林路邊間金店面(一),2900.0,121.530302554,25.0670513613,39.3
冠德龍門大苑景觀3房(B),5728.0,121.541389877,25.0486873851,1.8
冠德龍門大苑景觀3房(B),5728.0,121.541389877,25.0486873851,1.8
冠德龍門大苑景觀3房(B),5728.0,121.541389877,25.0486873851,1.8
冠德龍門大苑景觀3房(B),5728.0,121.541389877,25.0486873851,1.8
