objName,age
仁愛路鑽石獨棟電梯別墅,13.7
東門珍第豪邸,16
古亭站新廈觀雨軒,0.8
公館臺大商圈黃金3樓美寓,58.8
中正國中一樓3房+車位,17.8
北車商四人潮店面,62.3
古亭站新廈文會軒,0.8
獨家中正仁愛旭2房附車位,-1
巨流河文青三房附車位,6.9
巨流河河岸三房附車位,6.9
城中稀有公寓三樓,35.2
台電大樓公館高樓電梯頂加,40.4
博愛凱旋露臺戶大戶 商四分區,10.4
59新生V.S仁愛傳家金店面,47.4
J11古亭｜黃金店面｜中正風格,19
中正建中寧波金店面,41.8
國家豪景大樓,33.6
中正紀念堂仁愛林森三角窗金店,48.5
立院群英高樓景觀四房,20.2
中正紀念堂稀有一樓,47.4
中正國中學區前後庭園有坡車一樓,34
台大商圈公館金店面,20.3
都更進行中黃金三樓,58.8
公館捷運站A+店面,20.3
中正國中附小晶鑽設籍,25.3
台電大樓OPUS ONE金店面,10.2
戀戀台大捷運高樓景觀A1,20.3
向陽雙子星2房,1.8
東門永康面寬美妝平緩一樓,56.8
中正國中庭院一樓,34
中正國中電梯三房車位,36.7
中正國中低公設嘉龍小坪數稀有釋出,44.8
杭州南路金店面,44.7
中正紀念堂全新裝潢文青4室美寓,47.4
C204台北市廈門街黃金店面,6.8
臨路邊間三角窗雙層店面（商二,6.8
廈門街三角窗店面,6.8
廈門街商圈金店面,6.8
岦基心願黃金店面加辦公,6.8
國語實小設籍3房美寓,46.9
台電捷運金三角旺店,10.2
親友專任!站前商圈弘道國中,18.4
獨賣中正國中低公設電梯方正大戶,42.7
中正國中/市大附小學區宅(A),25.3
角間透天黃金店面,58.8
北車博愛特區收租金店,27.4
台北車站前透天厝,62.3
中正國中/市大附小學區宅,25.3
國語實小設籍3房美寓,46.9
台電大樓站三角窗黃金店面,10.2
中正杭州豪邸景觀頂樓,18.2
2~7樓一層一戶古亭豪邸,0.8
戀戀台大漂亮窗景附平車,20.3
四方來財!古亭一層一戶四樓豪邸,0.8
紀州同安金店面,0.8
E011信陽商四透天邊間店面,54.4
超新!古亭河畔一層一戶豪邸,0.8
古亭全新一層一戶六樓3房豪邸,0.8
三陽開泰!古亭三房一層一戶豪邸,0.8
近紀州庵森林一層一戶五樓美宅,0.8
古亭頂級高樓河畔美景三房豪邸,0.8
古亭捷運同安商圈大空間靜巷一樓,47.8
景觀大四房精裝豪邸,14.7
東門崗石氣派大兩房豪邸,15.5
稀有釋出官巷一樓,43
超威挑高明亮人潮潛力增值黃金店,9.6
北車站前商四黑金土地邊間透天,65.7
近捷運中正學區沒人住過可兩房-昌承辦,1
台大三角窗旗艦金店,10.2
國泰仁愛首都五房名邸,49.3
中正金鑽古亭捷運二房車,29.3
汀州路大馬路土地,
鄰植物園美公寓,54.3
古亭換屋首選尊爵豪邸6樓,0.8
古亭換屋首選尊爵豪邸4樓,0.8
古亭換屋首選尊爵豪邸5樓,0.8
古亭換屋首選尊爵豪邸7樓,0.8
古亭換屋首選尊爵豪邸3樓,0.8
台北官邸靜巷人文豪邸,13.8
新美齊PARK259高樓精裝宅,7.7
新美齊PARK259精品宅,7.7
新美齊硯角間店面,1.3
站前美食街透天,62.3
台電捷運三角窗金店面,10.2
北車博愛特區金母雞,27.4
濟南路收租店面,43.4
昇陽全新美妝兩房,8.2
