objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
古亭捷運站～高質感絕美電梯大三房,2780,2780,大樓,無,121.51598489,25.0265743796,5.75,24.9,2.25,100
公館商圈店面,8900,8900,公寓,無,121.533276,25.014007,16.94,40.83,0,100
116方念拾山樹海森活,18800,18800,大樓,私有,121.532519155,25.0340809949,10.69,57.16,10.92,100
巨流河水岸文青2房2衛,4068,4068,大樓,公有,121.5199908,25.0211046,3.08,18.86,3.81,100
巨流河小家庭3房車,4180,4180,大樓,無,121.519953525,25.0211285998,3.17,18.85,4.8,100
古亭捷運電梯頂加收租聖品,3300,3300,大樓,無,121.518764205,25.0243598491,7.37,27.25,0,100
力麒人文河景四房美邸,9888,9888,大樓,私有,121.517713753,25.0269707804,9.19,41.72,6.3,100
台北車站黃金商場店面,9888,9888,大樓,無,121.509799681,25.0458632903,10.08,41.5,0,100
中正區透天專約,1900,1900,透天,無,121.513331824,25.0242202469,11.19,18.4,0,100
師大君逸精緻2+1房,5600,5600,大樓,私有,121.525554422,25.0223766146,8.27,27.87,4.68,100
西門站商四收租精品,993,993,大樓,無,121.509178778,25.0422528142,0.93,10.75,,100
力麒首御河光帝景四房尊榮雙車位,9888,9888,大樓,私有,121.517713753,25.0269707804,9.19,41.72,6.3,100
京站之心A戶,839,839,公寓,無,121.516604207,25.0446964299,,13.07,0,100
弘道市大附小低價學區美屋,1535,1535,大樓,無,121.518626621,25.0320588265,1.23,9.69,0,100
東門電梯明亮四房,4105,4105,公寓,無,121.5295307,25.0357192,15.81,40.28,5.32,100
京站之心A戶,839,839,公寓,無,121.516604207,25.0446964299,,13.07,0,100
古亭捷運金店面,4980,4980,公寓,無,121.521512744,25.0273778381,6.22,21.83,2.38,100
【地上權A】城中美寓宜置產收租,839,839,公寓,無,121.516604207,25.0446964299,,13.07,,100
昌承辦-國門低總價兩房(一),839,839,公寓,無,121.516604207,25.0446964299,0,13.07,0,100
中正紀念堂站機械車位,205,205,其他,私有,121.519666692,25.0304678666,0.05,0.03,0,100
JZ7雙星北車超值雙車位,380,380,其他,私有,121.513343763,25.0446176258,0,,0,100
雙子星三捷運低總辦公,1425,1425,華廈,無,121.513366898,25.0422219373,1.81,12.43,0.98,100
京站之心C戶,799,799,公寓,無,121.516604207,25.0446964299,,13.55,0,100
小南門捷運全新兩房車Ⅰ,3221,3221,華廈,私有,121.508577572,25.0287961628,7.2,14.87,2.24,100
中華路雙拼三房華廈,2300,2300,華廈,抽籤,121.509861837,25.0248309847,5.82,29.26,2.46,100
南海1號苑方正兩房車位,3221,3221,華廈,私有,121.508577572,25.0287961628,7.2,14.87,2.24,100
京站之心C戶,799,799,公寓,無,121.516604207,25.0446964299,,13.55,0,100
【地上權C】城中美寓宜置產收租,799,799,公寓,無,121.516604207,25.0446964299,,13.55,,100
昌承辦-國門低總價兩房(三),799,799,公寓,無,121.516604207,25.0446964299,0,13.55,0,100
國語實小稀有店辦,4900,4900,大樓,無,121.515886237,25.0316590406,8.7,31.88,,100
水岫高樓美景後棟三房車,4360,4360,大樓,私有,121.516942664,25.0226026662,5.24,28.49,2.91,100
『東方大樓』近捷運北車雙子星辦公,1425,1425,大樓,無,121.5133585,25.0419314,1.81,12.43,0.98,100
捷運台電大樓管理美廈,2950,2950,大樓,無,121.527410484,25.0211667312,2.93,25.26,4.94,100
城南水岸金店面,2970,2970,大樓,私有,121.517491698,25.0220802829,6.56,21.57,1.84,100
二二八衡陽金店辦,6913,6913,大樓,無,121.513616514,25.042226336,13.21,112.69,,100
衡陽財經首選辦公,7800,7800,大樓,私有,121.512491743,25.0421962421,9.49,60.27,13.34,100
北車衡陽財經首選辦公＋車,7800,7800,大樓,私有,121.512491743,25.0421962421,9.49,60.27,13.34,100
中正豪園獨戶高樓帝景,7200,7200,大樓,私有,121.514073587,25.0273567826,15.92,49.18,6.86,100
北車國門透天厝(二),8900,8900,透天,無,121.512603292,25.0430892107,26.62,59.9,0,100
實小學區獨棟美廈,4580,4580,華廈,無,121.513832521,25.028270373,10.97,51.72,10.16,100
北車 雙子星 辦公大樓,1425,1425,華廈,無,121.513366898,25.0422219373,1.81,12.43,0.98,100
中正區(鑽石華廈)庭院挑高一樓,3580,3580,華廈,無,121.517735423,25.0239711437,6.59,19.95,3.11,100
璞園丹陽全新4房3衛,13200,13200,大樓,私有,121.524115585,25.0394625864,13,38.37,4.5,100
🍎台電大樓站🍎都更金店面,4850,4850,公寓,無,121.52657998,25.0209891739,10.99,23.74,0,100
中正區古亭捷運旁南昌路精華店面,7268,7268,大樓,無,121.519800365,25.0280193963,7.22,39.56,4.82,100
建中實小電梯透天,17800,17800,華廈,無,121.511793788,25.0287963144,42.65,167.72,20.21,100
公館捷運獨棟電梯透天,7750,7750,透天,私有,121.53205299,25.0158637173,12.39,43.76,11.14,100
專任-舊力霸百貨商場攤位,238,238,大樓,無,121.509628296,25.0425958614,0.1,1.14,0,100
<專約>中正區透天收租屋,2580,2580,透天,無,121.513776376,25.0244286436,16.03,23.86,0,100
古亭捷運4房靜巷明亮方正大漂亮,3680,3680,公寓,無,121.518290763,25.0255610424,9.86,33.63,7.55,100
古亭水岸第一排景觀屋,3380,3380,華廈,無,121.517465405,25.0216305051,5.45,43.88,3.97,100
誠售中正螢橋電梯4房,2768,2768,華廈,無,121.514139674,25.0248478053,8.56,32.09,5.39,100
國庭大廈坡道機械車位,115,115,大樓,私有,121.527568375,25.0435556086,0.18,0.05,,100
古亭站口/三車位(可單獨買,500,500,大樓,私有,121.521213037,25.0276168032,0.06,,,100
西門站商四都更收租王,832,832,大樓,無,121.509129428,25.0422509702,,9.11,0,100
西門站商四都更收租王,832,832,大樓,無,121.509129428,25.0422509702,0,9.11,0,100
北車國門透天厝(一),8900,8900,透天,無,121.512603543,25.0431495998,26.62,43.77,0,100
捷運古亭一樓大空間靜謐經典美宅,3988,3988,公寓,無,121.522202148,25.0252816811,10.47,31.53,3.78,100
"泰安觀止,泰安靜巷稀有豪宅釋出",12800,12800,大樓,私有,121.527356075,25.0406686739,16.1,50.79,6.76,100
D52汀州路三角窗金店面,3580,3580,華廈,無,121.505882104,25.0322297302,4.84,21.93,4.08,100
植物園和平西路三角窗挑高金店面,8200,8200,其他,無,121.512053887,25.0288714535,19.23,25.8,30.77,100
揚昇君臨設計師的家,12850,12850,大樓,私有,121.511607934,25.0436252579,4.57,46.74,7.95,100
中正名門高樓三房,4600,4600,大樓,無,121.517308514,25.0309373561,4.16,30.81,7.81,100
紀念堂站低總價,1535,1535,大樓,無,121.518626621,25.0320588265,1.23,9.69,,100
中正上雍4房車,6888,6888,大樓,私有,121.517459306,25.0229343264,7.73,42.06,8.35,100
中正和平西路三角窗金店面,8200,8200,華廈,無,121.512053887,25.0288714535,19.23,25.8,30.77,100
