objName,price,salePrice,style,parking,lon,lat,landArea,mainArea,affiliatedArea,zipCode
敦南林蔭景觀美宅,1588,1588,大樓,無,121.548413676,25.0313793313,1.15,10.07,0,106
忠孝北科大面寬金店,22220,22220,大樓,私有,121.537784108,25.0410929039,20.24,90.67,8.9,106
忠孝建國捷運面寬店面,24625,24625,大樓,私有,121.537767934,25.0411427983,23.74,93.47,16.22,106
專．大安森林公園三樓,3360,3360,公寓,無,121.537426755,25.03523765,8.66,22.31,1.82,106
金華龍門溫州美廈,4330,4330,華廈,無,121.533639261,25.0256239603,8.86,32.72,5.9,106
信義安和一樓邊間美辦,4580,4580,大樓,無,121.555830077,25.0341022958,,26.14,4.52,106
驚喜價師大夜市雙店面商業土地,7800,7800,公寓,無,121.528823591001,25.0238262271588,13.16,28.26,,106
信義安和站超值車位,160,160,大樓,私有,121.554539357,25.0341636666,0.18,0.02,,106
仁愛敦南都更土地,27000,27000,土地,無,121.534484,25.026501,43.56,,,106
大安安居三房美廈,3100,3100,華廈,無,121.554329075,25.020692084,6.71,28.86,4.06,106
大安森林公園景觀四房坡車,6888,6888,大樓,私有,121.536266537,25.022816198,4.08,40.59,6.65,106
成功國宅亮麗3房,2950,2950,大樓,無,121.545907019,25.0279993361,6.03,21.06,2.61,106
附中學區電梯四房,4680,4680,大樓,可租,121.544138701,25.036157099,4.07,34.88,5.21,106
公園捷運景觀三房,3280,3280,大樓,無,121.543586107,25.0435091963,3.02,29,1.23,106
稀有釋出捷運旁住辦大樓,3800,3800,大樓,無,121.551981177,25.0240926551,3.38,30.87,5.08,106
藏蘊金華中正國中電梯學區宅,2888,2888,華廈,無,121.525943831,25.0299577543,3.05,8.88,1.32,106
樂利路靜巷獨戶大三房,3480,3480,公寓,抽籤,121.551275684,25.0269321262,12.46,33.32,4.46,106
昇陽精緻2房,3280,3280,大樓,無,121.557249154,25.0314771862,1.97,14.01,0.23,106
附中學區電梯4房,4680,4680,大樓,無,121.544138701,25.036157099,4.07,34.88,5.21,106
國館捷運電梯學區4房,4850,4850,大樓,抽籤,121.557377593,25.036394336,3.7,31.87,2.04,106
文普國際景觀四房,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.77,4.28,106
大安101醫生世家景觀四房,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.77,4.28,106
世貿文普景觀4房,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.77,4.28,106
文普國際精緻四房,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.77,4.28,106
新生南路收租▲窗全家金店面,18800,18800,華廈,無,121.532948657,25.0343131614,20.42,81.44,4.54,106
微風合砌雲開美二房,3958,3958,華廈,無,121.545905739,25.0448444682,5.9,11.53,2.02,106
微風合砌雲開高樓景觀,3988,3988,華廈,無,121.545905739,25.0448444682,5.9,11.53,2.02,106
文普精美大四房,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.77,4.28,106
給愛車一個家,250,250,大樓,私有,121.525931751,25.0302254878,0.32,,,106
師大青見倉儲車位,128,128,其他,私有,121.530396194,25.0259025267,0.01,0.07,0.03,106
忠孝敦化國泰皇家,4680,4680,大樓,無,121.554207818,25.0412274615,5.84,38.98,0,106
光復國小邊間4房,4850,4850,大樓,抽籤,121.557377593,25.036394336,3.7,31.87,2.04,106
東帝士樓中樓+雙坡車,17788,17788,大樓,私有,121.550238192,25.0287698694,12.34,85.96,33.72,106
雙捷運電梯3房美廈,3688,3688,華廈,無,121.551497,25.0283938952,7.01,29.25,4.24,106
E29信義安和美廈2樓3房3衛,5488,5488,華廈,抽籤,121.551429827,25.0301788713,11.4,41.39,4.13,106
忠孝敦化精品華廈,4480,4480,華廈,公有,121.550732426,25.0443660064,8.26,32.59,4.14,106
光復南傳家大土地透天,4098,4098,透天,無,121.556915706,25.0299659491,21.78,21.87,0,106
大安Money金華設籍美宅,2380,2380,大樓,無,121.527473494,25.0215888918,1.32,8.83,0.87,106
敦南傳家三角窗金店面,18000,18000,大樓,無,121.548494187,25.0425443043,10.21,66.14,18.46,106
延吉公園電梯四房,5288,5288,華廈,無,121.555421226,25.0432404016,7.08,29.92,8.31,106
信義安和華廈邊間3房,3688,3688,華廈,無,121.55666619,25.0320010146,7.13,24.23,3.67,106
辛亥.芳和學區宅,1950,1950,公寓,無,121.549703996,25.017323641,10.81,27.28,3.45,106
大安面公園百坪大戶,8888,8888,公寓,無,121.552620111,25.026708176,32.97,107.2,0,106
金山南路店面,9900,9900,華廈,無,121.52660644,25.0294675853,8.75,38.83,10.54,106
金山南大面寬金店面,9900,9900,華廈,無,121.52660644,25.0294675853,8.75,38.84,10.54,106
E98東門捷運大路邊金店面,9900,9900,華廈,無,121.52660644,25.0294675853,8.75,49.38,0,106
南溫州超級金店面,8200,8200,華廈,無,121.532651898,25.0195238741,9.95,32.11,3.13,106
附中學區三房進大安森活圈,3088,3088,大樓,無,121.538853643,25.0359664633,3.96,23.32,3.75,106
大安區經典中的晶典電梯3房方正採光佳,3780,3780,大樓,無,121.551493266,25.0179502581,8.82,22.38,2.69,106
仁愛安和華園名廈,5488,5488,華廈,無,121.553256488,25.0359628924,6.36,36.79,4.08,106
仁愛樹景景觀美宅,7180,7180,大樓,無,121.556771246,25.0380181864,7.56,41.62,4.79,106
信義御邸景觀樓,19888,19888,大樓,私有,121.526199625,25.0343120841,9.94,50.45,8.7,106
信安國際大樓辦公,3180,3180,大樓,無,121.552627626,25.0328415709,2.34,17.91,1.31,106
溫州院書香名邸,9588,9588,大樓,私有,121.53353863,25.0244150459,7.6,30.89,5.08,106
專約忠孝復興統創精品宅,1928,1928,大樓,無,121.54355407,25.042820551,0.95,5.6,1.44,106
安和敦安景觀雅緻三房,4650,4650,華廈,無,121.550158537,25.0282491095,3.66,36.84,5.89,106
光復南一層美寓3房,2568,2568,公寓,無,121.556636374,25.0308648981,8.02,17.55,2.37,106
忠孝復興站收租金雞,4900,4900,大樓,無,121.54512711,25.0427076718,6.6,36.51,0,106
東區SOGO精品宅,1500,1500,大樓,無,121.546559393,25.0419962431,1.14,8,1.43,106
瑞安庭院精美大戶,5888,5888,華廈,私有,121.541917839,25.0283629272,8.93,31.13,2.79,106
E13六張犁4+5美寓,2500,2500,公寓,無,121.5562913,25.020152975,8.39,25.53,0,106
忠孝敦化捷運電梯三房,3450,3450,華廈,無,121.548015645,25.0429273244,4.56,27.59,4.33,106
捷運六張犁黃金二樓,2680,2680,公寓,無,121.52726,25.032853,10.44,32.63,3.43,106
信義安和站通化收租美寓,2086,2086,公寓,無,121.55446497,25.0294622285,7.62,20.78,6.47,106
信義安和站通化收租美寓,2086,2086,公寓,無,121.55446497,25.0294622285,7.62,20.78,6.47,106
森林公園新生金華整棟華廈,34989,34989,華廈,無,121.531074896,25.030701795,45.68,83.68,31.81,106
敦南電腦停車位,139,139,其他,私有,121.547093933,25.0228317746,0.06,,,106
忠孝東路帝王景緻辦公,5790,5790,大樓,無,121.552011256,25.0416692783,5.66,45.37,0,106
正東區統領美妝景觀辦公,5790,5790,大樓,無,121.552011256,25.0416692783,5.66,45.37,0,106
忠孝敦化美妝邊間商辦,5790,5790,大樓,無,121.552011256,25.0416692783,5.66,45.37,0,106
統領商業大樓,5790,5790,大樓,無,121.552011256,25.0416692783,5.66,45.37,0,106
統領高樓辦公,5790,5790,大樓,無,121.552011256,25.0416692783,5.66,45.37,,106
忠孝統領高樓保值商辦,5790,5790,大樓,無,121.552011256,25.0416692783,5.66,45.37,0,106
附中住辦新裝潢,5200,5200,大樓,其他,121.543868395,25.0364981828,4.06,33.77,6.95,106
忠孝敦化高樓商辦,5810,5810,大樓,無,121.552011256,25.0416692783,5.66,45.37,0,106
中正國中電梯大戶(原四房),5800,5800,大樓,無,121.521847632,25.0282166323,,40.76,4.52,106
正金山南路店面,9900,9900,華廈,無,121.52660644,25.0294675853,8.75,49.38,,106
台電大樓全新黃金來財店面,5500,5500,其他,無,121.527473494,25.0215888918,5.29,18.4,0.94,106
地上權麟光捷運10房2廳加車位,960,960,透天,私有,121.561715207,25.0133960101,,27.71,,106
敦南首都小宅,1650,1650,大樓,無,121.550934004,25.0246038865,1.63,11.82,1.38,106
通化燙金收租店面,4588,4588,大樓,無,121.555614026,25.0275117562,3.65,23.67,1.67,106
正基隆路雙捷運美廈,5698,5698,大樓,無,121.556645778,25.0284932038,4.65,38.77,4.28,106
樂利安和捷運華廈,3360,3360,華廈,無,121.551479316,25.0265320605,6.02,30.44,1.98,106
