路段,緯度,經度,屋齡,建坪,房屋總價(萬),車位,格局,有加蓋,總樓層,樓層,房屋類型,行政區
台北市中山區伊通街,25.048013,121.534819,7.9年,34.02,3480,1,3房1廳1衛,1,9,3,['M'],中山區
台北市中山區長安東路一段,25.04753,121.527662,31.3年,9.73,1366,0,1廳1衛,0,5,1,['M'],中山區
台北市中山區吉林路,25.05686,121.530421,40.8年,19.41,2288,0,4房3廳2衛,1,7,7,['M'],中山區
台北市中山區新生北路二段,25.056152,121.52589,35.1年,11.2,1200,0,2廳1衛,0,9,5,['M'],中山區
台北市中山區新生北路二段,25.057447,121.527024,0.9年,24.0,2788,0,2房2廳1衛,0,10,9,['M'],中山區
台北市中山區松江路,25.055333,121.532501,34.0年,47.77,2400,0,1房2廳2衛,1,5,-1,['M'],中山區
台北市中山區建國北路三段,25.067191,121.535937,43.0年,35.87,2398,0,5房3廳3衛,1,5,5,['A'],中山區
台北市中山區龍江路,25.066324,121.543023,43.2年,30.98,1788,0,3房2廳2衛,0,5,5,['A'],中山區
台北市中山區五常街,25.064411,121.538465,10.2年,18.32,2298,0,2房1廳1衛,1,12,5,['L'],中山區
台北市中山區大直街,25.080511883095,121.54677920526,46.1年,35.96,3870,0,4房4衛,0,5,4,['A'],中山區
台北市中山區林森北路,25.05956,121.526177,41.5年,25.6,1850,0,3房3衛,0,13,4,['L'],中山區
台北市中山區八德路二段,25.047315,121.54242,66.7年,50.87,8200,0,6房4廳2.5衛2室,1,2,1-2,['D'],中山區
台北市中山區農安街,25.064907,121.530919,43.3年,32.23,2788,0,3房1廳3衛,0,7,3,['M'],中山區
台北市中山區遼寧街,25.050197,121.542135,56.7年,39.19,3300,0,4房2廳2衛,1,4,2,['A'],中山區
台北市中山區吉林路,25.05289,121.529145,57.9年,29.74,2788,0,6房6衛,0,5,3,['A'],中山區
台北市中山區松江路,25.053992,121.53107,53.9年,43.69,3888,0,4房2廳2衛2室,1,5,2,['A'],中山區
台北市中山區新生北路二段,25.056712,121.52723,28.3年,12.57,1238,0,1房1廳1衛,1,12,6,['L'],中山區
台北市中山區中山北路二段,25.06164350035,121.52395723556,47.8年,28.3,2388,0,4房4衛,0,5,4,['A'],中山區
台北市中山區合江街,25.057075,121.539073,55.2年,14.25,1400,0,3房3衛,0,4,4,['A'],中山區
台北市中山區建國北路二段,25.054296,121.535482,58.2年,26.25,2488,0,3房2廳1衛,0,4,3,['A'],中山區
台北市中山區新生北路二段,25.057296,121.52719,17.5年,25.73,1288,2,1房1廳1衛,1,12,6,['C'],中山區
台北市中山區新生北路二段,25.05543,121.526259,69.2年,26.77,10888,0,1房2廳2衛,0,2,1-2,['D'],中山區
台北市中山區林森北路,25.049776,121.527094,22.6年,41.2,2988,13,1房1廳1衛,1,7,1,['M'],中山區
台北市中山區林森北路,25.049453,121.527824,53.4年,35.66,2298,0,5房5衛,0,7,1,['M'],中山區
台北市中山區林森北路,25.049454,121.527006,44.9年,25.99,2600,0,3房2廳2衛,0,5,1,['A'],中山區
台北市中山區吉林路,25.06695357682,121.52895522426,53.8年,30.28,2580,0,5房3廳2衛,1,4,4,['A'],中山區
台北市中山區北安路,25.084773,121.557481,41.2年,68.34,6492,0,6房3廳4衛,0,5,3-4,['A'],中山區
台北市中山區林森北路,25.049537,121.525814,60.1年,21.84,2100,0,4房4衛,0,4,2,['A'],中山區
台北市中山區北安路,25.084773,121.557481,41.2年,34.17,3246,0,3房2廳2衛,0,5,4,['A'],中山區
台北市中山區明水路,25.079105,121.552099,29.8年,12.93,2088,0,1房1廳1衛1室,1,16,9-10,['L'],中山區
台北市中山區合江街,25.059445,121.539796,67.5年,49.43,9800,0,4房5廳3衛,1,2,1-2,['D'],中山區
台北市中山區中山北路一段,25.050474,121.524154,48.5年,49.0,3300,0,6房6衛1室,1,4,2,['C'],中山區
台北市中山區八德路二段,25.046074,121.542437,62.8年,32.31,3988,0,8房8衛,1,3,2-3,['A'],中山區
台北市中山區八德路二段,25.046294,121.542345,42.0年,38.9,4488,0,5房5衛,0,6,2,['M'],中山區
台北市中山區中山北路二段,25.057338,121.52206,114.3年,10.65,4288,0,6房6衛,1,1,1-1,['D'],中山區
台北市中山區新生北路二段,25.053889,121.527782,42.1年,35.41,3188,0,2廳3衛3室,1,12,12,['L'],中山區
台北市中山區錦州街,25.060292,121.543338,48.7年,34.29,2650,0,4房1廳2衛,0,5,4,['A'],中山區
台北市中山區中山北路二段,25.057566,121.52446,48.5年,16.13,1700,0,2房1廳1衛,0,11,8,['L'],中山區
台北市中山區松江路,25.047042,121.531569,45.2年,50.51,4150,0,3房2廳2衛,0,12,2,['L'],中山區
台北市中山區長安東路一段,25.049633,121.522983,37.2年,22.93,1980,0,2廳1衛,0,12,8,['L'],中山區
台北市中山區伊通街,25.049554,121.534657,59.8年,31.28,7580,0,1廳1衛2室,1,4,1,['A'],中山區
台北市中山區民權東路二段,25.061401,121.533934,56.2年,24.9,5288,0,2房2廳2衛1室,1,4,1,['A'],中山區
台北市中山區民權東路二段,25.061599,121.532088,33.9年,19.54,2080,0,2房2廳1衛1室,1,5,5,['M'],中山區
台北市中山區新生北路三段,25.067454,121.529015,56.3年,25.6,2366,0,3房2廳1衛,0,4,4,['A'],中山區
台北市中山區龍江路,25.066489,121.540676,46.5年,35.18,2088,0,3房2廳2衛,0,5,5,['A'],中山區
台北市中山區松江路,25.057507,121.531654,63.1年,36.62,6600,0,4房5廳3衛1室,1,2,1-2,['D'],中山區
台北市中山區林森北路,25.050469,121.525965,19.6年,7.01,1000,0,1房1廳1衛,1,7,3,['M'],中山區
台北市中山區大直街,25.08125,121.546017,47.2年,37.63,3390,0,5房1廳3衛,0,5,4,['A'],中山區
台北市中山區林森北路,25.049776,121.527766,39.4年,12.39,1450,0,1房1廳1衛,0,7,4,['M'],中山區
台北市中山區北安路,25.08009,121.547889,47.7年,21.55,1880,0,2房2衛1室,0,5,3,['A'],中山區
台北市中山區遼寧街,25.049081,121.542572,59.0年,18.51,2750,0,6房2廳2衛,1,3,3,['A'],中山區
台北市中山區龍江路,25.059388,121.541627,49.7年,37.41,3550,0,8房1廳8衛,1,4,4,['A'],中山區
台北市中山區龍江路,25.067368,121.540906,48.2年,25.75,1950,0,8房8衛,1,4,4,['A'],中山區
台北市中山區撫順街,25.064155,121.519358,43.2年,8.21,950,0,1房1衛,0,6,6,['C'],中山區
台北市中山區龍江路,25.05092,121.541737,34.5年,67.52,4888,1,5房2廳4衛,1,5,B1-1,['M'],中山區
台北市中山區八德路二段,25.046907,121.541751,51.7年,19.92,2780,0,2房1廳1衛,0,4,4,['A'],中山區
台北市中山區林森北路,25.059791,121.525062,49.5年,13.51,1388,0,2房1廳1衛,0,11,4,['L'],中山區
台北市松山區南京東路五段,25.051303,121.559659,36.1年,21.56,2200,0,2房2廳1衛,0,19,3,['L'],松山區
台北市松山區民生東路五段,25.058738,121.564482,36.7年,11.41,1068,0,1房1衛,0,20,19,['C'],松山區
台北市松山區民生東路五段,25.058613,121.563895,42.2年,85.16,5988,1,4房2廳2衛2室,0,16,10,['L'],松山區
台北市松山區健康路,25.054302,121.560606,33.0年,44.23,3988,0,4房2廳2衛,0,12,5,['L'],松山區
台北市松山區民生東路五段,25.059401,121.564775,42.5年,48.56,3988,0,3房2廳2衛1室,0,16,16,['L'],松山區
台北市松山區民生東路五段,25.05833,121.564577,36.7年,11.41,1088,0,1房1廳1衛,0,20,10,['L'],松山區
台北市松山區民生東路五段,25.059014,121.561932,43.1年,56.78,4960,0,4房2廳2衛,0,15,5,['L'],松山區
台北市松山區南京東路五段,25.052917,121.567398,43.0年,33.6,3188,0,3房2廳2衛,0,6,5,['M'],松山區
台北市松山區民生東路五段,25.05833,121.564577,36.7年,36.31,3260,0,3房2廳2衛,0,20,16,['L'],松山區
台北市松山區民生東路五段,25.0591,121.562398,43.1年,15.86,1698,0,1房1廳1衛,0,15,10,['L'],松山區
台北市松山區寶清街,25.050131,121.568934,36.3年,23.97,2280,0,2房2廳2衛,0,11,8,['L'],松山區
台北市松山區富錦街,25.060721,121.562004,45.4年,86.71,8888,2,3房3廳3衛2室,0,7,7,['M'],松山區
台北市松山區敦化北路,25.060907,121.549398,15.8年,171.42,18230,5,3房2廳2衛1室,0,12,4,['L'],松山區
台北市松山區八德路三段,25.048234,121.556997,37.2年,12.86,1980,0,2房2廳1衛,0,12,9,['L'],松山區
台北市松山區敦化北路,25.054051275195,121.54721675412,13.8年,109.79,15880,3,3房2廳3衛2室,0,10,4,['M'],松山區
台北市松山區敦化北路,25.059194,121.548102,42.9年,46.2,4788,0,5房3廳3衛,1,7,7,['M'],松山區
台北市松山區八德路四段,25.049831,121.57449,12.2年,24.78,2295,1,1房1廳1衛,0,13,7,['L'],松山區
台北市松山區敦化北路,25.055665,121.550386,31.7年,51.83,5980,0,3房2廳2衛,0,12,11,['L'],松山區
台北市松山區新東街,25.061523,121.564961,54.6年,22.19,1980,0,5房2廳5衛,1,4,4,['A'],松山區
台北市松山區民生東路五段,25.059691,121.555787,39.2年,92.77,8980,1,5房3廳4衛1室,1,3,B2-3,['D'],松山區
台北市松山區撫遠街,25.060943,121.565731,52.3年,26.69,2688,0,3房2廳1衛,0,4,3,['A'],松山區
台北市松山區三民路,25.057034,121.562464,52.4年,27.07,2598,0,3房2廳1衛,0,4,3,['A'],松山區
台北市松山區健康路,25.053574,121.553503,28.6年,54.7,4988,0,4房2廳2衛,0,13,3,['L'],松山區
台北市松山區基隆路一段,25.05083,121.569972,43.8年,24.4,1880,0,2房2廳1衛,0,5,2,['A'],松山區
台北市松山區光復南路,25.045734,121.554654,5.1年,118.96,15908,3,3房2廳3衛3室,0,22,17,['L'],松山區
台北市松山區八德路四段,25.049831,121.57449,12.2年,16.95,1950,0,1房1廳1衛,0,13,4,['C'],松山區
台北市松山區富錦街,25.062452,121.566945,56.0年,34.07,2780,0,3房2廳1.5衛,0,4,2,['A'],松山區
台北市松山區富錦街,25.06097,121.562419,55.3年,36.69,3498,0,3房2廳2衛,0,4,3,['A'],松山區
台北市松山區三民路,25.057382,121.563991,52.2年,25.8,3180,0,3房3廳1衛1室,1,4,1,['A'],松山區
台北市松山區寶清街,25.053131,121.568545,8.3年,49.38,5365,1,3房2廳2衛1室,0,13,7,['L'],松山區
台北市松山區敦化南路一段,25.046112,121.54682,41.5年,48.38,5600,0,3房2廳1.5衛,0,7,4,['M'],松山區
台北市松山區南京東路四段,25.051003,121.553545,47.2年,63.49,5500,0,4房2廳2衛,0,12,4,['L'],松山區
台北市松山區民生東路五段,25.059736,121.562085,43.1年,55.49,4780,0,4房2廳2衛,0,15,13,['L'],松山區
台北市松山區民生東路三段,25.058544,121.547408,47.0年,57.38,5450,0,4房4廳3衛,1,7,7,['M'],松山區
台北市松山區松河街,25.050691,121.573238,10.9年,37.08,3350,1,2房2廳1衛,0,15,6,['L'],松山區
台北市松山區民生東路五段,25.058257,121.56477,36.7年,46.64,3650,1,3房2廳2衛,0,20,11,['L'],松山區
台北市松山區三民路,25.060458,121.564811,53.9年,35.12,3000,0,4房2廳2衛,0,4,2,['A'],松山區
台北市松山區八德路四段,25.049848,121.575841,16.6年,48.17,4980,0,4房2廳2衛,0,14,3,['L'],松山區
台北市松山區民權東路三段,25.060773,121.544771,42.3年,42.65,4800,0,3房2廳2衛,0,7,3,['M'],松山區
台北市松山區寶清街,25.053135,121.568273,8.3年,57.99,5688,1,3房2廳2衛,0,13,6,['L'],松山區
台北市松山區南京東路四段,25.051424,121.554626,15.5年,107.62,11500,2,5房2廳3衛,0,15,3,['L'],松山區
台北市松山區寶清街,25.053146,121.567903,8.3年,49.33,5388,1,3房2廳2衛,0,13,5,['L'],松山區
台北市松山區民生東路五段,25.058194,121.563745,42.2年,46.58,4680,0,3房2廳2衛1室,0,16,16,['L'],松山區
台北市松山區南京東路五段,25.051082,121.568931,36.2年,17.93,2280,0,2房2廳1衛,0,12,11,['L'],松山區
台北市松山區民生東路五段,25.059021,121.562053,43.1年,67.41,5488,1,3房2廳2衛,0,15,12,['L'],松山區
台北市松山區寶清街,25.050131,121.568934,36.3年,13.86,1228,0,1房1廳1衛,0,11,6,['L'],松山區
台北市松山區民生東路五段,25.05833,121.564577,36.7年,24.55,2600,0,2房2廳1衛,0,20,13,['L'],松山區
台北市松山區民生東路三段,25.059405,121.54639,42.8年,49.5,4950,0,4房2廳2衛,0,7,5,['M'],松山區
台北市松山區敦化南路一段,25.04578,121.549265,49.2年,64.02,7668,0,3房2廳2衛2室,0,12,11,['L'],松山區
台北市松山區民族東路,25.064305,121.546498,54.0年,46.05,2888,0,3房2廳2衛,0,4,2,['A'],松山區
台北市松山區民生東路五段,25.05833,121.564577,36.7年,17.85,1880,0,1房1廳1衛,0,20,15,['L'],松山區
台北市松山區民生東路五段,25.059027,121.558134,46.5年,49.01,5680,0,3房2廳2衛,0,7,5,['M'],松山區
台北市松山區南京東路五段,25.051293,121.560149,46.1年,40.19,3600,0,3房2廳2衛,0,13,6,['L'],松山區
台北市松山區南京東路五段,25.051715,121.559562,41.5年,40.18,3386,0,3房2廳2衛,0,14,7,['L'],松山區
台北市松山區八德路四段,25.049475,121.568831,58.7年,21.18,1890,0,3房2廳1衛,0,4,2,['A'],松山區
台北市松山區民權東路五段,25.063279,121.565084,51.7年,31.47,2998,0,4房2廳2衛,0,4,2,['A'],松山區
台北市松山區光復北路,25.052705738609,121.55676347711,52.8年,32.86,2888,0,1房2廳1衛,0,4,4,['A'],松山區
台北市松山區光復南路,25.045748,121.556966,31.0年,45.75,5886,0,3房2廳2衛,0,7,1,['M'],松山區
台北市松山區南京東路五段,25.051615,121.564972,17.0年,16.84,1920,0,1房2廳1衛,0,18,10,['L'],松山區
台北市松山區長安東路二段,25.048124,121.545379,41.6年,67.39,6500,0,5房2廳2衛1室,0,12,5,['L'],松山區
台北市松山區新東街,25.060151,121.565575,51.0年,24.51,2088,0,4房2廳2衛,1,4,4,['A'],松山區
台北市松山區新東街,25.05965,121.567466,51.4年,51.15,4680,0,5房3廳3衛,1,4,4,['A'],松山區
台北市松山區八德路四段,25.050053,121.564409,37.7年,34.65,4200,1,3房3廳2衛,1,7,7,['M'],松山區
台北市松山區健康路,25.055399,121.568226,39.4年,37.52,3680,0,2房2廳2衛,0,5,3,['A'],松山區
台北市松山區吉祥路,25.049938,121.562625,33.2年,55.61,4580,1,4房2廳2衛,0,7,4,['M'],松山區
台北市松山區民生東路五段,25.058479,121.556256,8.6年,18.37,2150,0,1房1廳1衛,0,7,2,['M'],松山區
台北市松山區三民路,25.0616098,121.562757,51.5年,37.02,2980,0,4房2廳2衛,0,4,4,['A'],松山區
台北市松山區南京東路五段,25.051615,121.564972,17.0年,20.55,2100,1,1房1廳1衛,0,18,13,['L'],松山區
台北市松山區北寧路,25.050301,121.552822,37.7年,54.99,5680,1,3房2廳2衛,0,18,9,['L'],松山區
台北市松山區八德路四段,25.049831,121.57449,12.2年,16.95,2190,0,1房1廳1衛,0,13,12,['L'],松山區
台北市松山區南京東路四段,25.051864,121.552995,1.2年,44.67,6188,1,3房2廳2衛,0,15,2,['L'],松山區
台北市松山區敦化北路,25.053887,121.55067,0.5年,76.45,12388,1,4房2廳2衛,0,11,2,['L'],松山區
台北市松山區八德路二段,25.04831,121.546955,44.5年,41.29,4350,0,3房3廳3衛1室,0,12,10,['L'],松山區
台北市松山區南京東路五段,25.051945,121.568923,20.2年,14.35,850,0,1房1廳1衛,0,3,2,['M'],松山區
台北市松山區南京東路四段,25.051863,121.552943,1.2年,47.48,6750,1,3房2廳2衛,0,15,4,['L'],松山區
台北市松山區民族東路,25.064599,121.546633,55.2年,29.31,2480,0,5房2衛,0,4,4,['A'],松山區
台北市松山區南京東路四段,25.051864,121.552995,1.2年,18.9,2900,0,1房1廳1衛,0,15,5,['L'],松山區
台北市松山區新東街,25.061698,121.565798,51.8年,29.56,2980,0,5房2廳2衛,1,4,1,['A'],松山區
台北市松山區南京東路五段,25.051656,121.563151,15.3年,84.5,9950,1,3房2廳2衛,0,18,4,['L'],松山區
台北市松山區南京東路四段,25.051864,121.552995,1.2年,23.95,3280,1,1房1廳1衛,0,15,8,['L'],松山區
台北市松山區南京東路五段,25.051938,121.569649,44.3年,32.09,2480,0,5房4廳3衛,1,5,5,['A'],松山區
台北市松山區復興北路,25.054335,121.544307,49.2年,31.57,3500,0,3房2廳2衛,0,12,4,['L'],松山區
台北市松山區南京東路四段,25.051864,121.552995,1.2年,18.9,2980,0,1房1廳1衛,0,15,8,['L'],松山區
台北市松山區南京東路五段,25.050511887865,121.56703134722,49.8年,8.31,878,0,1廳1衛,0,6,4,['M'],松山區
台北市松山區南京東路四段,25.051864,121.552995,1.2年,18.9,2900,0,1房1廳1衛,0,15,5,['L'],松山區
台北市松山區民生東路五段,25.058479,121.556256,8.6年,18.37,2188,0,1房1廳1衛,0,7,4,['M'],松山區
台北市松山區八德路四段,25.049256,121.563031,52.6年,33.03,2398,0,3房2廳1衛,0,4,3,['A'],松山區
台北市松山區南京東路五段,25.052699,121.557841,48.8年,31.3,2880,0,3房2廳2衛,0,5,4,['A'],松山區
台北市松山區八德路三段,25.048898,121.556743,43.5年,40.82,3758,0,3房2廳2衛,0,7,2,['M'],松山區
台北市松山區三民路,25.061636,121.56216,50.7年,38.64,3468,0,4房2廳2衛1室,0,4,4,['A'],松山區
台北市松山區民生東路五段,25.05833,121.564577,36.7年,8.93,868,0,1廳1衛,0,20,20,['L'],松山區
台北市松山區寶清街,25.052434,121.568814,54.1年,22.3,1788,0,3房1廳1衛,0,4,4,['A'],松山區
台北市松山區八德路三段,25.046564,121.551606,48.9年,61.97,6088,0,4房2廳2衛2室,0,7,4,['M'],松山區
台北市松山區南京東路五段,25.052693,121.558563,38.2年,40.65,3888,0,3房2廳2衛,0,7,4,['M'],松山區
台北市松山區南京東路五段,25.050774,121.568285,52.0年,29.63,2899,0,5房5衛,0,6,2,['M'],松山區
台北市松山區南京東路五段,25.051686,121.570725,8.5年,15.8,1660,0,1房1廳1衛,0,12,5,['L'],松山區
台北市松山區南京東路五段,25.051979417877,121.55830263558,30.1年,16.58,1888,0,1房1廳1衛,1,11,10,['L'],松山區
台北市松山區敦化南路一段,25.046119,121.54803,2.9年,53.26,7380,1,3房2廳2衛,0,12,5,['L'],松山區
台北市松山區敦化南路一段,25.045869,121.547801,11.8年,32.35,4880,1,2房2廳1衛,0,7,6,['M'],松山區
台北市松山區南京東路四段,25.051424,121.554626,15.5年,204.2,22500,2,4房2廳4衛4室,0,15,8,['L'],松山區
台北市松山區富錦街,25.062555,121.567702,55.9年,32.73,2880,0,3房3廳3衛1室,1,4,4,['A'],松山區
台北市松山區新東街,25.061505,121.564663,54.6年,22.48,3200,0,1房4廳1衛,0,4,1,['A'],松山區
台北市松山區三民路,25.057642,121.563005,53.2年,32.85,2750,0,3房2廳1衛,0,4,2,['A'],松山區
台北市松山區南京東路五段,25.05119,121.56468,45.0年,49.9,4800,0,3房2廳2衛,0,14,6,['L'],松山區
台北市松山區民生東路五段,25.058847,121.561094,54.0年,23.11,3188,0,3房2廳2衛1室,1,4,3,['A'],松山區
台北市松山區興安街,25.05583,121.544849,43.7年,29.66,2750,0,3房2廳2衛,0,5,4,['A'],松山區
台北市松山區富錦街,25.060773,121.562807,54.2年,29.13,2800,0,4房2廳1衛,0,4,3,['A'],松山區
台北市松山區撫遠街,25.065708,121.566945,51.0年,27.15,2558,0,4房1廳1.5衛,1,4,1,['A'],松山區
台北市松山區民生東路五段,25.057164,121.560498,56.2年,38.67,4180,0,3房2廳2衛1室,0,4,4,['A'],松山區
台北市松山區民生東路五段,25.059902,121.565265,50.7年,31.01,2680,0,5房3廳3衛,1,4,4,['A'],松山區
台北市松山區健康路,25.05449,121.56764,26.6年,42.35,3488,0,3房2廳2衛,0,12,11,['L'],松山區
台北市松山區三民路,25.056992,121.561961,52.4年,27.06,2920,0,3房2廳2衛,0,4,4,['A'],松山區
台北市松山區民生東路五段,25.05973,121.562016,43.1年,61.73,4480,1,3房2廳2衛,0,15,3,['L'],松山區
台北市松山區民權東路五段,25.063198,121.567176,42.9年,26.93,2468,0,4房3廳3衛,1,4,4,['A'],松山區
台北市松山區復興北路,25.056213,121.544451,40.8年,31.44,3078,0,3房2廳2衛,0,14,7,['L'],松山區
台北市松山區八德路二段,25.046764,121.546209,13.5年,125.16,13000,3,4房2廳2衛2室,1,14,2,['L'],松山區
台北市松山區敦化北路,25.060635,121.549903,9.6年,192.86,26750,4,1廳,0,13,13,['L'],松山區
台北市松山區興安街,25.056024,121.545141,57.2年,19.37,3088,0,4房4廳2衛,1,3,3,['A'],松山區
台北市松山區光復北路,25.054459,121.555787,28.7年,63.4,5988,0,4房2廳2衛1室,0,12,6,['L'],松山區
台北市松山區民族東路,25.062857,121.549091,42.5年,45.73,3988,0,4房2廳2衛,0,7,5,['M'],松山區
台北市松山區撫遠街,25.065574,121.565986,51.0年,27.15,3288,0,3房2廳2衛,1,4,1,['A'],松山區
台北市松山區光復南路,25.047744,121.559616,38.4年,59.26,4790,1,3房2廳2衛,0,6,2,['M'],松山區
台北市松山區南京東路四段,25.052195,121.553157,51.9年,27.36,4980,0,1房1廳2衛,0,4,1,['A'],松山區
台北市松山區八德路四段,25.046437,121.559572,35.3年,16.12,1688,0,1房1廳1衛,0,6,4,['M'],松山區
台北市松山區新東街,25.062313,121.565839,47.7年,27.89,1988,0,3房2廳1衛,0,5,4,['A'],松山區
台北市松山區新東街,25.059688,121.565386,50.7年,31.01,3500,0,2廳1衛1室,0,4,1,['A'],松山區
台北市松山區八德路三段,25.048234,121.556997,37.2年,62.5,4780,1,4房2廳2衛,0,12,2,['L'],松山區
台北市松山區光復南路,25.045731,121.558357,51.5年,33.27,2980,0,3房2廳1衛,0,4,3,['A'],松山區
台北市松山區民生東路五段,25.059514,121.560215,59.4年,47.31,4560,0,4房3廳2衛,0,4,2,['A'],松山區
台北市松山區民生東路五段,25.05833,121.564577,36.7年,11.41,1098,0,1房1廳1衛,0,20,18,['L'],松山區
台北市松山區民生東路三段,25.057465,121.545328,41.7年,48.87,5388,0,4房2廳2衛,0,12,5,['L'],松山區
台北市松山區三民路,25.05666,121.564918,0.7年,48.87,5988,1,3房2廳2衛,0,24,13,['L'],松山區
台北市松山區民族東路,25.062688,121.549302,42.5年,45.73,3688,0,3房2廳4衛,0,7,2,['M'],松山區
台北市松山區寶清街,25.053131,121.568545,8.3年,46.81,3688,2,2房1廳1衛,1,13,1,['L'],松山區
台北市松山區新東街,25.058485,121.566785,53.7年,30.75,2580,0,3房2廳2衛,0,4,4,['A'],松山區
台北市松山區三民路,25.055651,121.560871,21.4年,74.05,6700,1,4房2廳2衛,0,12,4,['L'],松山區
台北市松山區八德路四段,25.048856,121.565803,43.1年,53.75,4288,0,4房2廳2衛,0,7,5,['M'],松山區
台北市松山區光復北路,25.05938,121.555193,37.9年,79.08,8480,1,3房2廳2衛1室,0,17,14-15,['L'],松山區
台北市松山區八德路三段,25.04491,121.552533,39.7年,38.37,3880,0,4房3廳3衛,1,5,5,['A'],松山區
台北市松山區新東街,25.061404,121.564165,42.7年,35.44,2988,0,3房2廳2衛1室,0,5,4,['A'],松山區
台北市松山區八德路四段,25.048974,121.566715,47.1年,23.67,2080,0,6房2廳4衛,1,5,5,['A'],松山區
台北市松山區民族東路,25.06492,121.54572,54.8年,27.38,3288,0,5房1廳4衛,1,4,1,['A'],松山區
台北市松山區延壽街,25.056781,121.560301,56.2年,47.49,4480,0,4房2廳2衛,0,4,3,['A'],松山區
台北市松山區南京東路五段,25.051686,121.570725,8.5年,20.1,2089,0,1房1廳1衛,0,12,6,['L'],松山區
台北市松山區南京東路四段,25.051864,121.552995,1.2年,66.22,9358,1,4房3廳3衛,0,15,9,['L'],松山區
台北市松山區民族東路,25.064416,121.546859,44.6年,35.96,3050,0,2房2廳2衛,0,7,2,['M'],松山區
台北市松山區八德路三段,25.047319,121.554086,41.4年,30.14,3280,0,4房2廳2衛,1,7,1,['M'],松山區
台北市松山區民生東路三段,25.056659,121.546441,43.3年,42.26,4998,0,5房3廳4衛,1,7,7,['M'],松山區
台北市松山區南京東路五段,25.051652513628,121.5648022267,17.0年,24.32,2288,1,1房1廳1衛,0,18,15,['L'],松山區
台北市松山區光復南路,25.045734,121.554654,5.1年,42.7,5680,1,1房2廳1衛,0,22,16,['L'],松山區
台北市松山區撫遠街,25.061381,121.566344,52.3年,28.83,2550,0,4房2廳2衛,1,4,4,['A'],松山區
台北市松山區三民路,25.057689478224,121.56253427309,53.2年,32.5,3888,0,4房2廳2衛2室,1,4,1,['A'],松山區
台北市松山區八德路四段,25.048342,121.560481,23.7年,101.63,17200,2,5房2廳4衛,1,7,7,['M'],松山區
台北市松山區八德路四段,25.050053,121.564409,37.7年,55.88,7200,1,3房3廳3衛3室,1,7,7,['M'],松山區
台北市松山區北寧路,25.048914960575,121.55277671638,11.4年,50.19,5388,2,1房2廳2衛,0,10,9-10,['M'],松山區
台北市松山區光復南路,25.045947,121.558792,42.6年,49.04,4500,0,4房3廳2衛,0,7,B1-1,['M'],松山區
台北市松山區寶清街,25.053131,121.568545,8.3年,37.99,3388,1,2房1廳1衛,1,13,1,['L'],松山區
台北市松山區八德路二段,25.048328,121.54647,19.6年,19.98,3388,0,3房2廳2衛1室,1,13,8,['L'],松山區
台北市松山區光復北路,25.05938,121.555193,37.9年,68.7,7880,0,3房2廳2衛1室,0,17,14-15,['L'],松山區
台北市松山區八德路四段,25.049831,121.57449,12.2年,12.05,1488,0,1房1廳1衛,0,13,7,['L'],松山區
台北市松山區撫遠街,25.065121,121.566408,52.5年,34.22,2300,0,5房5衛,0,4,4,['A'],松山區
台北市松山區八德路二段,25.047785,121.545304,17.1年,21.05,2988,0,2房1廳1衛,1,14,13,['L'],松山區
台北市松山區八德路四段,25.050004,121.563693,34.7年,32.77,3380,0,3房2廳2衛,0,8,1-2,['M'],松山區
台北市松山區八德路四段,25.049941,121.570345,18.1年,22.6,2198,0,3房1廳1衛,1,14,3,['L'],松山區
台北市松山區民權東路五段,25.06278,121.563954,46.5年,28.56,2180,0,5房3廳3衛,1,5,5,['A'],松山區
台北市松山區興安街,25.05599,121.546133,41.6年,34.39,4288,0,3房2廳2衛,0,7,5,['M'],松山區
台北市松山區南京東路三段,25.052351,121.547391,15.6年,59.93,8550,1,4房2廳2.5衛,1,10,10,['M'],松山區
台北市松山區民生東路四段,25.058093,121.551806,46.5年,35.25,3960,0,4房2廳3衛2室,1,7,7,['M'],松山區
台北市松山區民生東路五段,25.06022,121.561913,27.5年,52.21,4999,1,3房2廳2衛,0,7,6,['M'],松山區
台北市松山區健康路,25.054092,121.566855,14.7年,105.38,12868,3,4房2廳3衛,0,15,9,['L'],松山區
台北市松山區民生東路五段,25.059418,121.559036,55.9年,50.69,4680,0,4房3廳3衛1室,1,4,4,['A'],松山區
台北市松山區民生東路五段,25.059211,121.557261,43.5年,66.35,5980,0,3房3廳2衛1室,0,4,B1-1,['A'],松山區
台北市松山區新東街,25.062389,121.565805,45.1年,33.2,2888,0,1房2廳2衛1室,0,5,B1-1,['A'],松山區
台北市松山區八德路四段,25.049416,121.568466,40.0年,33.08,2580,0,3房2廳2衛,0,5,3,['A'],松山區
台北市松山區南京東路五段,25.051686837718,121.5707254987,8.5年,20.1,1988,0,1房1衛,0,12,4,['L'],松山區
台北市松山區南京東路三段,25.053431,121.547567,40.6年,9.18,1100,0,1房1廳1衛,0,7,6,['M'],松山區
台北市松山區八德路二段,25.047785,121.545304,17.1年,21.05,2850,0,1房2廳1衛,0,14,2,['L'],松山區
台北市松山區民生東路五段,25.059964,121.564458,42.5年,54.95,4950,0,3房2廳2衛,0,16,11,['L'],松山區
