路段,緯度,經度,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
台北市中正區羅斯福路一段,25.031424,121.519553,0,1,0,0,0,0,0,0,0,0,0,0,16.9,65.12,9980,2,3.0,2.0,2.0,0.0,0,14,13,13,1,0,1,0,0,0
台北市中正區博愛路,25.033583,121.510841,0,1,0,0,0,0,0,0,0,0,0,0,12.4,226.27,42880,5,0.0,2.0,5.0,1.0,0,12,9,9,1,0,1,0,0,0
台北市中正區羅斯福路三段,25.021456,121.525454,0,1,0,0,0,0,0,0,0,0,0,0,53.0,16.62,2600,0,3.0,2.0,2.0,0.0,1,4,1,1,1,1,0,0,0,0
台北市中正區臨沂街,25.041568246997,121.53073629093,0,1,0,0,0,0,0,0,0,0,0,0,1.9,50.75,8288,1,0.0,2.0,2.0,0.0,0,10,1,1,1,0,0,0,1,0
台北市中正區汀州路三段,25.015798,121.530919,0,1,0,0,0,0,0,0,0,0,0,0,44.9,32.13,2780,0,3.0,2.0,2.0,0.0,0,7,6,6,1,0,0,0,1,0
台北市中正區詔安街,25.024306,121.513322,0,1,0,0,0,0,0,0,0,0,0,0,36.8,33.56,2580,0,3.0,2.0,2.0,0.0,0,4,1,1,1,1,0,0,0,0
台北市中正區汀州路一段,25.027999,121.510166,0,1,0,0,0,0,0,0,0,0,0,0,50.7,32.19,1188,0,3.0,2.0,1.0,1.0,0,4,3,3,1,1,0,0,0,0
台北市中正區南海路,25.028731,121.508565,0,1,0,0,0,0,0,0,0,0,0,0,1.1,37.33,3280,1,2.0,2.0,1.0,0.0,0,7,4,4,1,0,0,0,1,0
台北市中正區同安街,25.02125,121.521395,0,1,0,0,0,0,0,0,0,0,0,0,0.9,22.38,2488,0,1.0,2.0,2.0,0.0,0,9,1,1,1,0,0,0,1,0
台北市中正區杭州南路一段,25.039024,121.526279,0,1,0,0,0,0,0,0,0,0,0,0,35.3,42.75,4308,0,3.0,2.0,2.0,0.0,1,5,-1,1,2,0,0,0,1,0
台北市中正區中華路二段,25.030901,121.504476,0,1,0,0,0,0,0,0,0,0,0,0,45.3,19.42,1550,0,3.0,1.0,1.0,0.0,0,5,3,3,1,1,0,0,0,0
台北市中正區仁愛路二段,25.03895,121.525813,0,1,0,0,0,0,0,0,0,0,0,0,15.4,39.65,4588,1,3.0,2.0,1.0,0.0,0,7,1,1,1,0,0,0,1,0
台北市中正區金華街,25.03093,121.521995,0,1,0,0,0,0,0,0,0,0,0,0,19.6,95.4,12888,2,4.0,2.0,5.0,2.0,0,13,4,4,1,0,1,0,0,0
台北市中正區中華路二段,25.024961,121.509384,0,1,0,0,0,0,0,0,0,0,0,0,44.9,16.22,1266,0,1.0,1.0,1.0,0.0,0,7,5,5,1,0,0,0,1,0
台北市中正區杭州南路一段,25.036742,121.52647,0,1,0,0,0,0,0,0,0,0,0,0,42.8,28.08,3180,0,3.0,1.0,1.0,1.0,0,5,4,4,1,1,0,0,0,0
台北市中正區羅斯福路四段,25.014503,121.534274,0,1,0,0,0,0,0,0,0,0,0,0,20.2,43.06,5488,0,2.0,2.0,2.0,0.0,0,15,15,15,1,0,1,0,0,0
台北市中正區南昌路二段,25.028424,121.519437,0,1,0,0,0,0,0,0,0,0,0,0,37.9,43.14,4980,0,3.0,2.0,2.0,2.0,0,10,5,5,1,0,0,0,1,0
台北市中正區汀州路三段,25.013245,121.533709,0,1,0,0,0,0,0,0,0,0,0,0,25.4,46.67,4580,1,2.0,2.0,5.0,0.0,0,9,4,4,1,0,0,0,1,0
台北市中正區和平西路二段,25.028272,121.513839,0,1,0,0,0,0,0,0,0,0,0,0,46.1,61.89,4580,0,6.0,3.0,3.0,0.0,1,7,3,3,1,0,0,0,1,0
台北市中正區漢口街一段,25.045248,121.512269,0,1,0,0,0,0,0,0,0,0,0,0,1.8,39.32,4498,1,2.0,2.0,1.0,1.0,0,15,10,10,1,0,1,0,0,0
台北市中正區和平西路一段,25.026381483972,121.5195802565,0,1,0,0,0,0,0,0,0,0,0,0,40.8,42.38,4371,0,2.0,2.0,2.0,0.0,0,12,7,7,1,0,1,0,0,0
台北市中正區新生南路一段,25.034152799385,121.53254929359,0,1,0,0,0,0,0,0,0,0,0,0,11.1,116.46,18800,2,0.0,2.0,3.0,0.0,0,14,5,5,1,0,1,0,0,0
台北市中正區廈門街,25.022563,121.51839,0,1,0,0,0,0,0,0,0,0,0,0,32.7,58.78,4488,1,4.0,3.0,4.0,1.0,0,5,-1,1,2,0,0,0,1,0
台北市中正區和平西路二段,25.032783,121.505833,0,1,0,0,0,0,0,0,0,0,0,0,28.6,14.83,1560,0,2.0,2.0,1.0,0.0,1,11,2,2,1,0,1,0,0,0
台北市中正區杭州南路一段,25.042524,121.526604,0,1,0,0,0,0,0,0,0,0,0,0,13.8,128.77,14988,2,4.0,2.0,3.0,2.0,0,7,2,3,2,0,0,0,1,0
台北市中正區寧波西街,25.031175,121.518452,0,1,0,0,0,0,0,0,0,0,0,0,20.8,25.23,4767,0,4.0,3.0,2.0,1.0,1,11,11,11,1,0,1,0,0,0
台北市中正區師大路,25.02071,121.523076,0,1,0,0,0,0,0,0,0,0,0,0,15.4,48.2,4288,1,3.0,2.0,2.0,1.0,1,13,2,2,1,0,1,0,0,0
台北市中正區師大路,25.020700615616,121.52644305578,0,1,0,0,0,0,0,0,0,0,0,0,61.8,39.6,7980,0,5.0,4.0,4.0,1.0,1,2,1,2,2,0,0,0,0,1
台北市中正區羅斯福路三段,25.017921,121.52943,0,1,0,0,0,0,0,0,0,0,0,0,39.7,44.8,5380,0,5.0,3.0,3.0,0.0,1,6,6,6,1,0,0,0,1,0
台北市中正區牯嶺街,25.025998,121.519904,0,1,0,0,0,0,0,0,0,0,0,0,4.4,52.27,6488,1,2.0,2.0,2.0,0.0,0,14,13,13,1,0,1,0,0,0
台北市中正區羅斯福路四段,25.014503,121.534274,0,1,0,0,0,0,0,0,0,0,0,0,20.2,12.07,1799,0,1.0,1.0,2.0,1.0,1,15,13,13,1,0,1,0,0,0
台北市中正區羅斯福路四段,25.014503,121.534274,0,1,0,0,0,0,0,0,0,0,0,0,20.2,15.17,2300,0,2.0,2.0,1.0,1.0,1,15,14,14,1,0,1,0,0,0
台北市中正區南昌路二段,25.025091,121.523342,0,1,0,0,0,0,0,0,0,0,0,0,20.8,28.09,3100,1,2.0,1.0,1.0,0.0,0,11,2,2,1,0,1,0,0,0
台北市中正區重慶南路三段,25.023854,121.517007,0,1,0,0,0,0,0,0,0,0,0,0,17.3,10.7,1080,0,1.0,1.0,1.0,0.0,0,12,10,10,1,0,1,0,0,0
