行政區,路段,緯度,經度,行政區_中正區,行政區_大同區,行政區_中山區,行政區_松山區,行政區_大安區,行政區_萬華區,行政區_信義區,行政區_士林區,行政區_北投區,行政區_內湖區,行政區_南港區,行政區_文山區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
中山區,民權東路二段,25.0623961567,121.529362698,0,0,1,0,0,0,0,0,0,0,0,0,13.1,122.0,6380,1,3,2,2,3,0,12,4,4,1,0,1,0,0,0
中山區,北安路,25.079222,121.546719,0,0,1,0,0,0,0,0,0,0,0,0,3.9,146.0,6500,1,2,2,2,2,0,16,15,15,1,0,1,0,0,0
中山區,伊通街,25.0480033487,121.534796096,0,0,1,0,0,0,0,0,0,0,0,0,7.9,192.0,3250,1,1,1,1,1,0,9,8,8,1,0,1,0,0,0
中山區,農安街,25.0647989892,121.526116823,0,0,1,0,0,0,0,0,0,0,0,0,42.0,110.0,3298,0,3,2,2,3,0,12,7,7,1,0,1,0,0,0
中山區,松江路,25.0657384805,121.535181242,0,0,1,0,0,0,0,0,0,0,0,0,38.2,134.0,3968,0,4,2,2,4,0,11,9,9,1,0,1,0,0,0
中山區,松江路,25.0618980844,121.531615525,0,0,1,0,0,0,0,0,0,0,0,0,44.3,174.0,1350,0,1,1,1,1,0,7,4,4,1,0,1,0,0,0
中山區,農安街,25.0647989892,121.526116823,0,0,1,0,0,0,0,0,0,0,0,0,42.0,68.0,3298,0,3,2,2,3,0,12,7,7,1,0,1,0,0,0
中山區,農安街,25.0647989892,121.526116823,0,0,1,0,0,0,0,0,0,0,0,0,42.0,68.0,3298,0,3,2,2,3,0,12,7,7,1,0,1,0,0,0
中山區,農安街,25.0647989892,121.526116823,0,0,1,0,0,0,0,0,0,0,0,0,42.0,68.0,3298,0,3,2,2,3,0,12,7,7,1,0,1,0,0,0
中山區,農安街,25.0647989892,121.526116823,0,0,1,0,0,0,0,0,0,0,0,0,42.0,68.0,3298,0,3,2,2,3,0,12,7,7,1,0,1,0,0,0
中山區,農安街,25.0647989892,121.526116823,0,0,1,0,0,0,0,0,0,0,0,0,42.0,68.0,3298,0,3,2,2,3,0,12,7,7,1,0,1,0,0,0
中山區,民族東路,25.0682801187,121.523980482,0,0,1,0,0,0,0,0,0,0,0,0,52.3,44.0,3380,0,3,2,2,3,0,7,4,4,1,0,1,0,0,0
中山區,中山北路三段,25.0656491336,121.521620063,0,0,1,0,0,0,0,0,0,0,0,0,36.7,70.0,3980,0,4,2,2,4,0,12,9,9,1,0,1,0,0,0
中山區,民權東路二段,25.0623961567,121.529362698,0,0,1,0,0,0,0,0,0,0,0,0,13.1,135.0,6688,1,3,2,2,3,0,12,4,4,1,0,1,0,0,0
中山區,中山北路一段,25.0499855158,121.523667982,0,0,1,0,0,0,0,0,0,0,0,0,29.8,156.0,1150,0,1,1,1,1,0,7,2,2,1,0,1,0,0,0
中山區,民權東路二段,25.0623970568,121.529315413,0,0,1,0,0,0,0,0,0,0,0,0,13.1,215.0,11980,1,5,2,3,5,0,12,3,3,1,0,1,0,0,0
中山區,德惠街,25.0664593672,121.53155759,0,0,1,0,0,0,0,0,0,0,0,0,54.0,80.0,2450,0,5,3,2,5,0,4,4,4,1,1,0,0,0,0
中山區,遼寧街,25.0508428956,121.542369308,0,0,1,0,0,0,0,0,0,0,0,0,52.9,94.0,3700,0,3,2,2,3,0,4,1,1,1,0,0,0,0,0
中山區,復興北路,25.0652147899,121.543271414,0,0,1,0,0,0,0,0,0,0,0,0,42.4,123.0,3060,0,3,2,2,3,0,5,2,2,1,0,1,0,0,0
中山區,遼寧街,25.0554405486,121.542284416,0,0,1,0,0,0,0,0,0,0,0,0,39.8,180.0,2998,1,3,2,1,3,0,15,4,4,1,0,1,0,0,0
中山區,民權東路三段,25.0625553108,121.541686505,0,0,1,0,0,0,0,0,0,0,0,0,47.3,69.0,2780,0,3,2,2,3,0,7,4,4,1,0,1,0,0,0
中山區,新生北路二段,25.0600680909,121.527258216,0,0,1,0,0,0,0,0,0,0,0,0,47.2,145.0,498,0,1,1,1,1,0,14,12,12,1,0,0,1,0,0
