行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單價,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天,緯度,經度,成交年月
1,0,0,0,0,0,0,0,0,0,0,0,2.99,0,94.99,0,0,0,0,0,0,0,1,0,25.061053,121.525092,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.46,0,72.81,0,0,0,0,0,0,1,0,0,25.059421,121.52569,11409
1,0,0,0,0,0,0,0,0,0,0,0,7.26,0,133.09,0,0,0,0,0,1,0,0,0,25.067545,121.525545,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.52,0,111.65,0,0,0,0,0,0,1,0,0,25.065054,121.523705,11409
1,0,0,0,0,0,0,0,0,0,0,0,2.24,0,74.43,0,0,0,0,0,0,1,0,0,25.065394,121.528033,11409
1,0,0,0,0,0,0,0,0,0,0,0,1.37,0,84.92,0,0,0,0,0,0,0,1,0,25.056513,121.530544,11409
1,0,0,0,0,0,0,0,0,0,0,0,2.2,0,76.93,0,0,0,0,0,0,1,0,0,25.065467,121.524846,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.64,0,81.2,0,0,0,0,0,0,1,0,0,25.062128,121.540435,11409
1,0,0,0,0,0,0,0,0,0,0,0,2.77,0,55.42,0,0,0,0,0,0,1,0,0,25.062772,121.527232,11409
1,0,0,0,0,0,0,0,0,0,0,0,8.02,0,60.29,0,0,0,0,0,0,0,1,0,25.064122,121.528376,11409
1,0,0,0,0,0,0,0,0,0,0,0,15.03,0,79.38,0,0,0,0,0,1,0,0,0,25.068016,121.530315,11409
1,0,0,0,0,0,0,0,0,0,0,0,0.89,0,72.28,0,0,0,0,0,0,1,0,0,25.066744,121.526994,11409
1,0,0,0,0,0,0,0,0,0,0,0,6.2,0,65.7,0,0,0,0,0,0,1,0,0,25.065399,121.525742,11409
1,0,0,0,0,0,0,0,0,0,0,0,6.88,0,131.48,0,0,0,0,0,0,1,0,0,25.061122,121.535182,11409
