路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位,行政區
台北市信義區基隆路一段,37.0年,大樓/套房,建坪 13.72,主 + 陽10.74,2房2衛,6樓/11樓,"1,388",0,信義區
台北市信義區虎林街,50.9年,店面,建坪 24.56,主建物18.63,2廳1衛(含加蓋1廳),1樓/4樓,"6,750",0,信義區
台北市信義區松山路,34.8年,店面,建坪 21.53,主建物10.29,3房1廳4衛1室(含加蓋3房1衛),1樓/5樓,"3,850",0,信義區
台北市信義區信義路六段,47.1年,公寓,建坪 26.02,主 + 陽22.76,7房7衛(含加蓋2房4衛),5樓/5樓,"2,388",0,信義區
台北市信義區忠孝東路四段,47.9年,公寓,建坪 30.53,主 + 陽30.53,6房2廳6衛(含加蓋1房2廳1衛),5樓/5樓,"3,880",0,信義區
台北市信義區忠孝東路五段,31.2年,華廈,建坪 19.84,主 + 陽10.99,1房1廳1衛,6樓/6樓,"2,380",0,信義區
台北市信義區忠孝東路五段,20.8年,店面,建坪 57.46,主 + 陽24.8,2廳1衛(含加蓋1廳),1樓/11樓,"12,717",1,信義區
台北市信義區福德街,47.5年,公寓,建坪 23.01,主 + 陽23.01,3房2廳1衛,3樓/5樓,"1,888",0,信義區
台北市信義區忠孝東路五段,33.4年,單售車位,建坪 193.15,主建物0,--,--,"3,360",12,信義區
台北市信義區林口街,39.9年,華廈,建坪 37.17,主 + 陽34.88,4房2廳2衛,3樓/7樓,"3,380",0,信義區
台北市信義區基隆路一段,預售,辦公/大樓,建坪 123.73,主+附 59.84,2廳1衛2室,25樓/31樓,"18,688",3,信義區
台北市信義區嘉興街,49.2年,公寓,建坪 28.11,主 + 陽28.11,5房5衛,4樓/4樓,"2,480",0,信義區
台北市信義區信義路五段,27.4年,辦公/套房/大樓,建坪 15.97,主 + 陽10.23,1廳1衛,11樓/14樓,"2,150",0,信義區
台北市信義區永吉路,52.7年,店面,建坪 13.54,主建物13.54,3廳1衛,1-3樓/3樓,"2,980",0,信義區
台北市信義區永吉路,68.2年,店面,建坪 33.56,主建物29.91,5房2廳3衛1室(含加蓋2房1衛),1-3樓/3樓,"5,888",0,信義區
台北市信義區松山路,51.8年,公寓,建坪 36.01,主建物36.01,3房2廳1.5衛,3樓/4樓,"3,500",0,信義區
台北市信義區基隆路一段,37.0年,大樓,建坪 69.2,主 + 陽55.36,11房11衛,3樓/11樓,"6,500",0,信義區
台北市信義區光復南路,60.3年,透天,建坪 29.14,主建物29.14,3房2廳1衛,1-2樓/2樓,"11,888",0,信義區
台北市信義區和平東路三段,49.2年,公寓/辦公,建坪 29.48,主建物25.53,1房1廳1衛1室(含加蓋1衛1室),1樓/5樓,"3,380",0,信義區
台北市信義區松山路,51.4年,店面/公寓,建坪 27.84,主建物23.62,2廳1衛1室,1樓/4樓,"5,800",0,信義區
台北市信義區莊敬路,50.4年,公寓,建坪 30.91,主 + 陽30.91,6房4廳2衛1室(含加蓋3房2廳1衛1室),4樓/4樓,"2,987",0,信義區
台北市信義區莊敬路,37.0年,店面,建坪 31.84,主建物9.16,2廳1衛(含加蓋1廳),1樓/7樓,"4,980",0,信義區
台北市信義區和平東路三段,預售,大樓,建坪 44.94,主+附 22.16,1房2廳1.5衛,10樓/24樓,"4,168",1,信義區
台北市信義區吳興街,31.7年,公寓,建坪 44.13,主建物27.68,3房2廳2衛,1樓/5樓,"2,360",0,信義區
台北市信義區信義路五段,16.5年,大樓,建坪 112.37,主 + 陽60.92,3房2廳3衛,10樓/12樓,"19,000",2,信義區
台北市信義區吳興街,47.7年,公寓,建坪 27.48,主 + 陽27.48,7房7衛(含加蓋2房2衛),5樓/5樓,"2,500",0,信義區
台北市信義區莊敬路,50.9年,公寓/店面,建坪 26.01,主建物22.19,2房2廳1衛(含加蓋1廳),1樓/4樓,"3,300",0,信義區
台北市信義區永吉路,19.3年,華廈,建坪 45.4,主 + 陽23.62,2房2廳2衛(含加蓋1廳1衛),1-2樓/10樓,"6,538",1,信義區
台北市信義區永吉路,44.3年,華廈,建坪 39.88,主建物33.65,4房2廳2衛,1樓/7樓,"5,800",0,信義區
台北市信義區吳興街,43.3年,華廈,建坪 32.04,主 + 陽24.96,3房2廳2衛2室(含加蓋2室),6樓/7樓,"2,498",0,信義區
台北市信義區永吉路,19.3年,華廈,建坪 45.4,主 + 陽23.62,2房2廳2衛(含加蓋1廳1衛),1-2樓/10樓,"6,588",2,信義區
台北市信義區忠孝東路五段,49.8年,公寓,建坪 33.18,主 + 陽33.18,5房4廳2衛(含加蓋2房2廳1衛),4樓/4樓,"2,200",0,信義區
台北市信義區松山路,66.2年,透天,建坪 28.43,主建物28.43,4房3廳2衛(含加蓋1房1廳1衛),1-3樓/3樓,"1,980",0,信義區
台北市信義區永吉路,19.3年,華廈,建坪 34.86,主 + 陽23.62,2房2廳2衛(含加蓋1廳1衛),1-2樓/10樓,"6,188",0,信義區
台北市信義區信義路四段,預售,大樓,建坪 41.99,主+附 20.31,2房2廳1衛,15樓/15樓,"5,988",1,信義區
台北市信義區基隆路二段,43.0年,店面/辦公/大樓,建坪 118.94,主建物25.72,1廳1衛1室(含加蓋1室),1樓/12樓,"12,900",0,信義區
