路段,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,單價(萬/坪)
台北市中正區汀州路一段,50.7,32.19,1188.0,0,3.0,2.0,1.0,1.0,0,4.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.90587138863001
台北市中正區南海路,1.1,37.33,3280.0,1,2.0,2.0,1.0,0.0,0,7.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,87.86498794535227
台北市中正區愛國東路,46.4,43.21,5380.0,0,1.0,3.0,2.0,0.0,0,7.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,124.5082156908123
台北市中正區同安街,0.9,22.38,2488.0,0,1.0,2.0,2.0,0.0,0,9.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,111.17068811438786
台北市中正區中華路二段,45.3,19.42,1550.0,0,3.0,1.0,1.0,0.0,0,5.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79.81462409886714
台北市中正區仁愛路二段,15.4,39.65,4588.0,1,3.0,2.0,1.0,0.0,0,7.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,115.7124842370744
台北市中正區金華街,19.6,95.4,12888.0,2,4.0,2.0,5.0,2.0,0,13.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135.0943396226415
台北市中正區中華路二段,44.9,16.22,1266.0,0,1.0,1.0,1.0,0.0,0,7.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78.0517879161529
台北市中正區杭州南路一段,42.8,28.08,3180.0,0,3.0,1.0,1.0,1.0,0,5.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,113.24786324786325
台北市中正區羅斯福路四段,20.2,43.06,5488.0,0,2.0,2.0,2.0,0.0,0,15.0,15,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,127.45006967022758
台北市中正區汀州路三段,25.4,46.67,4580.0,1,2.0,2.0,5.0,0.0,0,9.0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,98.1358474394686
台北市中正區和平西路二段,46.1,61.89,4580.0,0,6.0,3.0,3.0,0.0,1,7.0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74.0022620778801
台北市中正區漢口街一段,1.8,39.32,4498.0,1,2.0,2.0,1.0,1.0,0,15.0,10,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,114.39471007121058
台北市中正區新生南路一段,11.1,116.46,18800.0,1,0.0,2.0,3.0,0.0,0,14.0,5,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,161.42881676111972
台北市中正區和平西路一段,40.8,42.38,4371.0,0,2.0,2.0,2.0,0.0,0,12.0,7,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,103.13827277017461
