行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,房屋總價,單位,房,廳,衛,車位數量,是否加蓋,房屋類型_公寓,房屋類型_大樓,房屋類型_華廈,房屋類型_透天
0,0,0,0,0,0,0,0,0,1,0,0,68.43,13000000,189988.0,2,2,2,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,18.47,10550000,571179.0,3,2,2,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,23.76,5405000,227499.0,3,2,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,1,0,0,29.39,24000000,816500.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,11.25,8450000,750916.0,1,1,1,0,1,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,5.9,3000000,508323.0,3,2,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,28.46,25800000,906470.0,3,2,2,0,1,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,30.79,41800000,1357659.0,2,1,1,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,29.3,18500000,631464.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,25.03,20100000,802979.0,2,2,1,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,36.45,26800000,735233.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,34.01,19000000,558660.0,3,1,2,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,11.91,6000000,503804.0,1,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,8.92,6000000,672595.0,2,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,7.27,850000,116886.0,2,1,1,0,0,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,27.81,13800000,496194.0,3,1,2,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,29.58,13000000,439466.0,2,2,1,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,9.51,6139640,645765.0,6,4,4,2,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,0,0,43.05,35300000,820060.0,3,2,2,0,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,29.9,20000000,668919.0,3,2,2,0,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,8.3,5300000,638512.0,1,1,1,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,25.16,5200000,206712.0,1,2,2,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,27.31,18500000,677342.0,5,0,5,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,32.09,17200000,536009.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,44.14,29600000,670539.0,3,2,2,1,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,34.37,32000000,1100709.0,2,2,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,103.1,75000000,727468.0,5,2,3,4,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,24.57,5500000,223859.0,2,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,9.31,14500000,1556807.0,1,1,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,57.17,47500000,975518.0,3,2,2,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,46.03,10000000,217257.0,3,2,2,2,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,35.28,19200000,544164.0,3,2,2,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,19.51,22000000,1127734.0,1,1,1,1,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,33.33,26260000,787894.0,3,2,2,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,38.72,35000000,1111625.0,2,1,1,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,29.86,22300000,746827.0,3,1,1,0,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,10.98,7000000,637659.0,1,1,1,0,1,0,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,16.67,10200000,611963.0,4,2,2,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,26.54,16000000,602975.0,3,1,2,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,36.25,32000000,882649.0,3,2,1,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,87.73,66000000,809729.0,3,2,2,1,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,32.43,22380000,690149.0,3,2,2,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,20.91,12000000,573841.0,1,2,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0,0,0,9.97,13150000,1318908.0,1,1,1,0,1,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,59.66,33250000,557335.0,3,2,2,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,0,0,0,35.49,16000000,450805.0,3,2,2,0,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,16.29,11000000,675153.0,4,2,4,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,1,27.66,14800000,535001.0,3,2,1,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,22.5,16300000,724545.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,26.91,13550000,503582.0,7,3,3,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,82.28,41000000,498320.0,3,2,2,2,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,25.61,29800000,1163628.0,2,1,1,0,0,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,53.29,30000000,562978.0,2,2,2,1,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,87.38,65800000,958798.0,3,2,2,2,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,0,35.55,22000000,618905.0,4,2,2,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,65.81,61800000,939046.0,4,2,2,2,1,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,20.14,12910000,640905.0,2,2,1,0,1,1,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,31.53,24800000,786642.0,3,2,2,0,1,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,18.42,3700000,200844.0,2,2,1,0,1,1,0,0,0
