物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
ZS168278,光復北優質一樓,松山區光復北路,4室4衛,179坪,1/12樓,174年,住宅,169萬
ZS171184,松山光北京璽四房雙車,松山區光復北路,4房(室)2廳2衛,199坪,5/7樓,194年,住宅,189萬
ZS164879,復興北民權捷運純辦II,松山區18800復興北路,OPEN,222坪,13/15樓,216年,辦公,210萬
ZS164880,復興北民權捷運純辦III,松山區復興北路,OPEN,41坪,13/15樓,35年,辦公,26萬
ZS174975,光北雙星2樓住辦,松山區光復北路,--房(室)--廳1衛,70坪,2/12樓,64年,住宅,55萬
YS164289,百坪保富通商大樓,松山區復興北路,--房(室)3廳4衛,87坪,13/15樓,35年,辦公,82萬
ZS172529,復興北民生收租店面,松山區復興北路,開放式,110坪,1/14樓,104年,店面,98萬
WS25425,敦北長庚贊泰小透天,松山區民生東路四段,5房(室)3廳4衛,138坪,1-3/3樓,131年,住宅,123萬
XS117165,復北雙捷優質店面,松山區復興北路,--房(室)1廳1衛,110坪,1/14樓,104年,店面,98萬
WS24393,復興北捷運面寬一樓,松山區復興北路,OPEN,110坪,1/14樓,104年,店面,163萬
WS24600,南京三民都更危老1+2樓,松山區八德路四段,4房(室)3廳2衛,176坪,1-2/4樓,182年,住商,174萬
ZS182104,捷運雙敦大戶四房,松山區南京東路四段,4房(室)2廳2衛,210坪,4/12樓,204年,住宅,200萬
WS33565,延壽街寬巷金店面,松山區延壽街,1廳1衛,233坪,1/12樓,227年,店面,222萬
WS31119,S1188復興北路黃金店面,松山區復興北路,店面,43坪,1/14樓,35年,店面,26萬
WS40573,三民捷運．收租鑽石店,松山區三民路,1房(室)1廳1衛,73坪,1/8樓,66年,店面,58萬
WS22500,雙敦學區全新一樓店面,松山區南京東路三段,開放式,95坪,1/11樓,90年,店面,85萬
ZS188057,南京東路經典店面,松山區南京東路五段,1房(室)--廳--衛,117坪,1/11樓,110年,店面,106萬
WS34469,鋼骨建築賞住辦三房車,松山區八德路四段,3房(室)--廳3衛,137坪,2/14樓,110年,住宅,127萬
WS45031,【南京復興｜慶城・三面採光】,松山區興安街,3房(室)2廳2衛,163坪,4/5樓,156年,住宅,149萬
QS33530,西松國小正三民路金店面,松山區三民路,1房(室)1廳1衛,73坪,1/8樓,66年,店面,58萬
WS40069,八德路三角窗大面寬金店,松山區八德路三段,--房(室)3廳3衛,195坪,1/5樓,190年,住宅,186萬
OS203321,V55復北民生收租金店面,松山區復興北路,--房(室)1廳1衛,43坪,1/14樓,35年,住宅,26萬
ZS159001,松山饒河黃金店面,松山區基隆路一段,1房(室)2廳1衛,230坪,1/12樓,225年,店面,219萬
WS24917,復北民生正馬路金店面,松山區復興北路,開放式,42坪,1/14樓,35年,住宅,26萬
WS34474,鋼骨建築賞住辦二房,松山區八德路四段,2房(室)2廳--衛,64坪,2/14樓,60年,住宅,55萬
WS44380,南京三民金店辦,松山區基隆路一段,OPEN,88坪,1/12樓,82年,辦公,76萬
WS47303,南京三民捷運樓中樓,松山區南京東路五段,3房(室)2廳3衛,113坪,17/17樓,106年,住宅,100萬
WS47237,$民生社區庭院五房,松山區新東街,5房(室)2廳2衛,129坪,1/4樓,133年,住宅,126萬
ZS192165,民生社區撫遠街庭院精裝一樓,松山區撫遠街,3房(室)2廳2衛,151坪,1/4樓,153年,住宅,149萬
YS194056,民生社區陽光2樓美居,松山區富錦街,3房(室)2廳2衛,180坪,2/4樓,174年,住宅,171萬
WS65092,南京三民國泰一樓,松山區南京東路五段,4室2廳2衛,203坪,1/5樓,197年,店面,192萬
WS69311,南京三民電梯四房,松山區八德路四段,4房(室)2廳2衛,227坪,6/7樓,221年,住宅,192萬
ZS175973,富春邊間四房美廈,松山區民生東路三段,4房(室)2廳2衛,248坪,2/7樓,242年,住宅,239萬
WS34435,民權東面寬金店,松山區民權東路五段,1廳1衛,40坪,1/7樓,34年,店面,25萬
WS46139,南京三民捷運金店面,松山區八德路四段,8房(室)2廳3衛,67坪,1-B1/7樓,61年,店面,55萬
ZS164533,大巨蛋黃金店,松山區市民大道五段,OPEN,90坪,1/9樓,85年,店面,79萬
ZS117947,015-大巨蛋金店面,松山區市民大道五段,開放式,90坪,1/9樓,85年,店面,79萬
WS47464,敦北捷運3房美廈可改4房,松山區民族東路,3房(室)2廳4衛,123坪,2/7樓,117年,住宅,110萬
WS41124,專約民生西華店辦一樓,松山區復興北路,5房(室)--廳4衛,147坪,B1-1/7樓,141年,住商,134萬
ZS199133,八德方正低總美廈,松山區八德路三段,1房(室)1廳1衛,176坪,6/12樓,169年,辦公,160萬
WS68322,南京三民捷運電梯美居,松山區寶清街,1房(室)1廳1衛,198坪,6/11樓,192年,住宅,188萬
ZS199383,小巨蛋學區三房,松山區南京東路四段,3房(室)2廳2衛,220坪,2/7樓,214年,住宅,210萬
YS196495,復興南路微風廣場旁金店面,松山區復興南路一段,開放式,239坪,1/12樓,234年,店面,231萬
WS69592,捷運南京三民臨路黃金店面,松山區寶清街,OPEN,42坪,1/4樓,35年,店面,26萬
WS48970,民生社區子母坡平車位,松山區民生東路五段,--房(室)--廳--衛,25坪,B1/12樓,63年,車位,54萬
WS63861,$民生社區靜巷美寓,松山區撫遠街,3房(室)2廳2衛,88坪,4/4樓,83年,住宅,78萬
ZS196823,小巨蛋四房美廈,松山區八德路三段,4房(室)2廳2衛,113坪,2/12樓,107年,住商,99萬
WS62833,專-南京復興雙敦靜巷5房美寓,松山區南京東路三段,5房(室)2廳2衛,129坪,4/4樓,131年,住宅,126萬
