物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
YS190701,近捷運黃金三樓,南港區南港路一段,3房(室)2廳1衛,160坪,3/4樓,153年,住宅,150萬
WS70345,福德都更三房雅寓,南港區福德街,3房(室)2廳1衛,179坪,3/4樓,174年,住宅,171萬
YS196831,S1483玉成公園超值美寓1F,南港區福德街,4房(室)2廳2衛,203坪,1/4樓,197年,住宅,192萬
YS191309,後山埤站稀有一樓門口可停車,南港區成福路,6房(室)3廳2衛,223坪,1--1/5樓,218年,其他,212萬
CS178337,專約台北南港近中研院公寓,南港區研究院路二段,3房(室)2廳1衛,44坪,4/5樓,37年,住宅,26萬
XS108533,胡適庭園景觀透天,南港區研究院路二段,7房(室)3廳3衛,69坪,1-2/2樓,63年,住宅,56萬
XS95353,後山埤住店辦,南港區玉成街,2房(室)3廳1.5衛,98坪,1/7樓,92年,住商,83萬
XS120308,忠孝無極金店面,南港區忠孝東路六段,１廳２衛,123坪,1/16樓,80年,店面,110萬
YS183566,S1326忠孝東路捷運金店面,南港區忠孝東路六段,店面,123坪,1/16樓,80年,店面,135萬
QS37217,正忠孝東路收租金店l 投資首選,南港區忠孝東路六段,--房(室)1廳1衛,123坪,1/16樓,80年,其他,135萬
ZS194481,南港舊莊收租五套房,南港區南深路,5房(室)--廳5衛,168坪,2/4樓,37年,住宅,158萬
ZS192245,南港綠意美景公寓,南港區舊莊街一段,3房(室)2廳1衛,188坪,5/5樓,182年,住宅,179萬
YS195520,南港車站双美館高樓景觀,南港區興中路,3房(室)2廳2衛,214坪,13/24樓,207年,住宅,201萬
WS69643,國泰悠陽綠意3房,南港區向陽路,3房(室)2廳2衛,237坪,8/15樓,231年,住宅,226萬
WS69766,中研院公園邊間一樓,南港區研究院路二段,2房(室)2廳2衛,27坪,1/4樓,34年,住宅,24萬
WS69914,信義逸居精品2房坡車,南港區成福路,2房(室)2廳2衛,66坪,2/7樓,60年,住宅,53萬
YS196631,南港溪有裝潢透天,南港區福山街,6房(室)3廳3衛,80坪,1-2/2樓,84年,住宅,77萬
WS55640,昆陽面公園美寓,南港區忠孝東路六段,3房(室)2廳2衛,105坪,3/4樓,108年,住宅,103萬
ZS195357,8810遠雄ICity整層出售,南港區成功路一段,開放式,139坪,7/14樓,133年,廠房,125萬
ZS196100,遠雄宜進新辦公室,南港區成功路一段,--房(室)2廳--衛,156坪,2/14樓,133年,辦公,148萬
ZS196197,遠雄宜進,南港區成功路一段,--房(室)1廳--衛,169坪,2/14樓,133年,辦公,165萬
ZS196190,遠雄宜進新辦公室,南港區成功路一段,--房(室)1廳--衛,179坪,2/14樓,133年,辦公,175萬
