區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
中正區,戀戀台大正面台大,台北市中正區羅斯福路四段,4200 萬 (含車位價),辦公商業大樓,20.2年,建坪46.00,主+陽19.71,12/15樓,2房(室)3廳2衛(含加蓋1房(室)1廳1衛),1
中正區,宏燁文華C戶2F,台北市中正區,1475 萬,華廈,--年,建坪10.30,主+陽5.88,2/9樓,1房(室)--廳1衛,0
中正區,低總金華挑高美宅,台北市中正區信義路二段,1500 萬,華廈,17.3年,建坪7.17,主3.68,6/7樓,1房(室)1廳1衛(含加蓋1房(室)1廳--衛),0
中正區,金質站前壹號,台北市中正區開封街一段,17898 萬,透天厝,83.6年,建坪--,無資料,1~2/2樓,--房(室)3廳2衛(含加蓋--房(室)1廳--衛),0
中正區,水岫水岸邊間景觀,台北市中正區重慶南路三段,4360 萬 (含車位價),住宅大樓,14.0年,建坪49.73,主+陽30.02,10/15樓,3房(室)2廳2衛,1
中正區,邊間兩房古亭捷運,台北市中正區金門街,2568 萬,華廈,35.3年,建坪23.94,主+陽19.17,3/5樓,2房(室)1廳1衛,0
中正區,元亨露台景觀大戶,台北市中正區忠孝東路二段,7988 萬 (含車位價),住宅大樓,15.7年,建坪62.93,主+陽36.19,12~13/13樓,2房(室)2廳2衛,1
中正區,古亭捷運校園採光,台北市中正區廈門街,2650 萬,公寓,42.3年,建坪39.31,主+陽36.97,5/5樓,2房(室)2廳2衛,0
中正區,城中御邸世紀藏品,台北市中正區博愛路,10800 萬 (含車位價),住宅大樓,12.2年,建坪91.19,主+陽51.99,4/31樓,3房(室)2廳3衛,1
中正區,高樓景觀安家藏玉,台北市中正區忠孝東路二段,3680 萬,住宅大樓,0.4年,建坪22.70,主+陽13.77,12/21樓,1房(室)2廳1衛,0
中正區,城中精緻裝潢美屋,台北市中正區衡陽路,2950 萬 (含車位價),住宅大樓,7.6年,建坪24.95,主+陽12.73,9/15樓,1房(室)2廳1衛,1
中正區,中正植物園美寓,台北市中正區博愛路,3200 萬,公寓,54.1年,建坪27.25,主+陽27.25,3/4樓,3房(室)2廳1衛,0
中正區,宏燁文華D戶2F,台北市中正區,1755 萬,華廈,--年,建坪12.96,主+陽7.40,2/9樓,1房(室)--廳1衛,0
中正區,中正捷運綠蔭坡平,台北市中正區和平西路一段,8988 萬 (含車位價),住宅大樓,14.6年,建坪--,無資料,12/18樓,3房(室)2廳2衛,1
中正區,中正國中四房平車,台北市中正區泰安街,8980 萬 (含車位價),華廈,17.2年,建坪96.85,主+陽46.12,2/6樓,4房(室)2廳3.5衛,1
中正區,佳元臨沂庭院1樓,台北市中正區臨沂街,8288 萬 (含車位價),華廈,1.8年,建坪50.75,主+陽26.09,1/10樓,--房(室)2廳2衛,1
中正區,銅山傳家平車大戶,台北市中正區銅山街,7800 萬,華廈,48.6年,建坪41.32,主+平41.32,1/7樓,4房(室)2廳3衛(含加蓋--房(室)--廳1衛),0
中正區,最新完工安家藏玉,台北市中正區忠孝東路二段,3500 萬,住宅大樓,0.4年,建坪22.70,主+陽13.77,6/21樓,1房(室)2廳1衛,0
中正區,仁愛高樓四房坡車,台北市中正區仁愛路一段,6888 萬 (含車位價),住宅大樓,27.6年,建坪57.17,主+陽35.32,14/16樓,4房(室)2廳2衛,1
中正區,帝璟苑迎曦露臺戶,台北市中正區延平南路,8688 萬 (含車位價),住宅大樓,6.6年,建坪75.95,主+陽43.33,4/22樓,--房(室)1廳--衛,1
中正區,文學公園電梯3房,台北市中正區水源路,4696 萬 (含車位價),住宅大樓,6.8年,建坪46.52,主+陽23.97,5/15樓,3房(室)2廳2衛,1
中正區,中華帝標捷運套房,台北市中正區中華路一段,1988 萬,住宅大樓,10.2年,建坪16.85,主+陽10.83,7/15樓,1房(室)1廳1衛,0
中正區,面公園綠蔭3房,台北市中正區水源路,4576 萬 (含車位價),住宅大樓,6.8年,建坪46.30,主+陽23.64,4/15樓,3房(室)2廳2衛,1
中正區,廈川里美2FA1,台北市中正區,2734 萬,住宅大樓,--年,建坪26.97,主+陽17.59,2/14樓,3房(室)1廳1.5衛,0
中正區,西門小資金店,台北市中正區衡陽路,488 萬,店面,31.1年,建坪3.95,主2.18,1/11樓,--房(室)1廳--衛,0
中正區,精裝兩房近古亭,台北市中正區水源路,4068 萬 (含車位價),住宅大樓,6.7年,建坪40.32,主+陽21.05,2/15樓,2房(室)2廳2衛,1
中正區,忠孝捷運臻品美辦,台北市中正區金山北路,1250 萬,辦公商業大樓,15.3年,建坪13.50,主+陽7.77,4/14樓,1房(室)--廳1衛,0
中正區,古亭捷運公園2房,台北市中正區同安街,2568 萬,公寓,39.0年,建坪30.21,主+平14.89,B1~1/4樓,2房(室)2廳2衛(含加蓋1房(室)1廳1衛),0
中正區,華山文創芳鄰美辦,台北市中正區金山北路,1250 萬,辦公商業大樓,15.3年,建坪13.50,主+陽7.77,4/14樓,1房(室)--廳1衛,0
中正區,新生獨立工作美辦,台北市中正區金山北路,1250 萬,辦公商業大樓,15.3年,建坪13.50,主+陽7.77,4/14樓,1房(室)--廳1衛,0
中正區,專任古亭裝潢坡車,台北市中正區廈門街,3888 萬 (含車位價),住宅大樓,7.1年,建坪41.74,主+陽19.77,2/12樓,2房(室)2廳1衛,1
中正區,中正豪園一層一戶,台北市中正區三元街,7300 萬 (含車位價),住宅大樓,13.1年,建坪108.40,主+陽53.72,2/11樓,4房(室)2廳3.5衛,1
中正區,中正國中捷運兩房,台北市中正區和平西路一段,4398 萬 (含車位價),住宅大樓,6.8年,建坪28.97,主+陽14.54,9/14樓,2房(室)1廳1衛,1
中正區,展宜摘月金華美廈,台北市中正區臨沂街,5400 萬 (含車位價),華廈,8.0年,建坪32.65,主+陽17.25,4/5樓,3房(室)2廳2衛,1
中正區,廈川里美2FA2,台北市中正區,2729 萬,住宅大樓,--年,建坪27.06,主+陽17.65,2/14樓,3房(室)1廳1.5衛,0
中正區,中正古亭視野美屋,台北市中正區南昌路二段,5500 萬,辦公商業大樓,46.4年,建坪57.87,主+陽56.20,8/8樓,4房(室)2廳4衛(含加蓋4房(室)1廳4衛),0
中正區,中正國中裝潢美宅,台北市中正區和平西路一段,3498 萬 (含車位價),住宅大樓,6.7年,建坪25.36,主+陽12.49,2/14樓,1房(室)1廳1衛,1
中正區,古亭中正觀邸,台北市中正區汀州路二段,3368 萬 (含車位價),辦公商業大樓,30.1年,建坪43.03,主+陽25.43,3/14樓,2房(室)2廳1衛,1
中正區,黑土東門邊間金華,台北市中正區連雲街,4380 萬,公寓,60.6年,建坪39.50,主39.50,3/4樓,3房(室)2廳1.5衛,0
