區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
信義區,國館大巨蛋收租首,台北市信義區忠孝東路四段,3880 萬,公寓,47.8年,建坪30.53,主+陽30.53,5/5樓,6房(室)2廳6衛(含加蓋1房(室)2廳1衛),0
信義區,彰化銀行金融店辦,台北市信義區基隆路一段,47500 萬 (含車位價),辦公商業大樓,34.0年,建坪322.86,主+陽185.48,1~2/16樓,12房(室)1廳2衛,1
信義區,世貿財盛財經辦公,台北市信義區基隆路二段,2888 萬 (含車位價),辦公商業大樓,34.3年,建坪40.30,主22.04,4/12樓,2房(室)--廳--衛,1
信義區,C5宏築後棟坡車,台北市信義區,5280 萬 (含車位價),住宅大樓,--年,建坪61.04,主+陽29.98,3/24樓,2房(室)2廳2衛,1
信義區,世貿挑高質感金店,台北市信義區信義路四段,4980 萬,店面,21.1年,建坪27.98,主+陽25.75,1/11樓,--房(室)2廳1衛(含加蓋--房(室)2廳--衛),0
信義區,逸仙路靜巷金雞母,台北市信義區逸仙路,4500 萬,公寓,46.1年,建坪31.77,主+平+陽31.77,5/5樓,8房(室)1廳7衛(含加蓋4房(室)1廳3衛),0
信義區,世貿新城住辦一樓,台北市信義區松智路,6558 萬,華廈,27.8年,建坪53.10,主+陽28.02,1/9樓,3房(室)2廳2衛,0
信義區,樂揚映白兩房坡車,台北市信義區,4188 萬 (含車位價),住宅大樓,--年,建坪40.96,主+陽19.32,6/12樓,2房(室)2廳2衛,1
信義區,世貿美妝金店,台北市信義區光復南路,7800 萬,店面,17.4年,建坪41.65,主+陽27.47,1~2/18樓,--房(室)2廳1衛,0
信義區,公園旁四房美寓,台北市信義區大道路,2298 萬,公寓,41.9年,建坪30.12,主+陽30.12,4/5樓,4房(室)2廳2衛,0
信義區,信義北醫低總二樓,台北市信義區吳興街,1490 萬,公寓,52.1年,建坪17.45,主+陽17.44,2/4樓,2房(室)1廳1衛,0
信義區,廣慈大空間一樓,台北市信義區忠孝東路五段,3180 萬,店面,42.1年,建坪50.55,主+平24.95,1/5樓,3房(室)2廳2衛(含加蓋2房(室)1廳--衛),0
信義區,信義邊間有陽台,台北市信義區信義路五段,2150 萬,辦公商業大樓,27.2年,建坪15.97,主+陽10.23,11/14樓,1房(室)1廳1衛,0
信義區,捷運崇德方正美寓,台北市信義區崇德街,2255 萬,公寓,39.1年,建坪28.91,主+陽24.53,5/5樓,3房(室)2廳1.5衛,0
信義區,吳興高投報收租屋,台北市信義區吳興街,1980 萬,公寓,39.0年,建坪31.09,主+陽28.07,5/5樓,7房(室)1廳6衛(含加蓋2房(室)1廳2衛),0
信義區,五分埔邊間透天,台北市信義區永吉路,2980 萬,透天厝,52.6年,建坪13.54,主13.54,1~3/3樓,--房(室)3廳1衛,0
信義區,巨蛋文創店面,台北市信義區忠孝東路四段,9888 萬,辦公商業大樓,35.1年,建坪44.61,主+平24.95,1/7樓,--房(室)2廳1衛(含加蓋--房(室)1廳1衛),0
信義區,仁愛林蔭名邸坡車,台北市信義區仁愛路四段,7998 萬 (含車位價),住宅大樓,40.4年,建坪62.20,主+陽42.37,3/12樓,4房(室)2廳2衛,1
信義區,稀有信義CASA,台北市信義區吳興街,2580 萬 (含車位價),華廈,2.0年,建坪29.94,主+陽10.90,5/8樓,1房(室)2廳1衛,1
信義區,寶徠花園出價就談,台北市信義區信義路五段,19900 萬 (含車位價),住宅大樓,18.6年,建坪122.82,主+陽70.08,5/27樓,4房(室)2廳4衛,1
信義區,川普空屋價好談,台北市信義區信義路五段,1770 萬,住宅大樓,16.5年,建坪14.47,主+陽9.13,4/19樓,1房(室)1廳1衛(含加蓋--房(室)--廳1衛),0
信義區,忠孝海華面寬住辦,台北市信義區忠孝東路五段,8800 萬,店面,41.7年,建坪66.94,主+陽28.54,1/7樓,3房(室)2廳4衛,0
信義區,萬坪公園旁金店面,台北市信義區中坡南路,5858 萬,店面,42.6年,建坪33.74,主+平30.41,1/5樓,2房(室)2廳1衛(含加蓋--房(室)--廳1衛),0
信義區,五分埔金雞母,台北市信義區松山路,7900 萬,公寓,41.1年,建坪50.27,主+平28.60,1/5樓,--房(室)1廳1衛,0
信義區,辦公自住停車一樓,台北市信義區和平東路三段,3380 萬,公寓,49.0年,建坪29.48,主29.48,1/5樓,2房(室)1廳1衛(含加蓋1房(室)--廳1衛),0
信義區,永春捷運人潮金店,台北市信義區虎林街,3600 萬,店面,40.3年,建坪34.77,主+平25.57,1/5樓,2房(室)2廳2衛(含加蓋2房(室)1廳--衛),0
信義區,高投報三角窗收租,台北市信義區永吉路,15500 萬,公寓,50.6年,建坪30.99,主30.99,1/4樓,--房(室)4廳2衛,0
信義區,永春邊間車庫一樓,台北市信義區虎林街,3390 萬,公寓,54.1年,建坪26.34,主26.34,1/4樓,1房(室)2廳1衛(含加蓋1房(室)--廳--衛),0
信義區,信義稀有方正壹樓,台北市信義區信義路六段,3520 萬,公寓,50.5年,建坪27.82,主27.82,1/4樓,3房(室)1廳1衛(含加蓋1房(室)--廳--衛),0
信義區,微風市府站旁住辦,台北市信義區忠孝東路五段,14500 萬,華廈,46.5年,建坪48.05,主+陽40.51,6/7樓,4房(室)1廳1衛,0
信義區,太子東宮電梯2房,台北市信義區松山路,2488 萬,住宅大樓,40.4年,建坪21.59,主+陽17.02,6/14樓,2房(室)2廳1衛,0
信義區,廣慈正對面黑土屋,台北市信義區福德街,4300 萬,公寓,51.3年,建坪24.02,主17.77,1/4樓,5房(室)--廳2衛(含加蓋2房(室)--廳--衛),0
信義區,春秋大廈景觀辦公,台北市信義區忠孝東路五段,11800 萬,住宅大樓,42.4年,建坪87.39,主+陽76.52,13/14樓,--房(室)2廳2衛,0
信義區,EAT方正國際,台北市信義區忠孝東路五段,2698 萬,辦公商業大樓,20.4年,建坪15.71,主+陽8.94,2/11樓,1房(室)1廳2衛(含加蓋1房(室)--廳1衛),0
信義區,忠孝人潮捷運店王,台北市信義區忠孝東路五段,8916 萬,店面,20.6年,建坪29.92,主+陽22.52,1/11樓,--房(室)1廳1衛,0
