區域,建案名稱,地址,價格,類型,屋齡,總坪數,實際坪數,樓層,規格,車位
文山區,政大靜巷華廈四房,台北市文山區指南路三段,2680 萬,華廈,42.1年,建坪52.67,主+陽40.51,3/6樓,4房(室)2廳2衛,0
文山區,公園美景電梯2房,台北市文山區興隆路二段,2698 萬 (含車位價),華廈,25.9年,建坪40.84,主+陽27.32,4/7樓,2房(室)2廳2衛(含加蓋--房(室)--廳1衛),1
文山區,大隱城市美墅山林,台北市文山區木柵路四段,5788 萬 (含車位價),透天厝,33.6年,建坪102.61,主+平+陽+露72.59,1~4/4樓,4房(室)2廳3衛,1
文山區,景美捷運旁住辦,台北市文山區景福街,3999 萬 (含車位價),住宅大樓,21.1年,建坪49.13,主+陽28.94,3/11樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),1
文山區,面公園日光三樓,台北市文山區木新路三段,1650 萬,公寓,43.2年,建坪31.57,主+陽27.17,3/5樓,3房(室)2廳1衛,0
文山區,松園住辦庭院一樓,台北市文山區恆光街,3680 萬,公寓,35.9年,建坪77.13,主+平39.36,B1~1/5樓,3房(室)3廳3衛(含加蓋--房(室)1廳1衛),0
文山區,景美潤泰電梯3房,台北市文山區溪口街,2980 萬,華廈,30.4年,建坪32.17,主+陽27.83,4/6樓,3房(室)2廳2衛,0
文山區,藝文休閒隱居庭院,台北市文山區辛亥路四段,2380 萬,透天厝,52.8年,建坪24.42,主24.42,1~2/2樓,3房(室)3廳2衛(含加蓋1房(室)1廳1衛),0
文山區,近萬芳捷運大公寓,台北市文山區辛亥路五段,2998 萬,公寓,40.6年,建坪56.02,主+陽56.02,4/5樓,4房(室)2廳2衛,0
文山區,捷運水岸風華雅居,台北市文山區木柵路四段,3360 萬,住宅大樓,15.0年,建坪38.99,主+陽26.13,4/19樓,2房(室)2廳2衛,0
文山區,景美電梯三房車位,台北市文山區景後街,2630 萬 (含車位價),住宅大樓,31.3年,建坪39.95,主+陽20.74,12/13樓,3房(室)2廳2衛,1
文山區,興隆電梯兩房平車,台北市文山區興隆路二段,1498 萬 (含車位價),華廈,28.2年,建坪19.80,主+陽8.46,4/6樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),1
文山區,靜心精裝美宅,台北市文山區興隆路二段,2250 萬 (含車位價),華廈,6.2年,建坪28.17,主+陽13.06,2/7樓,--房(室)1廳1衛,1
文山區,裝潢庭院車庫一樓,台北市文山區景興路,2980 萬,公寓,43.5年,建坪27.88,主+平27.88,1/5樓,4房(室)2廳3衛,0
文山區,捷運邊間置產首選,台北市文山區興隆路一段,2000 萬,公寓,49.7年,建坪27.47,主27.47,3/4樓,3房(室)2廳1衛,0
文山區,萬芳醫院捷運頂加,台北市文山區興德路,1788 萬,公寓,47.5年,建坪26.00,主+陽26.00,4/4樓,4房(室)3廳2衛(含加蓋2房(室)1廳1衛),0
文山區,富山名人路大一樓,台北市文山區富山路,3680 萬,華廈,31.3年,建坪81.24,主+平40.00,B1~1/6樓,8房(室)2廳7衛(含加蓋4房(室)--廳4衛),0
文山區,元利公園電梯2房,台北市文山區下崙路,1598 萬,華廈,9.2年,建坪19.75,主+陽11.95,2/7樓,2房(室)1廳1衛(含加蓋1房(室)--廳--衛),0
文山區,獨家景美捷運兩室,台北市文山區景後街,2850 萬,辦公商業大樓,31.2年,建坪30.16,主+陽20.61,5/13樓,2房(室)2廳1衛,0
文山區,未來捷運綠野山莊,台北市文山區萬壽路,2688 萬 (含車位價),住宅大樓,30.1年,建坪53.62,主+陽34.42,4/15樓,2房(室)2廳2衛,1
文山區,政大未來捷運美墅,台北市文山區政大一街,5980 萬 (含車位價),透天厝,19.1年,建坪118.22,主+陽101.56,B1~4/4樓,6房(室)3廳5衛(含加蓋--房(室)--廳2衛),1
文山區,愛眉首購高樓景觀,台北市文山區辛亥路四段,1222 萬,住宅大樓,22.4年,建坪13.73,主+陽9.70,13/14樓,--房(室)1廳1衛,0
文山區,台北大亨四房大戶,台北市文山區興隆路四段,3580 萬 (含車位價),住宅大樓,33.5年,建坪54.98,主+陽42.33,6/11樓,4房(室)2廳2衛,1
文山區,潤泰美景山莊鼎佳,台北市文山區景興路,1790 萬,公寓,43.5年,建坪22.55,主+陽+露22.55,5/5樓,5房(室)2廳2衛(含加蓋3房(室)--廳1衛),0
文山區,明道雙語三房坡車,台北市文山區興隆路四段,2880 萬 (含車位價),住宅大樓,30.5年,建坪46.57,主+陽25.65,10/13樓,3房(室)2廳2衛,1
文山區,南環捷運機能三樓,台北市文山區木柵路三段,1380 萬,公寓,43.3年,建坪22.52,主+陽21.24,3/5樓,3房(室)2廳1衛,0
文山區,御花園景觀豪邸,台北市文山區萬壽路,3758 萬 (含車位價),住宅大樓,26.8年,建坪70.37,主+陽41.36,4/12樓,2房(室)2廳2.5衛,1
文山區,實踐國中靜巷美寓,台北市文山區光輝路,2098 萬,公寓,43.8年,建坪39.10,主+陽36.05,4/5樓,4房(室)2廳2衛,0
文山區,棕櫚泉高樓打通戶,台北市文山區萬芳路,4988 萬 (含車位價),住宅大樓,30.0年,建坪63.59,主+陽48.24,10/12樓,5房(室)2廳3衛,1
文山區,萬隆公園森林美廈,台北市文山區興隆路二段,4280 萬 (含車位價),住宅大樓,11.6年,建坪60.26,主+陽32.44,9/11樓,3房(室)2廳2衛,1
文山區,馥麗景觀三房車位,台北市文山區景後街,5758 萬 (含車位價),住宅大樓,10.5年,建坪73.21,主+陽36.80,11/15樓,3房(室)2廳2衛,1
文山區,南方庭園管理三房,台北市文山區辛亥路四段,1888 萬,公寓,39.6年,建坪32.46,主+陽31.59,2/5樓,3房(室)2廳2衛,0
文山區,鳥語花香木柵名宅,台北市文山區秀明路一段,8588 萬,透天厝,35.0年,建坪121.56,主+平+陽+露96.20,B1~3/3樓,6房(室)6廳4衛(含加蓋1房(室)2廳--衛),0
文山區,捷運林景露臺豪邸,台北市文山區萬芳路,8020 萬 (含車位價),住宅大樓,17.6年,建坪90.70,主+陽54.59,2/15樓,4房(室)2廳3衛,1
文山區,景美學區綠意套房,台北市文山區景興路,1098 萬,住宅大樓,16.2年,建坪11.22,主6.17,14/15樓,1房(室)1廳1衛(含加蓋1房(室)--廳--衛),0
文山區,景美捷運旁大3房,台北市文山區溪口街,1888 萬,公寓,42.4年,建坪32.09,主+陽31.21,4/5樓,3房(室)2廳2衛,0
文山區,力行頂級裝潢豪邸,台北市文山區一壽街,5380 萬 (含車位價),住宅大樓,33.5年,建坪105.71,主+陽+露82.70,10~11/15樓,6房(室)2廳4衛(含加蓋1房(室)--廳--衛),1
文山區,萬隆邊間豪邸一樓,台北市文山區景明街,3880 萬,公寓,54.1年,建坪29.82,主29.82,1/4樓,6房(室)--廳6衛(含加蓋--房(室)--廳4衛),0
文山區,萬芳捷運庭院大戶,台北市文山區福興路,5988 萬 (含車位價),華廈,29.9年,建坪93.85,主+平24.71,B2~1/6樓,6房(室)3廳3衛(含加蓋6房(室)1廳2衛),1
文山區,恆光三房河景平車,台北市文山區恆光街,2500 萬 (含車位價),公寓,35.8年,建坪52.02,主+陽35.28,5/5樓,3房(室)2廳2衛,1
文山區,實踐稀有大戶,台北市文山區光輝路,2200 萬,公寓,43.6年,建坪47.74,主+陽44.05,5/5樓,5房(室)2廳2衛(含加蓋1房(室)--廳--衛),0
文山區,附中學區裝潢四房,台北市文山區指南路三段,4388 萬 (含車位價),住宅大樓,13.4年,建坪75.28,主+陽40.58,10/14樓,4房(室)2廳2衛,1
文山區,附中學區庭院兩房,台北市文山區政大二街,2218 萬 (含車位價),華廈,15.5年,建坪35.71,主+陽17.04,1/5樓,2房(室)2廳1衛,1
文山區,大隱北市花園別墅,台北市文山區萬芳路,5988 萬,透天厝,22.4年,建坪85.47,主+陽76.90,B1~3/3樓,4房(室)4廳3衛(含加蓋--房(室)2廳--衛),0
文山區,近大安低樓層三房,台北市文山區和平東路四段,1888 萬,公寓,45.0年,建坪39.21,主+陽32.66,2/5樓,3房(室)2廳2衛,0
文山區,靜謐河景捷運美宅,台北市文山區木柵路四段,2680 萬 (含車位價),華廈,17.1年,建坪39.09,主+陽17.51,7/10樓,2房(室)2廳1衛,1
文山區,萬盛寧靜彩妝三房,台北市文山區萬盛街,2250 萬,公寓,38.6年,建坪33.08,主+陽29.63,3/5樓,3房(室)2廳2衛,0
文山區,景美河景陽光三房,台北市文山區木柵路一段,1998 萬,公寓,43.0年,建坪33.73,主+陽26.69,5/5樓,3房(室)2廳1衛,0
文山區,未來捷運平地美寓,台北市文山區木柵路二段,2500 萬,公寓,--年,建坪24.98,主24.98,3/4樓,3房(室)2廳1衛,0
文山區,館藏美景樓中樓,台北市文山區興隆路四段,7888 萬 (含車位價),住宅大樓,16.2年,建坪100.51,主+陽54.16,12~13/13樓,4房(室)2廳3.5衛(含加蓋1房(室)--廳0.5衛),1
文山區,考試院電梯三房車,台北市文山區試院路,1385 萬 (含車位價),華廈,24.5年,建坪40.28,主+陽24.78,4/6樓,3房(室)2廳1衛,1
文山區,木柵電梯三房車位,台北市文山區試院路,1385 萬 (含車位價),華廈,24.5年,建坪40.28,主+陽24.78,2/6樓,3房(室)2廳1衛,1
文山區,南環捷運景觀四房,台北市文山區久康街,3380 萬,華廈,42.6年,建坪45.19,主+陽43.19,6/7樓,4房(室)2廳2衛,0
