路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
台北市大同區延平北路四段,0,0,0,0,0,0,0,1,0,0,0,0,46.3,31.08,1950.0,0,3,2,2,0,1,5,5,5,1,1,0,0,0,0
台北市大同區承德路一段,0,0,0,0,0,0,0,1,0,0,0,0,3.3,83.08,9980.0,1,3,2,5,0,0,32,12,12,1,0,1,0,0,0
台北市大同區延平北路三段,0,0,0,0,0,0,0,1,0,0,0,0,48.7,22.19,1780.0,0,2,2,5,0,1,4,1,1,1,1,0,0,0,0
台北市大同區迪化街二段,0,0,0,0,0,0,0,1,0,0,0,0,50.6,26.18,2450.0,0,3,2,1,0,1,4,1,1,1,1,0,0,0,0
台北市大同區蘭州街,0,0,0,0,0,0,0,1,0,0,0,0,53.6,21.57,2588.0,0,2,3,1,0,1,4,1,1,1,0,0,0,0,0
台北市大同區民族西路,0,0,0,0,0,0,0,1,0,0,0,0,39.8,34.27,2500.0,1,5,3,3,0,1,5,5,5,1,1,0,0,0,0
台北市大同區民族西路,0,0,0,0,0,0,0,1,0,0,0,0,20.7,27.97,6388.0,1,4,2,2,0,0,10,1,1,1,0,0,0,1,0
台北市大同區民族西路,0,0,0,0,0,0,0,1,0,0,0,0,37.2,49.43,4399.0,1,3,2,2,0,0,7,4,4,1,0,0,0,1,0
台北市大同區西寧北路,0,0,0,0,0,0,0,1,0,0,0,0,40.8,36.7,2880.0,1,3,2,2,0,0,7,2,2,1,0,0,0,1,0
台北市大同區民生西路,0,0,0,0,0,0,0,1,0,0,0,0,14.0,69.59,8300.0,0,2,3,2,0,0,3,1,3,3,0,0,0,0,1
台北市大同區重慶北路二段,0,0,0,0,0,0,0,1,0,0,0,0,6.8,27.87,2728.0,1,2,1,1,0,0,15,4,4,1,0,1,0,0,0
台北市大同區雙連街,0,0,0,0,0,0,0,1,0,0,0,0,49.3,39.57,3980.0,0,4,2,2,0,0,5,3,3,1,1,0,0,0,0
台北市大同區保安街,0,0,0,0,0,0,0,1,0,0,0,0,17.8,22.39,2080.0,1,3,1,1,0,1,7,1,1,1,0,0,0,1,0
台北市大同區安西街,0,0,0,0,0,0,0,1,0,0,0,0,42.5,30.49,2388.0,0,1,2,2,0,1,9,6,6,1,0,0,0,1,0
台北市大同區延平北路三段,0,0,0,0,0,0,0,1,0,0,0,0,39.6,38.78,2860.0,1,3,2,2,0,0,12,8,8,1,0,1,0,0,0
台北市大同區南京西路,0,0,0,0,0,0,0,1,0,0,0,0,44.4,48.39,3800.0,0,4,2,2,0,0,7,4,4,1,0,0,0,1,0
台北市大同區寧夏路,0,0,0,0,0,0,0,1,0,0,0,0,29.4,13.96,1298.0,0,1,1,1,0,1,14,7,7,1,0,1,0,0,0
台北市大同區延平北路一段,0,0,0,0,0,0,0,1,0,0,0,0,5.3,81.87,9008.0,2,4,2,2,0,0,24,22,22,1,0,1,0,0,0
台北市大同區甘谷街,0,0,0,0,0,0,0,1,0,0,0,0,45.2,53.82,3329.0,1,4,2,1,0,0,7,4,4,1,0,0,0,1,0
台北市大同區西寧北路,0,0,0,0,0,0,0,1,0,0,0,0,2.9,24.72,2220.0,0,3,2,1,0,0,2,2,2,1,1,0,0,0,0
台北市大同區承德路二段,0,0,0,0,0,0,0,1,0,0,0,0,1.3,13.09,1850.0,1,1,1,1,0,0,15,5,5,1,0,1,0,0,0
台北市大同區貴德街,0,0,0,0,0,0,0,1,0,0,0,0,46.4,53.66,3990.0,1,4,2,3,0,1,7,6,6,1,0,0,0,1,0
台北市大同區民權西路,0,0,0,0,0,0,0,1,0,0,0,0,17.6,16.3,1548.0,1,1,1,1,0,1,14,11,11,1,0,0,1,0,0
台北市大同區大龍街,0,0,0,0,0,0,0,1,0,0,0,0,60.7,6.67,800.0,1,1,1,1,0,1,5,3,3,1,1,0,0,0,0
台北市大同區迪化街二段,0,0,0,0,0,0,0,1,0,0,0,0,100.0,26.33,6000.0,0,1,3,1,0,1,1,1,1,1,0,0,0,0,1
台北市大同區民生西路,0,0,0,0,0,0,0,1,0,0,0,0,48.8,33.55,2550.0,0,3,2,2,0,0,11,4,4,1,0,1,0,0,0
台北市大同區安西街,0,0,0,0,0,0,0,1,0,0,0,0,41.25,14.0,1888.0,0,3,1,1,0,1,2,2,2,1,1,0,0,0,0
台北市大同區民樂街,0,0,0,0,0,0,0,1,0,0,0,0,51.5,16.94,1450.0,0,2,1,1,0,0,4,2,2,1,1,0,0,0,0
台北市大同區延平北路一段,0,0,0,0,0,0,0,1,0,0,0,0,12.2,46.67,3680.0,1,2,2,1,0,0,7,7,7,1,0,0,0,1,0
