路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市信義區松德路,26.7年,大樓,建坪 72.24,主 + 陽37.8,4房2廳2衛,14樓/16樓,"9,988",2
台北市信義區信義路五段,27.4年,大樓/辦公,建坪 39.67,主 + 陽19.99,1房2廳1衛1室,5樓/14樓,"4,319",1
台北市信義區基隆路二段,34.4年,辦公/大樓,建坪 40.3,主建物22.04,2房1廳,4樓/12樓,"2,888",1
台北市信義區基隆路二段,預售,大樓,建坪 17.94,主+附 11.58,2房2廳1衛,11樓/24樓,"3,301",0
台北市信義區吳興街,49.1年,公寓,建坪 26.5,主建物23.62,3房2廳1衛,1樓/4樓,"3,200",0
台北市信義區松山路,57.4年,公寓,建坪 24.9,主建物24.9,2房2廳1衛,2樓/4樓,"2,156",0
台北市信義區仁愛路四段,13.1年,大樓,建坪 60.28,主 + 陽36.29,3房2廳2衛,3樓/15樓,"13,500",1
台北市信義區松平路,18.3年,華廈,建坪 55.91,主 + 陽26.27,2房2廳2衛,3樓/8樓,"5,900",1
台北市信義區永吉路,18.3年,大樓,建坪 52.43,主 + 陽26.32,3房2廳2衛,12樓/12樓,"5,226",1
台北市信義區富陽街,55.9年,公寓,建坪 26.31,主 + 陽26.31,2房2廳1衛2室,4樓/4樓,"1,838",0
台北市信義區吳興街,2.1年,華廈,建坪 14.14,主建物8.67,1房1廳1衛,1樓/8樓,"1,880",0
台北市信義區文昌街,23.5年,辦公/大樓,建坪 44.63,主 + 陽23.55,1廳3室(含加蓋2室),5樓/14樓,"4,280",0
台北市信義區虎林街,41.9年,華廈,建坪 36.15,主 + 陽26.29,3房2廳1衛,7樓/7樓,"3,580",0
台北市信義區松德路,0.4年,大樓,建坪 43.76,主 + 陽23.46,3房2廳2衛,8樓/14樓,"5,888",1
台北市信義區信義路五段,18.2年,大樓,建坪 88.62,主 + 陽51.72,3房2廳2衛,22樓/27樓,"13,280",1
台北市信義區忠孝東路五段,27.6年,華廈,建坪 73.84,主 + 陽43.72,4房2廳2衛,4樓/8樓,"9,300",1
台北市信義區信義路六段,43.1年,公寓,建坪 28.39,主 + 陽27.88,3房2廳2衛,4樓/5樓,"2,100",0
台北市信義區基隆路二段,33.5年,辦公/大樓,建坪 24.69,主 + 陽13.42,2廳1衛2室,7樓/12樓,"2,838",1
台北市信義區基隆路二段,44.3年,大樓,建坪 23.42,主 + 陽19.83,2房2廳1衛,8樓/12樓,"3,350",0
台北市信義區光復南路,17.6年,大樓,建坪 28.88,主 + 陽18.99,1房1廳1衛1室,6樓/18樓,"3,500",0
台北市信義區信義路五段,19.2年,大樓,建坪 32.77,主 + 陽17.06,2房1廳1衛,17樓/19樓,"3,488",1
台北市信義區忠孝東路五段,32.6年,辦公/大樓,建坪 245.8,主 + 陽164.05,2廳2衛8室,15樓/28樓,"23,300",3
台北市信義區信義路五段,30.3年,辦公/大樓,建坪 158.67,主 + 陽88.36,3廳9室,13樓/22樓,"12,980",2
台北市信義區松德路,0.4年,大樓,建坪 49.76,主 + 陽27.35,3房2廳2衛,7樓/14樓,"6,688",1
台北市信義區虎林街,49.0年,公寓,建坪 24.85,主 + 陽24.86,4房1衛,4樓/5樓,"2,700",0
台北市信義區永吉路,14.7年,店面,建坪 47.91,主 + 陽17.57,2廳1衛1室,1樓/8樓,"4,880",4
台北市信義區吳興街,41.6年,公寓,建坪 25.76,主 + 陽23.65,3房3廳2衛1室(含加蓋1房1廳1衛),5樓/5樓,"1,868",0
台北市信義區松勇路,1.6年,大樓,建坪 93.44,主 + 陽58.52,1廳,4樓/16樓,"18,888",0
台北市信義區吳興街,33.4年,華廈,建坪 52.97,主建物35.15,3房2廳2衛,1樓/5樓,"3,988",1
台北市信義區信義路五段,43.3年,公寓,建坪 36.83,主 + 陽29.26,7房3廳3衛(含加蓋3房1廳1衛),5樓/5樓,"2,850",0
台北市信義區忠孝東路五段,20.4年,辦公/大樓,建坪 12.98,主 + 陽7.55,1房1廳1衛(含加蓋1房),4樓/11樓,"2,180",0
台北市信義區富陽街,43.7年,華廈,建坪 37.11,主 + 陽32.8,3房2廳2衛,5樓/7樓,"3,200",0
台北市信義區吳興街,32.3年,大樓,建坪 100.4,主 + 陽57.48,4房2廳2衛,2樓/15樓,"5,688",2
台北市信義區信義路五段,44.1年,華廈,建坪 37.26,主 + 陽34.09,3房2廳2衛,2樓/7樓,"3,100",0
台北市信義區虎林街,39.0年,公寓,建坪 47.21,主 + 陽43.82,4房2廳2衛1室,4樓/5樓,"3,450",0
台北市信義區松勇路,1.6年,大樓,建坪 107.06,主 + 陽58.52,3房2廳3衛,8樓/16樓,"21,400",1
台北市信義區信義路五段,19.2年,大樓,建坪 35.92,主 + 陽15.97,2房1廳1衛,9樓/19樓,"3,468",1
台北市信義區永吉路,55.6年,公寓,建坪 21.6,主建物21.6,3房2廳1衛,3樓/4樓,"2,098",0
台北市信義區松德路,0.8年,大樓,建坪 64.39,主 + 陽32.55,3房2廳2衛,12樓/22樓,"8,888",1
台北市信義區基隆路二段,15.5年,大樓,建坪 51.27,主 + 陽23.26,2房2廳2衛,5樓/15樓,"4,850",1
台北市信義區基隆路二段,43.0年,大樓,建坪 33.38,主 + 陽27.77,3房2廳2衛,5樓/12樓,"2,880",0
台北市信義區永吉路,16.1年,華廈,建坪 34.99,主 + 陽19.68,2房2廳1衛,6樓/6樓,"4,158",1
台北市信義區松德路,0.4年,大樓,建坪 28.83,主 + 陽13.76,2房2廳1衛,9樓/14樓,"3,750",1
台北市信義區福德街,13.9年,大樓,建坪 121.54,主 + 陽48.82,3房2廳2衛,5樓/13樓,"13,506",2
台北市信義區基隆路二段,29.6年,辦公/大樓,建坪 67.2,主 + 陽37.4,1廳,2樓/17樓,"4,398",0
台北市信義區忠孝東路五段,55.2年,公寓,建坪 23.99,主 + 陽23.99,2房2廳1衛,3樓/4樓,"2,160",0
台北市信義區嘉興街,57.0年,公寓,建坪 33.89,主 + 陽33.89,3房2廳2衛(含加蓋1衛),3樓/4樓,"2,500",0
台北市信義區吳興街,32.1年,華廈,建坪 37.41,主 + 陽32.46,5房5衛,6樓/6樓,"3,580",0
台北市信義區祥雲街,44.6年,華廈,建坪 50.04,主 + 陽42.74,3房2廳2衛,2樓/7樓,"2,588",0
