路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市大同區民權西路,39.1年,大樓/辦公,建坪 42.36,主建物31.11,2房2廳2衛2室,2樓/15樓,"3,200",0
台北市大同區通河西街一段,16.8年,大樓,建坪 82.6,主 + 陽45.78,2房2廳3衛,11樓/15樓,"5,600",1
台北市大同區哈密街,43.2年,公寓,建坪 38.62,主 + 陽34.12,3房3廳2衛,4樓/5樓,"1,888",0
台北市大同區天水路,17.3年,大樓,建坪 38.88,主 + 陽19.35,1房2廳1衛1室,2樓/14樓,"3,599",1
台北市大同區南京西路,43.9年,大樓,建坪 78.91,主 + 陽68.1,6房4廳4衛,6樓/12樓,"5,360",0
台北市大同區民生西路,8.3年,店面,建坪 42.79,主 + 陽21.21,2廳1衛,1樓/12樓,"9,980",1
台北市大同區長安西路,31.0年,辦公/華廈,建坪 45.56,主 + 陽29.69,1房2廳2衛,5樓/9樓,"4,200",0
台北市大同區承德路二段,16.6年,大樓,建坪 107.25,主 + 陽50.16,3房2廳2衛1室,12樓/15樓,"9,988",3
台北市大同區鄭州路,36.7年,辦公/大樓,建坪 55.94,主 + 陽36.59,4房2廳2衛,3樓/17樓,"5,580",0
台北市大同區通河西街一段,16.8年,大樓,建坪 158.69,主 + 陽86.79,5房3廳6衛,11樓/15樓,"10,788",2
台北市大同區民權西路,36.0年,大樓,建坪 24.48,主建物14.74,2房2廳1衛,8樓/18樓,"2,200",0
台北市大同區南京西路,48.5年,華廈,建坪 32.94,主 + 陽32.93,3房2廳1.5衛,4樓/6樓,"2,688",0
台北市大同區寧夏路,29.4年,大樓,建坪 13.96,主 + 陽8.79,1房1廳1衛,7樓/14樓,"1,298",0
台北市大同區民權西路,4.1年,辦公/大樓,建坪 44.03,主建物20.66,3房2廳2衛,3樓/15樓,"3,955",1
台北市大同區塔城街,36.7年,辦公/大樓,建坪 111.29,主 + 陽73.39,7房4廳4衛,3樓/17樓,"11,380",0
台北市大同區市民大道一段,16.6年,大樓,建坪 14.52,主 + 陽10.06,1廳1衛,14樓/16樓,668,0
台北市大同區承德路一段,3.4年,大樓,建坪 83.08,主 + 陽44.82,3房2廳3衛2室,15樓/32樓,"9,980",1
台北市大同區通河西街一段,16.8年,大樓,建坪 76.09,主 + 陽41.02,3房2廳3衛,11樓/15樓,"5,188",1
台北市大同區南京西路,43.9年,大樓,建坪 40.4,主 + 陽34.33,4房2廳2衛,6樓/12樓,"2,738",0
台北市大同區南京西路,43.9年,大樓,建坪 38.51,主 + 陽33.77,2房2廳2衛,6樓/12樓,"2,620",0
台北市大同區太原路,24.0年,大樓,建坪 108.22,主 + 陽58.99,1廳1衛,3樓/19樓,"8,250",2
台北市大同區民族西路,44.2年,華廈,建坪 50.36,主 + 陽41.56,4房2廳2衛,5樓/7樓,"3,380",0
