路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市士林區菁山路,9.5年,華廈,建坪 136.17,主 + 陽59.69,2房2廳4衛3室,5樓/6樓,"8,118",3
台北市士林區菁山路,16.8年,華廈,建坪 75.46,主 + 陽44.14,2房2廳2衛,2樓/5樓,"3,800",1
台北市士林區天母東路,24.1年,華廈,建坪 69.72,主 + 陽36.44,4房2廳2衛(含加蓋1房),4樓/7樓,"5,980",1
台北市士林區大東路,53.2年,公寓,建坪 38.37,主建物38.37,3房2廳1.5衛1室,4樓/4樓,"2,980",0
台北市士林區天母東路,48.0年,華廈,建坪 22.05,主 + 陽19.55,2房1廳1衛,5樓/8樓,"1,980",0
台北市士林區中山北路五段,1.5年,大樓,建坪 63.85,主 + 陽32.82,4房2廳2衛,17樓/18樓,"7,350",1
台北市士林區華聲街,46.7年,公寓,建坪 16.44,主 + 陽16.16,2房2廳1衛,5樓/5樓,"1,498",0
台北市士林區中山北路六段,41.5年,華廈,建坪 77.59,主 + 陽62.75,4房3廳4衛(含加蓋1廳1衛),7樓/7樓,"5,780",1
台北市士林區菁山路,15.9年,華廈,建坪 40.87,主 + 陽16.38,2廳1衛,1樓/5樓,"2,460",1
台北市士林區中山北路七段,46.6年,公寓,建坪 34.25,主 + 陽31.22,4房2衛,3樓/5樓,"1,980",0
台北市士林區天母北路,40.3年,華廈/辦公,建坪 49.87,主 + 陽47.06,4房2廳3衛,5樓/7樓,"3,980",0
台北市士林區中山北路七段,46.3年,華廈,建坪 15.89,主 + 陽13.18,2房2廳1衛,6樓/7樓,"1,788",0
台北市士林區格致路,41.2年,公寓,建坪 34.56,主 + 陽32.98,8房1廳4衛1室(含加蓋3房2衛1室),5樓/5樓,"1,650",0
台北市士林區菁山路,16.8年,華廈,建坪 88.07,主 + 陽44.9,2房2廳2衛1室,4樓/5樓,"7,380",2
台北市士林區天母西路,46.1年,華廈,建坪 26.23,主 + 陽22.63,3房2廳2衛,2樓/7樓,"2,280",0
台北市士林區大西路,34.8年,公寓/辦公,建坪 14.38,主 + 陽12.31,1房2廳1衛(含加蓋1房1廳),4樓/5樓,"1,400",0
台北市士林區菁山路,5.0年,華廈,建坪 25.51,主 + 陽15.8,1房1廳1衛,3樓/4樓,"1,946",1
台北市士林區芝玉路二段,39.8年,公寓,建坪 49,主 + 陽32.57,3房2廳2衛,3樓/5樓,"2,888",1
台北市士林區菁山路,5.0年,華廈,建坪 30.84,主 + 陽18.01,1房1廳1衛,2樓/4樓,"2,326",1
台北市士林區天母東路,1.3年,華廈,建坪 15.57,主建物8.04,1房2廳1衛,1樓/5樓,"3,000",1
台北市士林區天母東路,1.3年,華廈,建坪 28.34,主 + 陽16.47,2房2廳2衛,4樓/5樓,"3,898",0
台北市士林區中山北路七段,40.2年,華廈/辦公,建坪 86.7,主建物37.93,2房2廳2衛1室,B1-1樓/7樓,"4,998",0
台北市士林區菁山路,15.9年,華廈,建坪 40.87,主 + 陽16.38,1房1廳1衛,2樓/5樓,"2,280",1
台北市士林區承德路四段,53.5年,公寓,建坪 32.87,主 + 陽32.87,4房4廳3衛(含加蓋1房2廳1衛),4樓/4樓,"1,999",0
台北市士林區芝玉路二段,48.0年,公寓,建坪 25.06,主 + 陽25.05,3房2廳1衛(含加蓋1房),2樓/4樓,"2,080",0
台北市士林區菁山路,5.0年,華廈,建坪 35.31,主 + 陽21.82,2房1廳2衛,2樓/4樓,"2,554",1
台北市士林區德行東路,43.9年,公寓,建坪 26.9,主建物24.81,2房2廳2衛1室,1樓/5樓,"3,550",0
台北市士林區大西路,53.0年,公寓,建坪 24.46,主建物24.46,2房2廳1衛,3樓/4樓,"1,680",0
台北市士林區文昌路,52.3年,公寓,建坪 30.98,主建物24.93,6房2廳4衛(含加蓋2房2衛),1樓/4樓,"2,788",0
台北市士林區中山北路七段,38.6年,公寓,建坪 47.7,主 + 陽43.5,2房2廳2衛2室,2樓/5樓,"2,680",0
台北市士林區中山北路六段,41.9年,公寓,建坪 35.61,主 + 陽35.61,2房2廳6衛,4樓/5樓,"2,680",0
台北市士林區天母東路,1.3年,華廈,建坪 28.33,主 + 陽16.46,2房2廳2衛,2樓/5樓,"3,898",0
台北市士林區中山北路六段,15.0年,華廈,建坪 63.9,主 + 陽35.16,4房2廳2衛2室,4樓/7樓,"6,688",1
台北市士林區菁山路,5.0年,華廈,建坪 35.31,主 + 陽20.92,2房1廳2衛,4樓/4樓,"2,826",1
台北市士林區忠誠路一段,42.2年,華廈,建坪 70.31,主 + 陽53.21,4房2廳2衛,6樓/7樓,"5,900",1
台北市士林區中山北路六段,47.2年,公寓,建坪 35.55,主 + 陽35.55,3房2廳2衛1室(含加蓋1室),5樓/5樓,"2,698",0
台北市士林區社中街,45.1年,公寓/辦公,建坪 29.16,主 + 陽29.16,3房2廳1衛,5樓/5樓,"1,450",0
台北市士林區大東路,54.7年,公寓,建坪 47.73,主建物36.85,5房2廳2衛2室(含加蓋1室),B1-1樓/4樓,"4,380",0
台北市士林區雨聲街,43.7年,公寓,建坪 36.77,主 + 陽33.38,3房1廳2衛,4樓/5樓,"1,968",0
台北市士林區中山北路七段,33.3年,大樓,建坪 175.15,主 + 陽96.69,6房3廳6衛1室(含加蓋1房1衛),15-17樓/17樓,"11,000",3
台北市士林區中社路一段,50.6年,公寓,建坪 31.13,主建物31.13,3房2廳1.5衛,4樓/4樓,"1,980",0
台北市士林區華齡街,46.0年,公寓,建坪 29.68,主 + 陽26.36,4房4衛,5樓/5樓,"1,750",0
台北市士林區前街,68.4年,別墅/透天,建坪 7.56,主建物7.56,1房1廳1衛(含加蓋1廳),1樓/1樓,"2,400",0
台北市士林區菁山路,5.0年,華廈,建坪 25.51,主 + 陽15.8,1房1廳1衛,2樓/4樓,"1,902",1
台北市士林區天母西路,48.1年,店面,建坪 21.95,主建物13.35,1廳1室,1樓/11樓,"4,938",0
台北市士林區中山北路六段,17.4年,辦公/大樓,建坪 43.47,主 + 陽19.15,2房2廳1衛,3樓/15樓,"3,850",1
台北市士林區士商路,26.0年,大樓,建坪 88.02,主 + 陽42.83,3房3廳3衛2室(含加蓋1衛),13樓/13樓,"6,800",2
台北市士林區雨聲街,43.7年,公寓,建坪 36.4,主 + 陽33.01,1房2廳1衛1室,4樓/5樓,"1,968",0
台北市士林區基河路,17.3年,大樓,建坪 102.79,主 + 陽50.93,4房2廳3衛,13樓/18樓,"9,450",1
台北市士林區菁山路,16.8年,華廈,建坪 86.42,主 + 陽43.72,2房3廳2衛,3樓/5樓,"4,380",2
台北市士林區社中街,44.2年,公寓,建坪 32.89,主 + 陽29.57,3房2廳1衛,4樓/5樓,"1,695",0
台北市士林區大北路,54.1年,公寓,建坪 31.1,主建物31.1,3房2廳1衛,3樓/4樓,"1,850",0
台北市士林區永平街,53.4年,店面/公寓,建坪 40.96,主建物33.35,1房1廳2衛2室(含加蓋0.5衛1室),1樓/4樓,"4,100",0
台北市士林區格致路,12.9年,華廈,建坪 185.04,主 + 陽96.93,2廳2室,1樓/4樓,"10,800",3
台北市士林區福港街,46.5年,公寓,建坪 32.82,主 + 陽32.83,3房2廳2衛,3樓/5樓,"2,368",0
台北市士林區天母北路,5.7年,大樓,建坪 130.72,主 + 陽59.16,4房4廳4衛,11樓/24樓,"12,688",3
台北市士林區中山北路七段,14.7年,大樓,建坪 214.12,主 + 陽91.19,1廳,2樓/22樓,"18,318",5
台北市士林區至誠路二段,43.7年,公寓,建坪 34.81,主 + 陽31.39,3房2廳2衛,3樓/5樓,"2,680",0
台北市士林區德行東路,45.7年,公寓,建坪 37.58,主 + 陽37.58,3房2廳2衛,4樓/5樓,"2,480",0
台北市士林區後港街,59.1年,公寓,建坪 13.65,主建物13.65,1房1廳1衛,1樓/2樓,"1,600",0
台北市士林區中社路一段,50.6年,公寓,建坪 31.38,主建物31.38,4房2廳1.5衛,2樓/4樓,"1,488",0
台北市士林區忠誠路一段,33.5年,店面/辦公,建坪 49.8,主建物37.45,1廳1衛,1樓/10樓,"8,388",0
