路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中正區杭州南路一段,40.6年,華廈,建坪 62.61,主 + 陽57.11,4房2廳2衛1室,6樓/7樓,"8,707",0
台北市中正區汀州路三段,46.3年,店面,建坪 43.04,主建物23.86,1廳,1樓/7樓,"13,680",0
台北市中正區臨沂街,57.4年,華廈,建坪 46.55,主 + 陽45.6,4房2廳2衛,2樓/4樓,"4,105",0
台北市中正區博愛路,10.4年,大樓/辦公,建坪 38.42,主 + 陽24.49,2房2廳2衛,12樓/15樓,"4,980",1
台北市中正區南昌路一段,34.0年,華廈,建坪 52.71,主建物35.56,3房2廳2衛1室,1樓/6樓,"6,200",1
台北市中正區南海路,1.1年,華廈,建坪 37.33,主 + 陽15.98,2房2廳1衛,3樓/7樓,"3,280",1
台北市中正區南海路,1.1年,華廈,建坪 37.19,主 + 陽15.98,2房2廳1衛,2樓/7樓,"3,221",1
台北市中正區漢口街一段,26.5年,大樓/辦公,建坪 46.7,主建物27.76,4廳1衛1室,5樓/13樓,"4,710",1
台北市中正區開封街一段,18.4年,大樓,建坪 12.04,主建物7.75,1廳1衛,5樓/14樓,"1,300",0
台北市中正區忠孝東路二段,0.5年,大樓,建坪 22.7,主 + 陽13.77,1房1廳1衛1室,12樓/21樓,"3,680",0
台北市中正區同安街,0.7年,華廈,建坪 51.81,主 + 陽23.83,3房2廳2衛,6樓/7樓,"6,388",1
台北市中正區臨沂街,49.4年,公寓,建坪 26.32,主 + 陽26.32,3房2廳1衛(含加蓋1廳),2樓/5樓,"3,200",0
台北市中正區師大路,49.1年,公寓,建坪 40.83,主 + 陽35.74,4房2廳2衛1室,2樓/5樓,"3,850",0
台北市中正區信陽街,46.1年,辦公,建坪 25.1,主 + 陽19.49,3房2廳2衛,5樓/5樓,999,0
台北市中正區詔安街,53.0年,公寓,建坪 22.67,主 + 陽22.67,4房3廳2衛1室(含加蓋2房1廳1衛),4樓/4樓,"1,780",0
台北市中正區信陽街,46.1年,辦公,建坪 14.59,主建物8.98,2房2廳1衛,5樓/5樓,668,0
台北市中正區信陽街,46.1年,辦公,建坪 19.16,主建物13.55,2房2廳1衛,5樓/5樓,799,0
台北市中正區三元街,51.2年,店面/辦公,建坪 27.14,主建物20.08,2房1廳2衛1室(含加蓋1房1衛1室),1樓/4樓,"3,890",0
台北市中正區牯嶺街,39.2年,店面/辦公/大樓,建坪 20.47,主建物16.5,1廳1衛1室,1樓/12樓,"2,886",0
台北市中正區泉州街,18.3年,華廈,建坪 47.5,主 + 陽27.34,3房2廳2衛,2樓/7樓,"3,500",1
台北市中正區詔安街,48.6年,華廈,建坪 43.96,主 + 陽37.48,3房2廳2衛1室,2樓/7樓,"2,768",0
台北市中正區杭州南路一段,2.4年,大樓,建坪 72.54,主 + 陽39.9,4房2廳2衛,12樓/21樓,"9,988",1
台北市中正區同安街,0.7年,華廈,建坪 51.81,主 + 陽23.83,1廳,2樓/7樓,"5,988",1
台北市中正區汀州路三段,53.5年,公寓/辦公,建坪 32.29,主建物32.29,7房1廳5衛(含加蓋1衛),1樓/4樓,"3,998",0
台北市中正區開封街一段,37.5年,店面,建坪 2.16,主建物0.97,1廳,1樓/12樓,998,0
台北市中正區南昌路二段,41.3年,公寓/辦公,建坪 58.42,主建物25.09,3房3廳2衛(含加蓋0.5衛),B1-1樓/5樓,"4,700",0
台北市中正區廈門街,7.4年,大樓,建坪 42.21,主 + 陽20.03,2房2廳1衛,4樓/12樓,"3,680",1
台北市中正區忠孝東路二段,預售,大樓,建坪 25.67,主+附 16.43,1房1廳1衛,15樓/21樓,"3,788",0
台北市中正區連雲街,60.7年,公寓,建坪 39.5,主建物39.5,3房2廳1.5衛1室,3樓/4樓,"4,380",0
台北市中正區汀州路三段,54.5年,華廈,建坪 32.64,主 + 陽32.63,3房2廳2衛,2樓/7樓,"3,488",0
台北市中正區武昌街一段,80.2年,透天/店面,建坪 59.9,主建物59.9,6房5廳3衛2室(含加蓋1房1廳1衛2室),1-3樓/3樓,"8,288",0
台北市中正區重慶南路三段,53.2年,公寓,建坪 16.16,主 + 陽16.16,3房1廳1衛,5樓/5樓,"1,488",0
台北市中正區廈門街,8.7年,店面,建坪 22.32,主建物14.99,1廳1衛,1樓/19樓,"3,750",0
台北市中正區忠孝東路二段,17.8年,大樓,建坪 102.62,主 + 陽49.94,3房2廳2衛2室,3樓/14樓,"11,130",2
台北市中正區水源路,6.9年,大樓,建坪 40.32,主 + 陽21.05,2房2廳2衛,2樓/15樓,"4,068",1
台北市中正區羅斯福路一段,16.9年,大樓,建坪 65.12,主 + 陽47.14,2房2廳2衛1室,13樓/14樓,"9,980",2
台北市中正區汀州路二段,30.1年,大樓,建坪 43.03,主 + 陽25.43,2房2廳1衛1室,3樓/14樓,"3,368",1
台北市中正區臨沂街,62.5年,公寓,建坪 20.36,主建物19.02,1廳1衛,2樓/2樓,"3,450",0
台北市中正區衡陽路,7.7年,大樓,建坪 24.95,主 + 陽12.73,1房1廳1衛,9樓/15樓,"2,950",1
台北市中正區杭州南路一段,2.9年,大樓,建坪 128.42,主 + 陽56.61,3房2廳3衛1室,14樓/20樓,"19,998",3
台北市中正區羅斯福路三段,49.8年,大樓,建坪 34,主 + 陽30.2,2房2廳2衛1室,9樓/12樓,"2,950",0
台北市中正區和平西路一段,44.3年,大樓,建坪 34.3,主 + 陽30.86,3房2廳2衛1室,2樓/12樓,"2,988",0
台北市中正區羅斯福路二段,38.3年,店面/辦公/大樓,建坪 22.07,主 + 陽16.18,2廳1衛,1樓/12樓,"4,700",0
台北市中正區忠孝東路一段,43.3年,辦公/大樓,建坪 153.17,主建物118.63,2廳2衛5室(含加蓋2衛),7樓/12樓,"18,800",0
台北市中正區南昌路二段,46.5年,辦公,建坪 57.87,主 + 陽56.2,2廳4衛4室(含加蓋1廳4衛4室),8樓/8樓,"5,500",0
台北市中正區和平西路一段,48.2年,華廈/辦公,建坪 37.35,主 + 陽31.33,4房2廳2衛(含加蓋1衛),2樓/8樓,"3,000",0
台北市中正區重慶南路一段,43.4年,辦公,建坪 16.67,主 + 陽13.41,1廳1室,8樓/8樓,"1,425",0
