路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市文山區木柵路二段,38.5年,公寓,建坪 39.97,主 + 陽30.11,3房2廳2衛,5樓/5樓,"1,880",0
台北市文山區保儀路,47.6年,公寓,建坪 28.85,主建物19.05,3房2廳1衛,1樓/5樓,"1,638",0
台北市文山區萬盛街,9.6年,華廈,建坪 31.84,主 + 陽12.3,2房2廳1衛(含加蓋1房),2樓/8樓,"2,288",1
台北市文山區政大一街,18.0年,透天,建坪 102.06,主 + 陽67.9,5房2廳4衛1室,B1-4樓/4樓,"6,200",1
台北市文山區興德路,10.7年,大樓,建坪 10.04,主 + 陽6.47,1房1廳1衛(含加蓋1房),3樓/12樓,"1,199",0
台北市文山區恆光街,35.1年,華廈,建坪 105.02,主 + 陽35.44,9房2廳3衛,B1-2樓/6樓,"3,458",1
台北市文山區木新路三段,44.2年,公寓,建坪 30.22,主 + 陽30.22,4房3廳3衛(含加蓋1房1廳1衛),5樓/5樓,"1,520",0
台北市文山區木柵路二段,24.9年,大樓,建坪 55.86,主 + 陽31.38,3房2廳2衛2室(含加蓋1室),3-4樓/14樓,"3,688",1
台北市文山區秀明路一段,16.8年,華廈,建坪 59.25,主 + 陽22.3,4房2廳2.5衛(含加蓋2房1.5衛),7樓/7樓,"3,980",1
台北市文山區政大二街,30.2年,透天,建坪 79.88,主 + 陽53.42,4房2廳3衛,1-3樓/3樓,"5,400",1
台北市文山區政大三街,16.5年,華廈,建坪 69.04,主 + 陽40.57,3房2廳2衛1室,4-5樓/5樓,"3,980",2
台北市文山區秀明路一段,35.1年,透天,建坪 100.81,主 + 陽72.22,5房2廳3衛,B1-3樓/3樓,"5,888",1
台北市文山區秀明路一段,8.0年,華廈,建坪 147.16,主 + 陽71.95,3房3廳4衛1室,1-2樓/5樓,"9,998",2
台北市文山區辛亥路五段,44.8年,公寓,建坪 37.99,主 + 陽38,3房2廳2衛,2-3樓/5樓,"1,780",0
台北市文山區樟新街,31.2年,店面,建坪 23.89,主 + 陽13.78,2房3廳3衛(含加蓋2房1廳),1樓/16樓,"2,130",0
台北市文山區仙岩路,28.0年,透天,建坪 93.08,主 + 陽53.35,6房2廳3衛1室,B1-3樓/3樓,"5,568",1
台北市文山區興隆路三段,17.8年,套房/華廈,建坪 9.19,主建物5.12,1房1廳1衛(含加蓋1房),4樓/10樓,988,0
台北市文山區木柵路一段,20.0年,大樓,建坪 67.9,主 + 陽22.26,5房2廳3衛2室(含加蓋2房2衛1室),13樓/13樓,"4,988",2
台北市文山區木柵路一段,20.8年,華廈,建坪 82.68,主 + 陽44.61,4房4廳4衛1室(含加蓋2房1室),8-9樓/9樓,"5,356",1
台北市文山區羅斯福路四段,28.4年,華廈/辦公,建坪 12.68,主 + 陽8.76,1房2廳1衛1室(含加蓋1房1室),10樓/10樓,"1,240",0
