路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市內湖區文湖街,32.3年,華廈,建坪 93.99,主建物27.8,5房4廳3衛1室,B1-1樓/7樓,"5,680",2
台北市內湖區成功路五段,27.5年,店面,建坪 20.09,主建物12.91,2廳1衛(含加蓋1廳),1樓/14樓,"3,230",0
台北市內湖區康樂街,37.0年,公寓,建坪 69.15,主 + 陽48.34,7房2廳4衛(含加蓋4房1衛),4-5樓/5樓,"3,380",1
台北市內湖區內湖路二段,43.3年,店面/辦公/大樓,建坪 39.16,主建物32.39,1廳1衛,1樓/12樓,"4,308",0
台北市內湖區行愛路,17.4年,店面,建坪 97.83,主建物41.65,3廳2室(含加蓋1廳),1樓/8樓,"7,980",1
台北市內湖區內湖路一段,46.9年,公寓,建坪 22.44,主 + 陽22.44,5房2廳2衛(含加蓋3房1衛),4樓/4樓,"2,288",0
台北市內湖區大湖山莊街,30.8年,別墅/透天,建坪 204.68,主 + 陽134.46,8房3廳10衛3室(含加蓋3房4衛),B1-3樓/3樓,"29,800",1
台北市內湖區安泰街,29.2年,華廈,建坪 40.33,主 + 陽14.58,3房2廳1衛(含加蓋2房),7樓/8樓,"1,980",1
台北市內湖區康樂街,20.3年,大樓,建坪 36.19,主 + 陽14.28,3房2廳2衛1室(含加蓋2房1衛1室),10樓/11樓,"2,400",1
台北市內湖區康寧路三段,36.8年,別墅/透天,建坪 100,主 + 陽46.61,5房4廳3衛1室(含加蓋1廳),B1-3樓/3樓,"4,688",1
台北市內湖區瑞光路,18.2年,透天,建坪 163.02,主 + 陽101.22,6房2廳7衛(含加蓋1房),B1-4樓/4樓,"11,000",3
台北市內湖區成功路二段,36.8年,華廈,建坪 59.91,主建物25.19,4房5廳2衛2室(含加蓋4房3廳2衛1室),B1-1樓/7樓,"4,280",0
台北市內湖區康寧路三段,35.4年,華廈/辦公,建坪 70.79,主建物22.33,2房4廳5衛1室(含加蓋1廳1衛),B1-1樓/7樓,"3,650",2
台北市內湖區康寧路三段,37.4年,透天,建坪 87.33,主 + 陽64.19,4房2廳5衛,1-3樓/3樓,"5,808",1
台北市內湖區內湖路二段,41.4年,公寓,建坪 38.16,主 + 陽29.51,4房3廳3衛(含加蓋2房1衛),5樓/5樓,"2,358",0
台北市內湖區康寧路三段,20.6年,大樓,建坪 56.21,主 + 陽26.09,3房2廳2衛1室,2樓/12樓,"4,280",1
台北市內湖區行善路,27.9年,店面,建坪 36.59,主建物23.42,1廳1衛,1樓/9樓,"3,518",0
台北市內湖區新明路,25.1年,大樓,建坪 53.5,主 + 陽31.98,3房2廳2衛,13樓/14樓,"4,288",1
台北市內湖區康寧路三段,35.4年,華廈/辦公,建坪 70.79,主建物22.33,1房5廳5衛1室(含加蓋1衛),B1-1樓/7樓,"3,650",2
台北市內湖區成功路二段,35.7年,華廈,建坪 39.02,主 + 陽36.61,3房2廳2衛,6樓/8樓,"3,480",0
台北市內湖區堤頂大道二段,16.6年,大樓/辦公,建坪 147.11,主 + 陽68.44,2廳2衛,1樓/13樓,"11,480",3
台北市內湖區大湖街,31.7年,公寓,建坪 42.16,主 + 陽20.75,3房3廳2.5衛(含加蓋1房1廳1衛),3樓/3樓,"2,798",2
台北市內湖區安泰街,29.4年,華廈,建坪 19.41,主 + 陽13.42,2房2廳1衛(含加蓋1房),4樓/6樓,"1,488",0
台北市內湖區成功路四段,37.0年,公寓,建坪 39.21,主 + 陽32.88,5房2廳2.5衛(含加蓋2房0.5衛),2-3樓/5樓,"3,388",0
台北市內湖區內湖路二段,52.7年,透天,建坪 49.58,主 + 陽48.49,5房2廳3衛(含加蓋1房1廳2衛),1-2樓/2樓,"10,999",0
台北市內湖區文德路,17.6年,店面,建坪 51.52,主 + 陽27.31,2廳1衛,1-2樓/2樓,"4,980",1
台北市內湖區大湖山莊街,36.5年,公寓,建坪 64.93,主 + 陽53.95,4房2廳3衛2室(含加蓋2室),2-4樓/4樓,"3,700",1
