路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市萬華區和平西路三段,15.0年,大樓,建坪 27.08,主 + 陽17.27,2房1廳1衛,11樓/13樓,"2,466",0
台北市萬華區莒光路,49.5年,公寓,建坪 29.85,主 + 陽25.38,3房2廳1衛,4樓/5樓,"1,950",0
台北市萬華區環河南路一段,42.7年,大樓,建坪 27.43,主 + 陽23.4,2房2廳2衛,3樓/12樓,"1,499",0
台北市萬華區成都路,8.9年,大樓,建坪 30.91,主 + 陽17.84,2房2廳1衛,10樓/22樓,"2,958",0
台北市萬華區德昌街,2.9年,大樓,建坪 36.9,主 + 陽18.81,2房2廳2衛,10樓/13樓,"3,245",1
台北市萬華區和平西路三段,49.8年,公寓,建坪 24.35,主建物16.6,2房3廳1衛(含加蓋1房1廳),1樓/4樓,"2,100",0
台北市萬華區成都路,48.5年,大樓/套房,建坪 10.62,主 + 陽8.37,1房1衛,8樓/12樓,835,0
台北市萬華區東園街,62.1年,店面/透天,建坪 38.29,主建物31.69,2廳2衛,1-2樓/2樓,"2,800",0
台北市萬華區成都路,18.7年,大樓,建坪 14.63,主 + 陽9.66,1房1廳1衛,14樓/14樓,"1,328",0
台北市萬華區西園路二段,5.6年,大樓,建坪 37.24,主 + 陽20.87,3房2廳2衛,11樓/12樓,"3,420",1
台北市萬華區西園路二段,5.6年,大樓,建坪 14.9,主 + 陽9.69,1房2廳1衛,12樓/12樓,"1,700",0
台北市萬華區貴陽街二段,25.5年,大樓,建坪 38.13,主 + 陽21.38,2房2廳2衛,5樓/11樓,"1,998",1
台北市萬華區中華路二段,47.0年,大樓,建坪 17.66,主 + 陽17.66,2房1廳1衛,2樓/12樓,"1,500",0
台北市萬華區柳州街,3.1年,店面/辦公/大樓,建坪 22.88,主建物12.14,1廳1衛,1樓/22樓,"2,880",0
台北市萬華區康定路,9.9年,大樓,建坪 15.76,主 + 陽9.5,1房1廳1衛,24樓/26樓,"1,350",0
台北市萬華區西園路二段,53.3年,公寓,建坪 23.78,主 + 陽23.78,3房3廳1衛(含加蓋1廳),4樓/4樓,"1,270",0
台北市萬華區長沙街二段,44.2年,公寓,建坪 23.01,主 + 陽23.01,4房1廳1衛,3樓/6樓,"1,580",0
台北市萬華區康定路,9.9年,大樓,建坪 13.52,主 + 陽8.58,1房1廳1衛,3樓/26樓,"1,288",0
台北市萬華區貴陽街二段,22.2年,大樓,建坪 39.73,主 + 陽29.49,3房2廳2衛,3樓/13樓,"2,988",0
台北市萬華區西園路二段,11.6年,華廈,建坪 48.02,主 + 陽25.98,3房2廳2衛,4樓/9樓,"3,980",1
台北市萬華區長沙街二段,14.1年,大樓,建坪 29.04,主 + 陽14.86,2房2廳1衛1室,13樓/15樓,"2,380",1
台北市萬華區康定路,9.9年,大樓,建坪 20,主 + 陽12.69,1房1廳1衛,8樓/26樓,"1,780",0
台北市萬華區東園街,33.5年,華廈,建坪 11.63,主 + 陽6.27,1廳1衛,2樓/6樓,570,0
台北市萬華區成都路,31.2年,大樓/辦公,建坪 10.11,主 + 陽5.92,1房1廳1衛,10樓/12樓,598,0
台北市萬華區漢口街二段,45.2年,大樓,建坪 13.33,主建物8.84,1房1廳1衛,11樓/11樓,"1,080",0
台北市萬華區昆明街,23.1年,套房,建坪 14.69,主 + 陽9.63,1房1廳1衛,14樓/14樓,990,0
台北市萬華區西園路二段,11.6年,華廈,建坪 44.52,主 + 陽23.69,3房2廳2衛,4樓/9樓,"3,680",1
台北市萬華區西園路二段,5.6年,辦公/店面/大樓,建坪 31.47,主建物17.1,1廳1衛,1樓/12樓,"3,380",1
台北市萬華區武成街,44.2年,公寓,建坪 27.36,主 + 陽27.35,4房2廳1衛,3樓/5樓,"1,680",0
台北市萬華區中華路二段,44.6年,華廈,建坪 36.56,主 + 陽31.24,3房2廳2衛1室,3樓/7樓,"2,500",0
台北市萬華區環河南路一段,42.7年,大樓,建坪 47.35,主 + 陽40.58,4房2廳2衛,4樓/12樓,"2,550",0
台北市萬華區大理街,13.6年,華廈,建坪 50.89,主 + 陽28.79,3房2廳2衛,5樓/7樓,"3,750",1
台北市萬華區和平西路三段,44.4年,公寓,建坪 26.74,主 + 陽26.74,1房2廳1衛,4樓/5樓,"1,845",0
台北市萬華區康定路,9.9年,大樓,建坪 46.42,主 + 陽21.48,3房2廳1衛,11樓/26樓,"3,150",1
台北市萬華區西寧南路,9.2年,大樓,建坪 20.51,主建物10.87,1房2廳1衛,10樓/13樓,"1,890",1
台北市萬華區開封街二段,30.3年,大樓,建坪 16.24,主 + 陽11.97,1房1廳1衛,5樓/16樓,"1,450",0
台北市萬華區開封街二段,38.8年,華廈/辦公,建坪 37.76,主 + 陽29.25,4房2廳2衛,2樓/9樓,"2,980",0
台北市萬華區貴陽街二段,43.3年,華廈,建坪 39.52,主建物33.4,3房2廳2衛,3樓/10樓,"2,888",0
台北市萬華區康定路,9.9年,大樓,建坪 16.24,主 + 陽10.27,1房1廳1衛,11樓/26樓,"1,300",0
台北市萬華區康定路,43.0年,大樓,建坪 90.18,主 + 陽70.62,4房2廳3衛1室,5樓/11樓,"5,500",0
台北市萬華區中華路二段,38.8年,華廈,建坪 25.29,主 + 陽20.26,3房2廳2衛,2樓/7樓,"1,988",0
台北市萬華區桂林路,55.2年,公寓,建坪 28.55,主 + 陽28.54,3房2廳1衛1室,3樓/4樓,"1,498",0
台北市萬華區長沙街二段,45.3年,大樓/套房,建坪 6.78,主建物4.92,1房1衛,11樓/11樓,550,0
台北市萬華區中華路一段,44.6年,店面,建坪 22.06,主建物9.56,2房1廳1衛1室(含加蓋2房),1樓/10樓,"4,700",0
台北市萬華區峨眉街,48.6年,套房,建坪 10.06,主建物7.8,1房1衛,3樓/9樓,868,0
台北市萬華區西藏路,0.8年,店面/辦公,建坪 38.13,主建物23.72,2廳1衛,1樓/6樓,"4,999",0
台北市萬華區華西街,43.4年,華廈,建坪 10.84,主 + 陽7.68,1房1廳1衛,5樓/8樓,598,0
台北市萬華區昆明街,39.6年,辦公/大樓,建坪 40.39,主 + 陽35.91,2房2廳2衛2室,3樓/11樓,"2,880",0
台北市萬華區西園路一段,20.7年,華廈,建坪 22.42,主 + 陽12.4,1房2廳1衛,3樓/6樓,"1,580",0
台北市萬華區康定路,81.2年,透天,建坪 11.91,主建物11.91,3房1廳1.5衛(含加蓋1房0.5衛),1-1樓/1樓,"1,688",0
台北市萬華區東園街,40.1年,華廈,建坪 33.4,主 + 陽27.35,3房2廳2衛,2樓/7樓,"2,950",0
台北市萬華區和平西路三段,44.7年,華廈,建坪 6.81,主建物4.8,1房1廳1衛,6樓/8樓,428,0
台北市萬華區莒光路,49.5年,公寓,建坪 15.07,主 + 陽12.84,2廳1衛,4樓/5樓,"1,100",0
台北市萬華區西園路二段,54.3年,公寓,建坪 26.95,主 + 陽26.95,3房2廳1衛,3樓/4樓,"1,600",0
台北市萬華區貴陽街二段,45.2年,華廈,建坪 42.83,主建物38.26,3房2廳2衛,5樓/8樓,"3,088",0
台北市萬華區西藏路,0.8年,大樓,建坪 32.81,主 + 陽19.95,2房2廳1.5衛,2樓/14樓,"2,888",0
台北市萬華區西昌街,35.5年,華廈,建坪 47.03,主 + 陽37.05,4房2廳2衛,4樓/7樓,"2,680",0
台北市萬華區和平西路三段,53.3年,公寓,建坪 27.13,主建物20.96,2房2廳1衛,2樓/4樓,"1,300",0
台北市萬華區西園路二段,51.4年,辦公,建坪 16.53,主建物16.53,1房2廳1衛,3樓/4樓,"1,158",0
台北市萬華區貴陽街二段,45.6年,公寓,建坪 25.43,主 + 陽25.43,2房2廳1衛,2樓/6樓,"1,460",0
台北市萬華區和平西路三段,52.5年,公寓,建坪 32.14,主 + 陽32.14,3房2廳1衛,4樓/5樓,"1,880",0
台北市萬華區環河南路二段,42.5年,公寓,建坪 29.88,主 + 陽25.19,3房2廳2衛,5樓/5樓,"1,480",0
台北市萬華區長泰街,56.9年,公寓,建坪 22.97,主建物22.97,2房2廳1衛,1樓/4樓,"1,688",0
