路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市北投區新民路,45.4年,公寓,建坪 29.05,主 + 陽29.04,4房3廳2.5衛(含加蓋1房1廳1衛),5樓/5樓,"1,488",0
台北市北投區尊賢街,53.2年,公寓,建坪 29,主 + 陽29,3房2廳1衛,2樓/4樓,"1,980",0
台北市北投區中和街,48.6年,公寓,建坪 20.2,主建物18.57,3房2廳1衛1室,1樓/4樓,"1,450",0
台北市北投區承德路七段,1.7年,大樓,建坪 71.35,主 + 陽38.34,3房2廳2衛,6樓/19樓,"6,388",1
台北市北投區榮華一路,44.1年,華廈,建坪 42.19,主 + 陽41.03,3房2廳1衛,4樓/7樓,"3,780",0
台北市北投區中和街,50.8年,公寓,建坪 31.93,主建物28.24,4房2廳1.5衛(含加蓋0.5衛),1樓/4樓,"1,780",0
台北市北投區懷德街,39.3年,公寓,建坪 36.11,主 + 陽33.07,2房2廳2衛1室,4樓/5樓,"2,888",0
台北市北投區稻香路,45.8年,公寓,建坪 16.3,主 + 陽14.78,2房2廳1衛,4樓/4樓,998,0
台北市北投區尊賢街,48.4年,店面/公寓,建坪 54.36,主建物28.78,3房6廳1衛2室,B1-1樓/5樓,"5,600",0
台北市北投區復興四路,33.6年,公寓,建坪 18.99,主 + 陽14.65,2房2廳1衛,2樓/4樓,"1,380",0
台北市北投區實踐街,55.3年,公寓,建坪 31.38,主建物31.38,3房2廳2衛,4樓/4樓,"2,600",0
台北市北投區中和街,46.8年,公寓,建坪 27.21,主 + 陽27.22,2房2廳1衛,4樓/5樓,"1,250",0
台北市北投區泉源路,44.1年,華廈,建坪 62.42,主 + 陽45.66,4房2廳2衛,4樓/7樓,"2,980",0
台北市北投區溫泉路,20.3年,大樓,建坪 14.53,主 + 陽8.69,1房1廳1衛,5樓/13樓,998,0
台北市北投區石牌路二段,46.3年,公寓,建坪 34.12,主 + 陽34.12,3房2廳2衛,3樓/5樓,"2,188",0
台北市北投區雙全街,44.3年,公寓,建坪 33.24,主 + 陽31.74,3房2廳2衛,5樓/5樓,"1,680",0
台北市北投區明德路,45.9年,公寓,建坪 34.82,主 + 陽34.82,4房2廳2衛,2樓/5樓,"2,480",0
台北市北投區榮華一路,31.3年,華廈,建坪 15.19,主建物6.84,1房1衛,3樓/5樓,"1,288",1
台北市北投區新民路,12.5年,華廈,建坪 52.31,主 + 陽30.31,3房2廳2衛,4樓/7樓,"3,088",1
台北市北投區公館路,10.6年,店面,建坪 30.59,主 + 陽21.11,2房2廳1衛,1樓/7樓,"3,180",1
台北市北投區天母西路,41.8年,華廈,建坪 52.46,主 + 陽41.4,3房2廳2衛,6樓/7樓,"4,380",0
台北市北投區文林北路,53.8年,公寓/辦公,建坪 30.7,主建物30.7,5房3廳1衛(含加蓋1房2廳),1樓/3樓,"2,880",0
台北市北投區新民路,45.4年,公寓,建坪 27.21,主 + 陽27.21,4房3廳2.5衛(含加蓋1房1廳1衛),5樓/5樓,"1,180",0
台北市北投區珠海路,38.9年,華廈,建坪 45.29,主 + 陽41.95,4房2廳2衛,5樓/7樓,"2,265",0
台北市北投區大業路,23.0年,大樓,建坪 53.81,主 + 陽32.49,4房2廳2衛(含加蓋1房),3樓/14樓,"3,888",1
