路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市松山區敦化南路一段,49.2年,店面/辦公/大樓,建坪 153.65,主建物84.25,2廳3室,1樓/12樓,"29,800",0
台北市松山區八德路三段,19.9年,大樓,建坪 8.58,主 + 陽5.74,1房1廳1衛(含加蓋1房),6樓/11樓,"1,788",0
台北市松山區三民路,11.8年,辦公/大樓,建坪 46.89,主 + 陽27.46,2房2廳1衛,2樓/11樓,"4,768",1
台北市松山區三民路,11.8年,店面/辦公/大樓,建坪 37.05,主建物20.69,1廳1衛,1樓/11樓,"5,068",1
台北市松山區八德路三段,48.4年,辦公/大樓,建坪 132.5,主建物99.4,1廳29室,6樓/14樓,"13,688",0
台北市松山區南京東路四段,42.1年,辦公/大樓,建坪 35.51,主建物27.42,1房1廳,7樓/14樓,"3,300",0
台北市松山區寶清街,66.8年,別墅/透天,建坪 23.52,主建物23.52,3房3廳2衛1室(含加蓋1房2廳1衛),1-2樓/2樓,"4,588",0
台北市松山區民權東路五段,51.7年,公寓,建坪 30.94,主 + 陽30.95,10房1廳9衛(含加蓋4房1廳3衛),4樓/4樓,"3,480",0
台北市松山區民生東路五段,46.8年,大樓,建坪 41.36,主 + 陽37.18,3房2廳2衛,11樓/15樓,"4,288",0
台北市松山區南京東路四段,19.1年,華廈/辦公,建坪 27.23,主 + 陽14.55,2房2廳1衛1室(含加蓋1室),2樓/10樓,"3,360",1
台北市松山區南京東路五段,47.4年,大樓,建坪 25.39,主 + 陽20.24,3房2廳1衛,11樓/11樓,"2,790",0
台北市松山區敦化南路一段,2.9年,大樓,建坪 60.77,主 + 陽26.87,1房2廳2衛1室,10樓/12樓,"7,380",2
台北市松山區敦化南路一段,11.8年,華廈,建坪 34.01,主 + 陽20.43,3房2廳2衛1室(含加蓋1室),1樓/7樓,"5,600",1
台北市松山區敦化南路一段,49.2年,店面,建坪 224.32,主建物120.49,2廳1衛,1樓/12樓,"70,000",0
台北市松山區三民路,0.7年,大樓,建坪 48.36,主 + 陽24.61,3房2廳2衛,8樓/24樓,"5,388",1
台北市松山區敦化北路,預售,大樓,建坪 150.69,主+附 78.93,1廳,6樓/23樓,"25,845",3
台北市松山區八德路四段,19.3年,大樓,建坪 27.48,主 + 陽15.41,1房2廳2衛1室,2-3樓/13樓,"2,280",1
台北市松山區南京東路五段,34.5年,辦公/大樓,建坪 187.12,主 + 陽120.36,1廳,3樓/15樓,"11,630",2
台北市松山區南京東路五段,32.6年,店面/辦公,建坪 46.3,主 + 陽43.43,1廳1衛,4樓/9樓,"3,680",0
台北市松山區北寧路,預售,大樓,建坪 86.73,主+附 40.2,1廳3衛,3樓/21樓,"14,000",2
台北市松山區民權東路三段,40.9年,店面/辦公,建坪 30.69,主建物21.7,1廳1衛,1樓/10樓,"11,666",0
台北市松山區民權東路三段,47.6年,公寓,建坪 37.54,主 + 陽37.55,5房2廳2衛,4樓/5樓,"2,990",0
台北市松山區民生東路五段,50.7年,公寓,建坪 31.01,主 + 陽31,3房2廳2衛,2樓/4樓,"3,088",0
台北市松山區敦化北路,49.4年,辦公/大樓,建坪 151.35,主 + 陽110.12,2廳3衛6室(含加蓋1衛2室),2樓/12樓,"15,134",0
台北市松山區延壽街,預售,大樓,建坪 49.24,主+附 27.06,3房2廳2衛,3樓/24樓,"5,688",1
台北市松山區基隆路一段,31.1年,辦公/大樓,建坪 230.3,主 + 陽149.62,17房1廳17衛1室,18樓/18樓,"13,800",1
台北市松山區復興北路,預售,大樓,建坪 28.65,主+附 13.68,1房1廳1衛,7樓/12樓,"3,188",1
台北市松山區南京東路五段,23.8年,辦公/大樓,建坪 32.06,主 + 陽16.5,1廳,2樓/11樓,"2,680",1
台北市松山區八德路三段,19.9年,大樓,建坪 9.97,主 + 陽6.54,1房1廳1衛1室(含加蓋1房1室),7樓/11樓,"1,980",0
台北市松山區南京東路五段,40.6年,公寓,建坪 38.88,主建物19.34,2房2廳1衛1室(含加蓋1室),1樓/5樓,"3,180",0
台北市松山區撫遠街,50.9年,公寓,建坪 27.67,主 + 陽27.68,3房2廳1衛,4樓/4樓,"2,168",0
台北市松山區南京東路五段,23.8年,店面,建坪 23.82,主建物12.26,1廳,1樓/11樓,"3,115",1
台北市松山區八德路四段,19.9年,店面,建坪 13.67,主建物7.74,1廳1衛,1樓/12樓,"3,580",0
台北市松山區八德路三段,40.2年,華廈,建坪 45.39,主 + 陽42.55,3房2廳2衛1室,3樓/6樓,"4,688",0
台北市松山區八德路三段,39.4年,店面,建坪 12.25,主建物11.56,1廳1衛1室(含加蓋1室),1樓/12樓,"2,680",0
台北市松山區民生東路五段,42.9年,公寓,建坪 35.38,主 + 陽35.38,5房5衛,2樓/5樓,"3,380",0
