路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市中山區林森北路,0.8年,華廈,建坪 67.76,主 + 陽35.72,4房2廳2衛,9樓/9樓,"7,860",1
台北市中山區龍江路,1.8年,華廈,建坪 47.94,主 + 陽24.05,3房2廳2衛,6樓/9樓,"5,849",1
台北市中山區松江路,11.6年,大樓,建坪 132.02,主 + 陽68.9,3房2廳3衛,2樓/21樓,"13,000",2
台北市中山區新生北路三段,5.6年,華廈,建坪 16.97,主 + 陽7.41,2房1廳1衛(含加蓋1房),3樓/7樓,"1,999",0
台北市中山區新生北路二段,45.7年,大樓,建坪 13.58,主建物10.44,2房1廳1衛,9樓/12樓,"1,198",0
台北市中山區北安路,35.7年,華廈,建坪 41.36,主 + 陽36.26,4房2廳2衛,6樓/7樓,"3,988",0
台北市中山區敬業二路,18.2年,華廈/辦公,建坪 8.01,主建物4.9,1房1廳1衛(含加蓋1房),8樓/10樓,"1,028",0
台北市中山區北安路,45.2年,華廈,建坪 21.6,主 + 陽21.32,2房1廳1衛,2樓/7樓,"2,380",0
台北市中山區中山北路二段,26.5年,店面,建坪 15.6,主建物9.62,2廳,1樓/16樓,"2,400",0
台北市中山區八德路二段,2.8年,大樓,建坪 127.01,主 + 陽56.89,3房2廳3衛,18樓/20樓,"15,000",3
台北市中山區林森北路,37.4年,大樓,建坪 51.64,主 + 陽43.02,2房3廳2衛,3樓/12樓,"3,800",0
台北市中山區龍江路,49.7年,華廈,建坪 51.61,主 + 陽51.61,4房2廳2衛(含加蓋1廳),4樓/7樓,"4,568",0
台北市中山區中山北路一段,24.8年,辦公/華廈,建坪 8.82,主建物5.41,1廳1衛1室(含加蓋1室),8樓/10樓,"1,288",0
台北市中山區新生北路二段,41.0年,大樓,建坪 12.16,主 + 陽10.34,1房1廳1衛,8樓/12樓,"1,200",0
台北市中山區四平街,60.6年,店面/透天,建坪 64.39,主建物60.65,2房3廳3衛2室(含加蓋1廳1衛2室),1-3樓/3樓,"9,900",0
台北市中山區新生北路二段,48.9年,公寓,建坪 28.62,主 + 陽28.63,3房2廳2衛,4樓/5樓,"2,488",0
台北市中山區敬業二路,22.3年,辦公,建坪 25.33,主 + 陽12.48,3房2廳2衛(含加蓋2房1衛),6樓/8樓,"3,200",1
台北市中山區建國北路一段,54.1年,公寓,建坪 44.3,主 + 陽43.2,2房2廳2衛1室,3樓/4樓,"3,480",0
台北市中山區北安路,49.2年,公寓,建坪 26.32,主 + 陽26.32,5房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,"1,998",0
台北市中山區伊通街,7.9年,華廈,建坪 31.42,主 + 陽11.67,1房2廳1衛(含加蓋1房),8樓/9樓,"3,250",1
台北市中山區林森北路,23.1年,大樓,建坪 14.74,主建物9.91,1房1衛,10樓/14樓,"1,350",0
台北市中山區新生北路二段,58.5年,公寓,建坪 13.62,主建物12.66,2房1廳1衛1室,3樓/4樓,"1,598",0
台北市中山區樂群三路,15.7年,大樓,建坪 119.62,主 + 陽59.34,1廳,11樓/11樓,"14,800",2
台北市中山區新生北路三段,10.4年,華廈/辦公,建坪 58.29,主 + 陽31.55,3房2廳2衛,2樓/7樓,"5,586",1
台北市中山區新生北路三段,54.2年,公寓,建坪 68.75,主建物68.75,6房3廳4衛1室(含加蓋1廳2衛),4樓/4樓,"6,600",0
台北市中山區松江路,1.1年,華廈,建坪 26.47,主 + 陽16.18,2房2廳2衛,8樓/10樓,"3,880",0
台北市中山區錦州街,43.3年,套房/大樓,建坪 15.48,主建物7.57,1房1廳1衛(含加蓋1廳),10樓/11樓,"1,199",0
台北市中山區長安東路一段,47.9年,華廈,建坪 17.61,主 + 陽14.33,3房1廳1衛1室,6樓/7樓,"1,780",0
台北市中山區北安路,47.7年,公寓,建坪 43.11,主 + 陽43.11,3房2廳2衛1室,3樓/5樓,"3,700",0
台北市中山區合江街,43.3年,公寓,建坪 46.28,主 + 陽42.09,4房2廳2衛,3樓/5樓,"3,580",0
台北市中山區大直街,37.7年,公寓,建坪 49.24,主建物38.62,8房8衛(含加蓋2房2衛),1樓/5樓,"6,680",0
台北市中山區德惠街,48.0年,華廈,建坪 9.73,主建物7.84,1房1廳1衛,8樓/10樓,925,0
台北市中山區長安東路一段,7.0年,華廈,建坪 72.05,主 + 陽31.19,3房2廳3衛1室,5樓/5樓,"6,800",1
台北市中山區林森北路,41.5年,辦公/大樓,建坪 17.55,主建物12.94,1廳,9樓/13樓,"1,120",0
台北市中山區中山北路二段,48.4年,其它,建坪 74.24,主建物0,1廳,-1樓/6樓,"5,880",0
台北市中山區新生北路三段,48.1年,大樓/辦公,建坪 15.65,主 + 陽11.71,2房2廳1衛,3樓/11樓,"1,528",0
台北市中山區建國北路三段,38.2年,大樓,建坪 41.08,主 + 陽39.17,3房2廳2衛,9樓/11樓,"3,700",0
台北市中山區錦州街,29.1年,大樓,建坪 9.58,主 + 陽6.15,1房1廳1衛(含加蓋1房),9樓/11樓,898,0
台北市中山區復興北路,39.8年,大樓/辦公,建坪 29.64,主建物21.38,3房2廳1衛,1樓/14樓,"2,980",0
台北市中山區松江路,57.1年,辦公/公寓,建坪 16.79,主建物16.79,1房1廳1衛(含加蓋1房),1樓/4樓,"2,298",0
台北市中山區明水路,8.8年,華廈,建坪 80.94,主 + 陽43.6,3房2廳2衛,5樓/9樓,"13,600",2
台北市中山區建國北路三段,40.8年,公寓,建坪 44.25,主 + 陽37.62,3房2廳2衛,3樓/5樓,"3,320",0
台北市中山區明水路,31.1年,華廈,建坪 71.7,主 + 陽46.3,4房2廳2衛,4樓/7樓,"5,980",1
台北市中山區植福路,1.7年,辦公/大樓,建坪 27.76,主 + 陽17.14,1廳,4樓/11樓,"3,388",0
台北市中山區民生東路三段,40.0年,大樓,建坪 31.21,主 + 陽23.6,2房2廳1衛,2樓/13樓,"2,988",0
台北市中山區民生西路,51.9年,店面,建坪 38.83,主 + 陽38.83,2房1廳1衛1室,1樓/4樓,"4,988",0
台北市中山區新生北路三段,10.4年,華廈,建坪 60.1,主 + 陽31.6,3房2廳2衛,4樓/7樓,"5,500",1
台北市中山區中山北路二段,3.0年,大樓,建坪 51.67,主 + 陽26.27,1房2廳2衛,10-11樓/13樓,"5,300",1
台北市中山區遼寧街,59.2年,店面/公寓,建坪 19.91,主建物19.91,1廳1衛,1樓/3樓,"2,588",0
