路段,屋齡,房屋類型,建坪,主建物/陽台,格局,樓層,房屋總價(萬),車位
台北市南港區重陽路,5.3年,大樓,建坪 40.79,主 + 陽16.78,2房2廳1衛,3樓/13樓,"3,390",1
台北市南港區經貿二路,12.0年,大樓,建坪 106.06,主 + 陽55.83,3房2廳2衛1室,1樓/21樓,"13,800",2
台北市南港區南港路三段,17.1年,辦公/大樓,建坪 99.4,主 + 陽51.8,4房2廳2衛,2樓/13樓,"4,980",1
台北市南港區東新街,15.9年,店面/辦公/大樓,建坪 30.63,主建物15.19,1廳1衛1室(含加蓋1室),1樓/15樓,"3,380",1
台北市南港區忠孝東路六段,11.0年,店面,建坪 46.74,主建物24.5,1廳2衛4室(含加蓋3室),1樓/16樓,"5,490",1
台北市南港區舊莊街一段,35.4年,華廈,建坪 88.61,主 + 陽55.13,5房3廳3衛(含加蓋1房1廳),7-8樓/8樓,"3,998",2
台北市南港區玉成街,31.0年,別墅/透天,建坪 78.71,主 + 陽30.84,4房3廳3衛1室,B1-2樓/2樓,"6,380",1
台北市南港區舊莊街一段,8.2年,華廈,建坪 26.88,主 + 陽11.7,3房2廳1衛(含加蓋2房),5樓/7樓,"2,268",1
台北市南港區中坡北路,41.5年,公寓,建坪 23.93,主 + 陽23.93,3房3廳2衛(含加蓋1房1廳1衛),5樓/5樓,"2,480",0
台北市南港區研究院路三段,47.6年,公寓,建坪 24.71,主 + 陽24.72,4房3廳2衛(含加蓋2房1廳1衛),4樓/4樓,"1,520",0
台北市南港區研究院路二段,32.1年,透天,建坪 80.49,主 + 陽30.78,6房2廳3衛(含加蓋1房1衛),B1-2樓/2樓,"4,280",2
台北市南港區研究院路二段,45.3年,透天,建坪 35.95,主 + 陽33.25,2房2廳1.5衛,1-2樓/2樓,"2,630",0
台北市南港區南港路二段,32.3年,大樓,建坪 36.08,主 + 陽16.95,2房2廳1衛,6樓/12樓,"2,800",1
台北市南港區興中路,13.4年,大樓,建坪 51.04,主 + 陽22.51,2房2廳2衛,15樓/25樓,"4,888",1
台北市南港區研究院路二段,46.6年,透天,建坪 36.75,主 + 陽34.82,7房3廳3衛(含加蓋3房1廳1衛),1-2樓/2樓,"3,320",0
台北市南港區八德路四段,12.5年,大樓,建坪 81.6,主 + 陽39.17,3房2廳2衛,8樓/12樓,"6,988",1
台北市南港區南港路三段,56.2年,公寓,建坪 21.97,主 + 陽19.65,1房2廳1衛1室(含加蓋1室),2樓/4樓,"2,490",0
台北市南港區重陽路,13.8年,店面,建坪 75.87,主 + 陽30.17,1廳1衛1室,1樓/12樓,"6,888",3
台北市南港區東新街,39.8年,公寓,建坪 38,主 + 陽28.33,5房3廳2.5衛1室(含加蓋2房1廳1衛1室),5樓/5樓,"2,168",0
台北市南港區福德街,27.8年,大樓,建坪 38.72,主 + 陽23.59,3房2廳1衛,18樓/19樓,"2,858",0
台北市南港區重陽路,4.1年,大樓,建坪 22.21,主 + 陽9.63,1房1廳1衛,10樓/14樓,"1,990",1
台北市南港區南港路三段,41.2年,公寓,建坪 29.03,主 + 陽29.03,3房3廳3衛(含加蓋1廳1衛),5樓/5樓,"2,380",0
台北市南港區東明街,預售,大樓,建坪 47.23,主+附 25.34,2房2廳2衛,11樓/22樓,"5,600",1
台北市南港區重陽路,19.9年,透天,建坪 66.01,主 + 陽29.14,5房2廳2.5衛(含加蓋1房),1-2樓/2樓,"5,700",1
台北市南港區重陽路,19.3年,店面/辦公,建坪 37.52,主建物11.53,1廳,1樓/8樓,"3,980",0
台北市南港區忠孝東路六段,41.6年,華廈,建坪 30.26,主建物20.19,3房2廳2衛(含加蓋1衛),1樓/7樓,"2,980",0
台北市南港區向陽路,17.0年,店面,建坪 24.43,主 + 陽12.29,1廳1衛,1樓/12樓,"2,216",1
台北市南港區重陽路,16.5年,華廈,建坪 93.12,主 + 陽36,3房2廳2衛2室,1樓/9樓,"10,888",2
台北市南港區向陽路,17.0年,店面,建坪 23.83,主 + 陽12.28,1廳1衛,1樓/12樓,"2,145",1
台北市南港區昆陽街,9.5年,大樓,建坪 100.11,主 + 陽55.7,2房2廳2衛,9樓/17樓,"12,588",1
台北市南港區松河街,13.5年,辦公/店面,建坪 46.4,主建物10.45,2房1廳2衛1室(含加蓋1房1衛),1樓/9樓,"1,980",2
台北市南港區興南街,預售,大樓,建坪 62.39,主+附 35.35,3房2廳2衛,19樓/22樓,"7,500",1
台北市南港區興南街,預售,大樓,建坪 47.23,主+附 25.34,3房2廳2衛,14樓/22樓,"5,680",1
台北市南港區興華路,46.8年,公寓,建坪 25.07,主 + 陽25.07,3房2廳1衛,4樓/5樓,"2,288",0
台北市南港區園區街,22.8年,辦公/其它/大樓,建坪 788.68,主建物406.05,2廳10室,20樓/21樓,"65,000",10
台北市南港區八德路四段,47.3年,公寓,建坪 22.27,主建物22.27,3房2廳1衛,3樓/5樓,"1,788",0
台北市南港區忠孝東路六段,41.6年,華廈,建坪 31.45,主 + 陽23.02,3房2廳1衛,4樓/7樓,"2,750",0
台北市南港區興南街,預售,大樓,建坪 35.93,主+附 17.9,2房2廳2衛,7樓/22樓,"3,800",1
台北市南港區園區街,17.5年,店面,建坪 46.83,主建物18.4,5房1廳1衛,1樓/10樓,"4,650",1
台北市南港區研究院路二段,44.2年,公寓,建坪 37.21,主 + 陽34.24,4房2廳2衛,3樓/5樓,"2,198",0
台北市南港區經貿一路,預售,大樓,建坪 42.53,主+附 28.93,1房1廳2衛,9樓/24樓,"5,800",2
台北市南港區福德街,48.8年,公寓,建坪 21.94,主建物20.16,3房2廳1衛1室(含加蓋1室),1樓/4樓,"1,988",0
台北市南港區重陽路,19.9年,別墅/透天,建坪 66.96,主 + 陽29.8,5房2廳4衛1室(含加蓋1房2衛),1-2樓/2樓,"6,700",1
台北市南港區忠孝東路六段,42.2年,公寓/辦公,建坪 30.88,主 + 陽30.88,8房1廳8衛(含加蓋2房1廳2衛),5樓/5樓,"2,988",0
台北市南港區園區街,17.5年,店面,建坪 47.11,主建物19.38,1房2廳2衛3室(含加蓋1廳2室),1樓/10樓,"4,675",1
台北市南港區研究院路三段,47.6年,公寓,建坪 18.39,主 + 陽18.39,8房8衛(含加蓋4房4衛),4樓/4樓,"1,498",0
台北市南港區福德街,48.8年,公寓,建坪 13.92,主建物12.41,2房2廳1衛(含加蓋1房1廳1衛),1樓/4樓,"1,198",0
台北市南港區重陽路,13.8年,店面,建坪 92.5,主 + 陽32.3,1廳1衛1室,1樓/12樓,"8,168",5
台北市南港區重陽路,13.8年,辦公/大樓,建坪 109.05,主 + 陽53.97,1廳1衛6室(含加蓋1衛),9樓/12樓,"5,988",3
台北市南港區福德街,27.8年,大樓,建坪 45.94,主 + 陽27.77,3房2廳2衛,9樓/12樓,"3,680",0
