物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,屋齡,建坪,房屋總價(萬),車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天,經度,緯度
E10高樓德運官鼎奢華三房,民生東路二段,1,0,0,0,0,0,0,0,0,0,0,0,12.3,181.0,8900,1,3,2,2,3,0,14,10,10,1,0,1,0,0,0,121.527950172,25.0581568941
霸氣華固明水御鋼骨豪邸,明水路,1,0,0,0,0,0,0,0,0,0,0,0,18.3,222.0,11968,1,3,2,2,3,0,11,8,8,1,0,1,0,0,0,121.552615379,25.079352848
D5近雙捷高樓2房採光屋,長春路,1,0,0,0,0,0,0,0,0,0,0,0,41.3,43.0,2680,0,2,2,1,2,0,12,12,12,1,0,1,0,0,0,121.5244619,25.054852
精美裝潢2房2衛,新生北路二段,1,0,0,0,0,0,0,0,0,0,0,0,53.8,124.0,1680,0,2,1,2,2,0,12,10,10,1,0,1,0,0,0,121.527228381,25.0571897238
大直藝術廳,明水路,1,0,0,0,0,0,0,0,0,0,0,0,23.0,201.0,10388,1,4,2,3,4,0,14,3,3,1,0,1,0,0,0,121.551126255,25.0795687242
華山君品層峰A,長安東路一段,1,0,0,0,0,0,0,0,0,0,0,0,0.0,221.0,6688,1,4,2,3,4,0,5,5,5,1,0,1,0,0,0,121.529222559,25.0472669288
華山極品樓中樓,長安東路一段,1,0,0,0,0,0,0,0,0,0,0,0,7.0,43.0,6688,1,4,2,3,4,0,5,5,5,1,0,1,0,0,0,121.529222559,25.0472669288
F4大直稀有豪邸明水硯,樂群二路,1,0,0,0,0,0,0,0,0,0,0,0,17.5,67.0,9580,1,3,2,2,3,0,5,4,4,1,0,1,0,0,0,121.554782718,25.0785876557
揚昇松江苑金仕曼豪邸,松江路,1,0,0,0,0,0,0,0,0,0,0,0,9.3,120.0,9888,1,3,2,3,3,0,14,4,4,1,0,1,0,0,0,121.532749821,25.0489057672
B2中山精美電梯兩房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,49.5,141.0,1388,0,2,1,1,2,0,11,4,4,1,0,1,0,0,0,121.524870727,25.0599603109
AZ5行天宮輕豪宅可兩房,建國北路三段,1,0,0,0,0,0,0,0,0,0,0,0,10.4,162.0,2850,1,1,1,1,1,0,14,4,4,1,0,1,0,0,0,121.537145706,25.0651018594
CZ9中山站和邑高樓兩房車,長春路,1,0,0,0,0,0,0,0,0,0,0,0,16.1,216.0,3288,1,2,2,1,2,0,14,9,9,1,0,1,0,0,0,121.524761752,25.0548324886
B3中山國小捷運｜新潮居,雙城街,1,0,0,0,0,0,0,0,0,0,0,0,44.5,237.0,1185,0,1,1,1,1,0,6,3,3,1,0,1,0,0,0,121.523450863,25.0675726339
&晴光高樓美妝二房,新生北路三段,1,0,0,0,0,0,0,0,0,0,0,0,31.5,43.0,1478,0,2,1,1,2,0,10,10,10,1,0,1,0,0,0,121.527391631,25.0639315636
欣欣晶華美妝三房,林森北路,1,0,0,0,0,0,0,0,0,0,0,0,49.2,70.0,1688,0,3,1,1,3,0,12,8,8,1,0,1,0,0,0,121.52557212,25.0555872963
中山捷運精裝豪邸,中山北路一段,1,0,0,0,0,0,0,0,0,0,0,0,16.7,95.0,11800,1,4,2,3,4,0,15,8,8,1,0,1,0,0,0,121.522337748,25.0508783205
BZ8新生北高樓美套房,新生北路一段,1,0,0,0,0,0,0,0,0,0,0,0,44.3,118.0,1128,0,1,1,1,1,0,12,8,8,1,0,0,1,0,0,121.527867589,25.0504854058
