物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
QS45131,A702磺溪特區天母極品,士林區福華路,3房(室)2廳2衛,144坪,4/12樓,137年,住宅,130萬
WS69867,$中正路一樓收租店辦,士林區中正路,OPEN(1廳1衛),169坪,1/9樓,164年,店面,156萬
ZS173350,天母圓環透天,士林區中山北路七段,3房(室)2廳1.5衛,182坪,1-2/2樓,186年,住宅,179萬
YS125666,天母雲頂景觀全新別墅,士林區中山北路七段,8房(室)8廳8衛,213坪,B1-3/3樓,208年,農舍,201萬
ZS183033,陽明山農地送木屋,士林區永公路,26,232坪,26/26樓,26年,土地,225萬
YS186617,外雙溪日式禪風別墅,士林區平菁街,4房(室)5廳6衛,252坪,1-4/4樓,247年,住宅,242萬
YS189527,T172永平2樓方正採光3房,士林區永平街,3房(室)2廳2衛,44坪,2/4樓,37年,住宅,26萬
YS195686,天母之御-坡平大車位,士林區芝玉路一段,--房(室)--廳--衛,8坪,B2/19樓,64年,車位,56萬
YS194162,天母稀有管理透天釋出,士林區士東路,5房(室)3廳4衛,94坪,B1-5/5樓,88年,住宅,79萬
QS01578,天母獨棟電梯別墅,士林區士東路,--房(室)--廳5衛,114坪,1-3/3樓,109年,其他,104萬
YS153821,御苑電梯管理別墅,士林區中山北路七段,4房(室)4廳6衛,137坪,B1-4/4樓,132年,住宅,125萬
ZS163968,平菁全新電梯別墅,士林區平菁街,OPEN,159坪,B1-3/3樓,154年,住宅,149萬
ZS171992,天母全新獨棟電梯美墅,士林區士東路,7室2廳4衛8陽台,114坪,B1-3/3樓,109年,住宅,104萬
YS150172,天母獨棟電梯美墅,士林區士東路,7房(室)1廳7衛,114坪,B1-3/3樓,109年,農舍,104萬
ZS191432,士林天母臨路保護區農地,士林區芝蘭段二小段,19,19坪,19/19樓,19年,土地,194萬
YS187592,T247葫蘆格局方正美妝公寓,士林區葫蘆街,5房(室)2廳4衛,221坪,4/4樓,215年,住宅,211萬
WS54385,天母西路邊間電梯四房,士林區天母西路,4房(室)2廳2衛,46坪,6/7樓,38年,住宅,26萬
WS60333,A02天母明星學區景觀3房,士林區中山北路七段,3房(室)2廳2衛,74坪,3/5樓,68年,住宅,61萬
YS190346,S002士林捷運旁四房雙坡車,士林區大西路,4房(室)2廳2衛,100坪,2/9樓,93年,住宅,87萬
WS56564,亞太企業中心,士林區延平北路六段,OPEN,125坪,4/14樓,73年,辦公,112萬
