物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS51884,大直美堤花園三房美廈,中山區敬業三路,3房(室)2廳2衛,142坪,5/10樓,135年,住宅,127萬
WS67663,HZ7大直河畔首排樓中樓豪邸,中山區明水路,4房(室)2廳2衛,168坪,14-15/15樓,162年,住宅,155萬
WS59211,中山國小方正小資兩房,中山區新生北路二段,2房(室)1廳1衛,190坪,8/12樓,183年,住宅,179萬
WS59843,中山松悅全新兩房兩衛車,中山區中山北路一段,2房(室)2廳2衛,44坪,7/22樓,36年,住宅,25萬
WS61449,雙捷運低總價美2室,中山區林森北路,2室/1廳/1衛,72坪,2/5樓,66年,住宅,58萬
OS211216,專賣雙捷運興安華城(北區),中山區復興北路,3房(室)2廳1衛,100坪,6/15樓,93年,住宅,86萬
WS64419,中山國小站電梯美妝2室,中山區農安街,2室2廳2衛,127坪,5/10樓,120年,住宅,114萬
ZS148104,建國北路女兒紅機械車,中山區建國北路一段,--房(室)--廳--衛,153坪,1/14樓,147年,車位,140萬
WS52296,BZ9中山國小站邊間美妝住辦,中山區林森北路,1房(室)1廳1衛,173坪,2/10樓,167年,住宅,164萬
WS66274,BZ4溫馨高樓陽台挑高3米6,中山區錦州街,1房(室)1廳1衛,195坪,9/11樓,190年,住宅,185萬
WS67115,BZ4松江南京景觀邊間美屋,中山區新生北路一段,開放式,217坪,12/12樓,212年,住宅,207萬
WS68605,E4松江御苑綠蔭美邸,中山區建國北路二段,3房(室)2廳2衛,238坪,3/15樓,233年,住宅,228萬
WS69485,D9晶華商圈精裝兩房,中山區新生北路二段,2房(室)1廳1衛,257坪,9/12樓,252年,住宅,58萬
WS70056,大直金澤C美宅稀有8字頭,中山區樂群二路,毛胚屋,42坪,6/7樓,35年,住宅,26萬
WS69242,民權。一人好好生活,中山區撫順街,1房(室)1廳1衛,72坪,3/10樓,66年,住宅,58萬
WS69507,南京德運京鼎低調奢華景觀樓,中山區南京東路二段,3房(室)2廳2衛,98坪,12/24樓,92年,住宅,85萬
WS64667,專任華泰王子旁電梯兩房,中山區新生北路二段,2房(室)1廳1衛,113坪,7/10樓,115年,住宅,111萬
ZS139059,松江敦華四房雙車位,中山區建國北路二段,4房(室)2廳2衛,140坪,2/15樓,136年,住宅,129萬
WS13438,D9中山北林蔭大道正兩房,中山區中山北路三段,2房(室)1廳1衛,161坪,9/12樓,155年,住宅,151萬
WS17798,E10高樓德運官鼎奢華三房,中山區民生東路二段,3房(室)2廳2衛,181坪,10/14樓,176年,住宅,172萬
WS13428,大吉吉高樓雙露台戶,中山區民生東路二段,--房(室)--廳3衛,202坪,11/13樓,196年,住宅,191萬
WS18997,霸氣華固明水御鋼骨豪邸,中山區明水路,3房(室)2廳2衛,222坪,8/11樓,217年,住宅,213萬
ZS183573,CZ8京硯高樓美妝2房,中山區建國北路一段,2房2廳2衛,241坪,9/13樓,236年,住宅,232萬
ZS177399,D5近雙捷高樓2房採光屋,中山區長春路,2房(室)2廳1衛,43坪,12/12樓,36年,住宅,26萬
ZS175484,松江南京商辦車位,中山區南京東路二段,車位,60坪,B1/11樓,65年,車位,58萬
ZS177492,E6大喆高樓露台面圓山,中山區民生東路二段,--房(室)2廳3衛,89坪,11/13樓,84年,住宅,79萬
ZS183015,DZ4晴光商圈低總2房,中山區農安街,2室1廳1衛,110坪,2/9樓,105年,住宅,58萬
YS177125,精美裝潢2房2衛,中山區新生北路二段,2房(室)1廳2衛,124坪,10/12樓,127年,住宅,122萬
YS175525,行天宮商圈金店面,中山區民權東路二段,2房(室)2廳2衛,156坪,B1-1/1樓,151年,住商,143萬
WS37898,大直千坪忠泰風格,中山區明水路,3+1室2廳2衛,180坪,3/15樓,175年,住宅,169萬
ZS186327,大直藝術廳,中山區明水路,4房(室)2廳3衛,201坪,3/14樓,195年,住宅,190萬
WS44897,華山君品層峰A,中山區長安東路一段,4房(室)2廳3衛,221坪,5/5樓,216年,住宅,211萬
WS39015,松江民權大坪數住辦,中山區松江路,OPEN,241坪,6/11樓,236年,住宅,231萬
ZS190158,華山極品樓中樓,中山區長安東路一段,4房(室)2廳3衛,43坪,5/5樓,36年,住宅,25萬
ZS189918,F4大直稀有豪邸明水硯,中山區樂群二路,3房(室)2廳2衛,67坪,4/5樓,61年,住宅,56萬
YS179422,雙連捷運收租店面,中山區中山北路二段,開放式,96坪,1/11樓,90年,住商,80萬
YS180846,揚昇松江苑金仕曼豪邸,中山區松江路,3房(室)2廳3衛,120坪,4/14樓,114年,住宅,109萬
WS50578,B2中山精美電梯兩房,中山區林森北路,2房(室)1廳1衛,141坪,4/11樓,136年,住宅,132萬
WS42625,AZ5行天宮輕豪宅可兩房,中山區建國北路三段,1房(室)1廳1衛,162坪,4/14樓,157年,住宅,153萬
WS46609,松江南京華固松疆豪邸,中山區松江路,3房2廳3衛2陽台,183坪,2/21樓,177年,住宅,172萬
WS44910,華山君品層峰B,中山區長安東路一段,3房2廳3衛1室,43坪,5/5樓,36年,住宅,193萬
WS52112,CZ9中山站和邑高樓兩房車,中山區長春路,2房(室)2廳1衛,216坪,9/14樓,211年,住宅,206萬
WS64833,B3中山國小捷運｜新潮居,中山區雙城街,1房(室)1廳1衛,237坪,3/6樓,232年,住宅,227萬
WS49409,&晴光高樓美妝二房,中山區新生北路三段,2房(室)1廳1衛,43坪,10/10樓,36年,住宅,26萬
WS47011,欣欣晶華美妝三房,中山區林森北路,3房(室)1廳1衛,70坪,8/12樓,64年,住宅,57萬
