物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
$中正路一樓收租店辦,中正路,0,0,0,0,0,0,1,0,0,0,0,0,169.0,0,,1.0,1.0,,0,9.0,1.0,1.0,1.0,0,0,0,0,0
天母圓環透天,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,182.0,0,3.0,2.0,5.0,3.0,0,2.0,1.0,2.0,2.0,0,0,0,0,1
天母雲頂景觀全新別墅,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,213.0,0,8.0,8.0,8.0,8.0,0,3.0,-1.0,3.0,5.0,0,0,0,0,0
陽明山農地送木屋,永公路,0,0,0,0,0,0,1,0,0,0,0,0,232.0,0,,,,,0,26.0,26.0,26.0,1.0,0,0,0,0,0
外雙溪日式禪風別墅,平菁街,0,0,0,0,0,0,1,0,0,0,0,0,252.0,0,4.0,5.0,6.0,4.0,0,4.0,1.0,4.0,4.0,0,1,0,0,0
T172永平2樓方正採光3房,永平街,0,0,0,0,0,0,1,0,0,0,0,0,44.0,0,3.0,2.0,2.0,3.0,0,4.0,2.0,2.0,1.0,0,1,0,0,0
天母之御-坡平大車位,芝玉路一段,0,0,0,0,0,0,1,0,0,0,0,0,8.0,1,,,,,0,19.0,-2.0,-2.0,1.0,0,0,0,0,0
天母稀有管理透天釋出,士東路,0,0,0,0,0,0,1,0,0,0,0,0,94.0,0,5.0,3.0,4.0,5.0,0,5.0,-1.0,5.0,7.0,0,0,0,0,1
天母獨棟電梯別墅,士東路,0,0,0,0,0,0,1,0,0,0,0,0,114.0,0,,,5.0,,0,3.0,1.0,3.0,3.0,0,0,0,0,0
御苑電梯管理別墅,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,137.0,0,4.0,4.0,6.0,4.0,0,4.0,-1.0,4.0,6.0,0,1,0,0,0
平菁全新電梯別墅,平菁街,0,0,0,0,0,0,1,0,0,0,0,0,159.0,0,,,,,0,3.0,-1.0,3.0,5.0,0,1,0,0,0
天母全新獨棟電梯美墅,士東路,0,0,0,0,0,0,1,0,0,0,0,0,114.0,0,,2.0,4.0,,0,3.0,-1.0,3.0,5.0,0,1,0,0,0
天母獨棟電梯美墅,士東路,0,0,0,0,0,0,1,0,0,0,0,0,114.0,0,7.0,1.0,7.0,7.0,0,3.0,-1.0,3.0,5.0,0,0,0,0,0
士林天母臨路保護區農地,芝蘭段二小段,0,0,0,0,0,0,1,0,0,0,0,0,19.0,0,,,,,0,,,,,0,0,0,0,0
T247葫蘆格局方正美妝公寓,葫蘆街,0,0,0,0,0,0,1,0,0,0,0,0,221.0,0,5.0,2.0,4.0,5.0,0,4.0,4.0,4.0,1.0,1,0,0,0,0
天母西路邊間電梯四房,天母西路,0,0,0,0,0,0,1,0,0,0,0,0,46.0,0,4.0,2.0,2.0,4.0,0,7.0,6.0,6.0,1.0,0,1,0,0,0
A02天母明星學區景觀3房,中山北路七段,0,0,0,0,0,0,1,0,0,0,0,0,74.0,0,3.0,2.0,2.0,3.0,0,5.0,3.0,3.0,1.0,0,1,0,0,0
S002士林捷運旁四房雙坡車,大西路,0,0,0,0,0,0,1,0,0,0,0,0,100.0,0,4.0,2.0,2.0,4.0,0,9.0,2.0,2.0,1.0,0,1,0,0,0
亞太企業中心,延平北路六段,0,0,0,0,0,0,1,0,0,0,0,0,125.0,0,,,,,0,14.0,4.0,4.0,1.0,0,0,0,0,0
士東商圈大坪數時代大廈,士東路,0,0,0,0,0,0,1,0,0,0,0,0,147.0,0,4.0,2.0,2.0,4.0,0,7.0,6.0,6.0,1.0,0,1,0,0,0
