物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS70825,信義安和101景觀樓中樓加車位,大安區通化街,2房(室)2廳2衛,114坪,9-10/10樓,108年,住宅,101萬
WS71133,潤泰金融新鑽石大樓,大安區敦化南路二段,開放式,141坪,4/24樓,135年,辦公,128萬
WS71379,敦南安和大面寬店住,大安區敦化南路二段,4房(室)1廳1衛,164坪,4/4樓,157年,住宅,153萬
WS71484,忠孝復興國泰華廈,大安區忠孝東路三段,3房(室)2廳2衛,187坪,2/6樓,181年,住宅,175萬
YS197389,大安站電梯三房有車位有裝潢,大安區復興南路二段,3房2廳2衛2陽台,210坪,5/16樓,205年,其他,199萬
YS197499,大安區標準電梯三房加車位,大安區和平東路三段,3房(室)2廳2衛,230坪,3/7樓,226年,住宅,222萬
WS71709,40遠晀101文普高樓,大安區基隆路二段,4房(室)2廳2衛,43坪,8/12樓,36年,住宅,25萬
WS37810,信義安和一樓店辦,大安區安和路一段,--房(室)--廳--衛,73坪,1/6樓,66年,住宅,59萬
WS70544,中正國中庭院2房+坡車,大安區杭州南路二段,2房(室)1廳2衛,95坪,1/8樓,27年,住宅,85萬
WS28627,安和遠企低總金店面,大安區安和路二段,開放式,119坪,B1-1/7樓,112年,店面,105萬
WS65204,和平六張犁B2車位,大安區和平東路三段,--房(室)--廳--衛,140坪,B2/7樓,135年,車位,130萬
WS71205,溫州溫馨2房,大安區溫州街,2房(室)2廳1衛,163坪,3/7樓,157年,住宅,152萬
WS23504,正安和路一段美廈,大安區安和路一段,4房(室)2廳2衛,183坪,4/7樓,66年,住宅,174萬
WS34556,仁愛公園華廈鼎佳,大安區大安路一段,5房(室)4廳3衛,206坪,7/7樓,200年,住宅,195萬
WS46745,世紀風華車位(全新裝潢),大安區新生南路一段,--房(室)--廳--衛,224坪,24/24樓,219年,車位,216萬
WS37204,敦南名園名邸+車位,大安區忠孝東路四段,3房(室)2廳2衛,248坪,6/8樓,241年,住宅,237萬
WS70161,E20大安商圈低公設四房景觀宅,大安區基隆路二段,4房(室)2廳2衛,43坪,8/12樓,36年,住宅,25萬
WS70370,臨江夜市旁文普高樓景觀四房,大安區基隆路二段,4房(室)2廳2衛,43坪,8/12樓,36年,住宅,25萬
YS196829,大安森林公園電梯大戶,大安區新生南路一段,6房4廳3衛3陽台,80坪,2/7樓,74年,住宅,67萬
WS70536,【忠孝敦化｜東區統領商業辦公】,大安區忠孝東路四段,4房(室)1廳4衛,105坪,8/14樓,99年,辦公,92萬
YS197174,中正國中大面寬一樓好停車6米巷,大安區信義路二段,4房(室)2廳2衛,116坪,1/4樓,121年,住宅,115萬
WS71285,近捷運忠孝新生2+1房,大安區建國南路一段,2+1房2廳1衛,146坪,2/12樓,141年,住宅,137萬
WS71040,忠孝98景觀智慧純辦14,大安區忠孝東路三段,OPEN,166坪,14/15樓,162年,辦公,156萬
WS71014,忠孝98綠意智慧純辦2,大安區忠孝東路三段,OPEN,179坪,2/15樓,162年,辦公,177萬
WS71036,忠孝98景觀智慧純辦10,大安區忠孝東路三段,OPEN,179坪,10/15樓,162年,辦公,186萬
WS71041,忠孝98帝景智慧純辦15,大安區忠孝東路三段,OPEN,166坪,15/15樓,162年,辦公,194萬
WS71034,忠孝98景觀智慧純辦6,大安區忠孝東路三段,OPEN,40坪,6/15樓,34年,辦公,25萬
WS71033,忠孝98綠意智慧純辦5,大安區忠孝東路三段,OPEN,40坪,5/15樓,34年,辦公,25萬
WS71031,忠孝98綠意智慧純辦3,大安區忠孝東路三段,OPEN,40坪,3/15樓,34年,辦公,59萬
WS71038,忠孝98景觀智慧純辦12,大安區忠孝東路三段,OPEN,72坪,12/15樓,34年,辦公,69萬
WS71032,忠孝98綠意智慧純辦4,大安區忠孝東路三段,OPEN,40坪,4/15樓,34年,辦公,59萬
WS71039,忠孝98景觀智慧純辦13,大安區忠孝東路三段,OPEN,72坪,13/15樓,34年,辦公,86萬
WS71037,忠孝98景觀智慧純辦11,大安區忠孝東路三段,OPEN,72坪,11/15樓,34年,辦公,69萬
WS71030,&忠孝98景觀智慧純辦,大安區忠孝東路三段,OPEN,106坪,2-15/15樓,34年,辦公,102萬
ZS200578,文普國際醫生世家景觀四房,大安區基隆路二段,4房(室)2廳2衛,132坪,8/24樓,126年,住宅,118萬
WS71262,文普世貿高樓景觀美四房,大安區基隆路二段,4房(室)2廳2衛,132坪,8/12樓,126年,住宅,118萬
WS70261,大安精裝低總價,大安區通化街,2房(室)2廳1衛,45坪,2/5樓,37年,住宅,25萬
ZS119645,正金山南路優質店面,大安區金山南路二段,1房(室)2廳2衛,62坪,1/6樓,67年,住宅,60萬
WS31192,麟光捷運安居兩房雅寓,大安區安居街,2房(室)1廳1衛,98坪,3/4樓,91年,住宅,85萬
YS166961,忠孝敦化景觀商辦,大安區忠孝東路四段,1廳4室,125坪,12/12樓,118年,辦公,111萬
WS21655,信義安和站精裝優質豪辦,大安區信義路四段,7房(室)1廳2衛,146坪,2/15樓,141年,辦公,136萬
YS131960,忠孝敦化全新裝潢商辦,大安區忠孝東路四段,3房(室)2廳--衛,125坪,12/12樓,118年,辦公,111萬
WS39359,敦南邊間大三房,大安區敦化南路二段,3房(室)2廳2衛,182坪,8/19樓,176年,住宅,169萬
WS43433,SOGO靜巷四房車,大安區復興南路一段,4房(室)2廳2衛,206坪,6/16樓,201年,住宅,194萬
ZS138192,忠孝統領高樓商辦,大安區忠孝東路四段,4房(室)1廳--衛,125坪,12/12樓,118年,辦公,111萬
WS45932,敦南保富寰宇微型商辦,大安區敦化南路二段,OPEN,239坪,4/20樓,233年,辦公,228萬
WS43493,仁愛延吉商業店面,大安區仁愛路四段,OPEN,28坪,B1/14樓,35年,住宅,25萬
WS52258,中正國中電梯大戶(原四房),大安區杭州南路二段,3房(室)2廳2衛,70坪,8/12樓,64年,住宅,58萬
WS33162,敦南陸裝高樓３房,大安區敦化南路二段,3房(室)2廳2衛,95坪,8/19樓,88年,住宅,83萬
WS46496,安和遠企低總金店面,大安區安和路二段,開放式,124坪,B1-1/7樓,117年,店面,109萬
ZS196675,科技大樓捷運住辦,大安區復興南路二段,OPEN,150坪,10/12樓,143年,住商,137萬
WS62295,大安硯坡道平面大車位,大安區臥龍街,--房(室)--廳--衛,174坪,B3/26樓,168年,其他,162萬
YS177799,信義安和金雞母透天,大安區通化街,6房(室)--廳6衛,189坪,1-3/3樓,194年,住宅,186萬
WS42273,成功國宅商鋪,大安區四維路,OPEN,220坪,2/19樓,214年,店面,210萬
ZS150302,師大收租金店面,大安區師大路,OPEN,232坪,1/4樓,237年,店面,231萬
ZS136408,永康商圈面寬雙金店,大安區永康街,2廳2衛,256坪,1/4樓,258年,住宅,254萬
ZS174596,師大面寬美店面,大安區師大路,OPEN,28坪,1/4樓,35年,店面,25萬
ZS162046,東區面寬大店面,大安區仁愛路四段,OPEN,69坪,1-B1/7樓,63年,店面,57萬
WS34279,師大青田設籍金店面,大安區青田街,OPEN,93坪,1/11樓,87年,店面,82萬
WS31454,正馬路三角窗店面,大安區和平東路一段,--房(室)2廳1衛,120坪,B1-1/12樓,113年,店面,106萬
ZS105049,安和路三角窗賺錢金店面,大安區安和路二段,--房(室)2廳2衛,144坪,1-B1/19樓,138年,店面,133萬
WS39717,正青田街三角窗透天厝,大安區青田街,2房(室)1廳1衛,158坪,1/1樓,161年,住宅,156萬
ZS127074,師大商圈面寬收租店面,大安區師大路,1廳1衛1室,28坪,1/4樓,176年,住宅,25萬
ZS185125,仁愛鑽石邊間四房,大安區仁愛路四段,4房(室)2廳2衛,203坪,2/12樓,196年,住宅,191萬
WS36350,林蔭仁愛帝寶,大安區仁愛路三段,4/2/4,228坪,9/18樓,222年,住宅,215萬
ZS187584,E73忠孝SOGO收租高投報,大安區忠孝東路四段,9房(室)1廳9衛,254坪,6/7樓,247年,辦公,241萬
