物件編號,物件名稱,地址,格局,坪數,樓層,屋齡,類型,價格
WS63992,信義財經高樓ㄧ路發,信義區信義路四段,OPEN（3衛）,192坪,11/11樓,187年,住宅,182萬
WS64532,六張犁稀有金店面,信義區富陽街,OPEN+1衛,214坪,1/7樓,209年,店面,204萬
WS60038,福德街福人居１Ｆ,信義區福德街,詳洽經紀人,235坪,1/6樓,229年,住商,225萬
YS194276,博愛學區永春站美妝電梯2房,信義區松德路,2房(室)2廳1衛,41坪,6/7樓,35年,住宅,25萬
WS65549,信義新寶景觀高樓住辦,信義區基隆路一段,OPEN+1衛,67坪,12/13樓,61年,住商,54萬
ZS181868,市府捷運永吉路30巷透天店辦,信義區永吉路,2房(室)2廳2衛,79坪,1-2/2樓,84年,住宅,77萬
ZS196722,信義區都更屋,信義區松信路,5房(室)3廳2衛,103坪,1-3/3樓,108年,住宅,100萬
OS218399,信義世貿高值店面,信義區信義路四段,--房(室)2廳1衛,139坪,1/11樓,132年,店面,125萬
OS218607,北醫高投低總收租店面,信義區吳興街,1房(室)2廳2衛,152坪,1/4樓,155年,住宅,150萬
ZS197671,松智美裝世貿新城,信義區松智路,2房(室)2廳2衛,178坪,3/13樓,173年,住宅,169萬
WS66993,六張犁國泰方正3房美寓,信義區富陽街,3房(室)2廳2衛,199坪,4/5樓,194年,住宅,189萬
WS65981,挹翠獨棟別墅遠眺101,信義區紫雲街,4房(室)4廳4衛,223坪,B1-3/3樓,218年,住宅,211萬
WS67489,世貿吳興街兩房二樓美寓,信義區吳興街,2房(室)1廳1衛,242坪,2/5樓,236年,住宅,233萬
WS68833,信義世貿低總三房二樓美寓,信義區吳興街,3房(室)1廳1衛,44坪,2/5樓,37年,住宅,26萬
WS68413,信義北醫商圈美妝黃金三樓,信義區吳興街,3房(室)2廳1衛,66坪,3/5樓,61年,住宅,57萬
ZS199807,信義露台美三房,信義區吳興街,3房(室)2廳2衛,88坪,6/6樓,12年,住宅,77萬
WS67500,信義計畫區台北高峰會,信義區松仁路,4房(室)2廳3衛,114坪,4/14樓,108年,住宅,100萬
OS208552,都更高潛力高檔裝潢公寓一樓有車位,信義區虎林街,2房(室)2廳1衛,137坪,1/5樓,131年,住宅,126萬
WS66766,忠孝東路公寓3房,信義區忠孝東路五段,3房(室)2廳1衛,158坪,2/4樓,152年,住宅,149萬
WS65133,富陽三角窗壹樓,信義區富陽街,以現場為主,171坪,1/4樓,173年,住宅,169萬
WS67114,永春EAT樓中樓精品小豪宅,信義區忠孝東路五段,1室1廳2衛,197坪,2/11樓,192年,住宅,188萬
WS67491,象山站信義特區邊間美寓,信義區信義路五段,3房(室)2廳2衛,208坪,3/4樓,210年,住宅,207萬
