物件名稱,路段,行政區_中山區,行政區_中正區,行政區_信義區,行政區_內湖區,行政區_北投區,行政區_南港區,行政區_士林區,行政區_大同區,行政區_大安區,行政區_文山區,行政區_松山區,行政區_萬華區,建坪,車位,房,廳,衛,室,有加蓋,總樓層,起始樓層,最高樓層,物件涵蓋層數,房屋類型_公寓,房屋類型_大樓,房屋類型_套房,房屋類型_華廈,房屋類型_透天
捷運市政府101高第景觀宅,永吉路,0,0,1,0,0,0,0,0,0,0,0,0,163.0,0,2.0,2.0,2.0,2.0,0,14.0,14.0,14.0,1.0,0,1,0,0,0
松信路電梯三房,松信路,0,0,1,0,0,0,0,0,0,0,0,0,186.0,0,3.0,2.0,2.0,3.0,0,12.0,2.0,2.0,1.0,0,1,0,0,0
柒樓靜域 I 信義核心辦公,基隆路二段,0,0,1,0,0,0,0,0,0,0,0,0,208.0,0,,2.0,1.0,,0,12.0,7.0,7.0,1.0,0,0,0,0,0
北醫旁潛力邊間三房,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,222.0,0,3.0,2.0,1.0,3.0,0,4.0,4.0,4.0,1.0,0,1,0,0,0
五分埔三角窗噴錢金店,松山路,0,0,1,0,0,0,0,0,0,0,0,0,237.0,0,1.0,1.0,1.0,1.0,0,4.0,1.0,1.0,1.0,0,0,0,0,0
信義北醫面公園景觀電梯宅,信安街,0,0,1,0,0,0,0,0,0,0,0,0,44.0,0,3.0,2.0,1.0,3.0,0,7.0,4.0,4.0,1.0,0,1,0,0,0
捷運五分埔商二角間金店,松山路,0,0,1,0,0,0,0,0,0,0,0,0,71.0,0,,1.0,1.0,,0,4.0,1.0,1.0,1.0,0,0,0,0,0
信義區全新北歐風3房+陽台,虎林街,0,0,1,0,0,0,0,0,0,0,0,0,93.0,0,3.0,2.0,2.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
E13信義區捷運兩房步行市政府,松隆路,0,0,1,0,0,0,0,0,0,0,0,0,107.0,0,2.0,2.0,1.0,2.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
市政府捷運精緻二房,松隆路,0,0,1,0,0,0,0,0,0,0,0,0,124.0,0,2.0,2.0,1.0,2.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
五分埔7-11三角窗金店,松山路,0,0,1,0,0,0,0,0,0,0,0,0,136.0,0,1.0,1.0,1.0,1.0,0,4.0,1.0,1.0,1.0,0,0,0,0,0
E09吳興街公寓一樓,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,155.0,0,3.0,2.0,2.0,3.0,0,5.0,1.0,1.0,1.0,1,0,0,0,0
北醫面公園3房,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,177.0,0,3.0,2.0,2.0,3.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
3115松永雙潔大空間頂家,虎林街,0,0,1,0,0,0,0,0,0,0,0,0,196.0,0,4.0,2.0,,4.0,0,5.0,5.0,5.0,1.0,0,1,0,0,0
台北醫學院黃金店面,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,219.0,0,1.0,2.0,2.0,1.0,0,6.0,-1.0,1.0,3.0,0,0,0,0,0
北醫吳興商圈金店面,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,42.0,0,,,,,0,6.0,1.0,1.0,1.0,0,0,0,0,0
信義全新北歐風美妝3房,虎林街,0,0,1,0,0,0,0,0,0,0,0,0,70.0,0,3.0,2.0,2.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
信義松隆精緻二房,松隆路,0,0,1,0,0,0,0,0,0,0,0,0,93.0,0,2.0,1.0,1.0,2.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
雙捷運博愛學區歐風裝潢黃金3樓,虎林街,0,0,1,0,0,0,0,0,0,0,0,0,70.0,0,3.0,2.0,2.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
林口街雙捷運金店面,林口街,0,0,1,0,0,0,0,0,0,0,0,0,116.0,0,2.0,1.0,1.0,2.0,0,4.0,1.0,1.0,1.0,0,0,0,0,0
信義區虎林街黃金3樓美寓,虎林街,0,0,1,0,0,0,0,0,0,0,0,0,70.0,0,3.0,2.0,2.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
世貿莊敬低公設華廈邊間4房,莊敬路,0,0,1,0,0,0,0,0,0,0,0,0,155.0,0,4.0,2.0,2.0,4.0,0,7.0,4.0,4.0,1.0,0,0,0,1,0
信義誠家１０１景觀露台三房,吳興街,0,0,1,0,0,0,0,0,0,0,0,0,174.0,0,3.0,2.0,2.0,3.0,0,10.0,9.0,9.0,1.0,0,1,0,0,0
博愛近捷運靜巷參樓,虎林街,0,0,1,0,0,0,0,0,0,0,0,0,70.0,0,3.0,2.0,2.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
博愛興雅學區質感三房,虎林街,0,0,1,0,0,0,0,0,0,0,0,0,70.0,0,3.0,2.0,2.0,3.0,0,4.0,3.0,3.0,1.0,0,1,0,0,0
